Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corllartslan,mm,All other sections,ttr,31.486,31.4378,2.6967,0.0481,0.017851390887752384,negligible
corllartslan,mm,All other sections,wrlengh,5.1193,5.2702,0.2664,-0.1509,-0.5665622456272457,medium
corllartslan,mm,All other sections,wcount,1778.9298,1382.3352,913.2651,396.5946,0.4342601047897915,small
corllartslan,mm,All other sections,that_del,0.8193,0.5007,0.8539,0.3186,0.3731416973876736,small
corllartslan,mm,All other sections,contrac,0.2263,0.3957,0.9345,-0.1694,-0.18125409189171923,negligible
corllartslan,mm,All other sections,pres,50.907,40.6581,19.5118,10.2489,0.5252666406737667,medium
corllartslan,mm,All other sections,pro2,0.4175,0.5413,1.7889,-0.1238,-0.06919883785865967,negligible
corllartslan,mm,All other sections,pro_do,0.1088,0.1649,0.5586,-0.0561,-0.10047156095960426,negligible
corllartslan,mm,All other sections,pdem,1.693,1.5545,1.593,0.1385,0.08694907534124556,negligible
corllartslan,mm,All other sections,gen_emph,1.2456,0.9359,1.1659,0.3097,0.265644638402011,small
corllartslan,mm,All other sections,pro1,11.9526,10.8005,9.0681,1.1522,0.12705784719637195,negligible
corllartslan,mm,All other sections,it,3.4719,2.526,2.4468,0.9459,0.38657279847293563,small
corllartslan,mm,All other sections,be_state,0.9158,0.5943,0.9269,0.3215,0.346792385892216,small
corllartslan,mm,All other sections,sub_cos,1.0351,0.7812,1.1009,0.2539,0.23062605825530028,small
corllartslan,mm,All other sections,prtcle,0.0456,0.0455,0.2432,0.0001,0.000359423398686956,negligible
corllartslan,mm,All other sections,pany,1.1982,0.7378,1.0265,0.4604,0.44852167865771425,small
corllartslan,mm,All other sections,gen_hdg,0.1053,0.1033,0.3473,0.002,0.005697202515895418,negligible
corllartslan,mm,All other sections,amplifr,1.0351,1.1365,1.7425,-0.1014,-0.05817869396861371,negligible
corllartslan,mm,All other sections,wh_ques,0.1579,0.1407,0.6281,0.0172,0.027443774048071617,negligible
corllartslan,mm,All other sections,pos_mod,3.9965,2.7231,2.716,1.2734,0.4688433502173471,small
corllartslan,mm,All other sections,o_and,7.0158,8.2274,4.5279,-1.2116,-0.267588003391456,small
corllartslan,mm,All other sections,wh_cl,0.1263,0.1669,0.4821,-0.0406,-0.08423959462146399,negligible
corllartslan,mm,All other sections,finlprep,1.0842,0.8174,1.5348,0.2668,0.1738132205642232,negligible
corllartslan,mm,All other sections,n,328.5404,351.1173,33.8246,-22.577,-0.6674722076443127,medium
corllartslan,mm,All other sections,prep,130.2702,129.1935,14.9265,1.0766,0.07212871223236661,negligible
corllartslan,mm,All other sections,adj_attr,59.7632,61.2173,13.8107,-1.4542,-0.1052926890839724,negligible
corllartslan,mm,All other sections,pasttnse,33.8368,40.3828,17.8906,-6.5459,-0.36588724153684626,small
corllartslan,mm,All other sections,pro3,5.6789,5.1796,4.467,0.4993,0.11178323778396351,negligible
corllartslan,mm,All other sections,perfects,2.5719,2.9234,2.4087,-0.3515,-0.14593314859707462,negligible
corllartslan,mm,All other sections,rel_obj,0.5544,0.4213,0.6832,0.1331,0.19481146485543344,negligible
corllartslan,mm,All other sections,rel_subj,2.386,2.6003,2.1243,-0.2144,-0.10091680108422299,negligible
corllartslan,mm,All other sections,rel_pipe,1.1123,0.9028,1.2333,0.2094,0.16982970040505196,negligible
corllartslan,mm,All other sections,p_and,2.0632,2.5233,2.1551,-0.4602,-0.21352652484421897,small
corllartslan,mm,All other sections,tm_adv,2.4719,2.3206,1.9973,0.1513,0.0757595566435788,negligible
corllartslan,mm,All other sections,pl_adv,3.4263,2.8266,2.6314,0.5997,0.2279055168961871,small
corllartslan,mm,All other sections,advs,23.5491,22.3076,8.0506,1.2415,0.15421705017749787,negligible
corllartslan,mm,All other sections,inf,8.1228,8.7486,3.994,-0.6258,-0.15668042393937862,negligible
corllartslan,mm,All other sections,prd_mod,1.2386,0.9972,1.37,0.2414,0.1762303491584176,negligible
corllartslan,mm,All other sections,sua_vb,1.114,1.506,1.6066,-0.392,-0.243968283191974,small
corllartslan,mm,All other sections,sub_cnd,1.586,1.1522,1.6887,0.4338,0.256856805268962,small
corllartslan,mm,All other sections,nec_mod,0.6211,0.4821,0.8839,0.1389,0.15720399568408486,negligible
corllartslan,mm,All other sections,spl_aux,2.4228,2.3873,1.7782,0.0355,0.019958615763064146,negligible
corllartslan,mm,All other sections,conjncts,4.4789,4.2384,2.9504,0.2406,0.08153266819384421,negligible
corllartslan,mm,All other sections,agls_psv,18.2965,19.1416,8.1966,-0.8451,-0.10310082377831754,negligible
corllartslan,mm,All other sections,by_pasv,2.6667,2.7764,2.0805,-0.1098,-0.05276509738575853,negligible
corllartslan,mm,All other sections,whiz_vbn,4.3474,4.6743,2.6861,-0.3269,-0.1217089722670189,negligible
corllartslan,mm,All other sections,sub_othr,3.8,3.2934,2.2257,0.5066,0.22760127195507981,small
corllartslan,mm,All other sections,vcmp,2.7544,1.9202,2.0378,0.8342,0.40937140860000437,small
corllartslan,mm,All other sections,downtone,2.4509,2.0518,1.8042,0.3991,0.22122076880157054,small
corllartslan,mm,All other sections,pred_adj,4.3018,3.4254,2.4912,0.8764,0.3517922070558272,small
corllartslan,mm,All other sections,allmodal,5.8632,4.2008,3.5795,1.6624,0.4644135042835915,small
corllartslan,mm,All other sections,allconj,15.5,15.9775,5.8135,-0.4775,-0.08213025710929633,negligible
corllartslan,mm,All other sections,allpasv,25.307,26.5921,9.1227,-1.2851,-0.14086308892255014,negligible
corllartslan,mm,All other sections,allwh,0.2842,0.3072,0.7852,-0.023,-0.029339755228442704,negligible
corllartslan,mm,All other sections,allwhrel,4.0561,3.9259,2.6516,0.1302,0.04910457549372656,negligible
corllartslan,mm,All other sections,alladj,83.2053,82.9674,15.4604,0.2379,0.015386325560549504,negligible
corllartslan,mm,All other sections,allpro,18.0579,16.5228,10.2295,1.5351,0.15006890009009488,negligible
corllartslan,mm,All other sections,have,1.4649,1.2783,1.4453,0.1867,0.129145422620462,negligible
corllartslan,mm,All other sections,allverb,105.6737,104.2642,12.9807,1.4095,0.10858208604548963,negligible
corllartslan,mm,All other sections,vprogrsv,5.093,5.3519,3.0516,-0.2589,-0.08483679439937213,negligible
corllartslan,mm,All other sections,that_rel,2.9404,2.8498,2.4287,0.0905,0.037271098820905096,negligible
corllartslan,mm,All other sections,jcmp,0.0842,0.0914,0.2844,-0.0072,-0.025254457462966978,negligible
corllartslan,mm,All other sections,nonf_vth,1.7807,1.3136,1.5244,0.4671,0.3064229307775715,small
corllartslan,mm,All other sections,att_vth,0.4789,0.4323,0.7821,0.0467,0.05967251383590375,negligible
corllartslan,mm,All other sections,fact_vth,1.1772,0.8126,1.113,0.3646,0.32759382358570116,small
corllartslan,mm,All other sections,lkly_vth,1.1263,0.8272,1.1957,0.2991,0.2501705411789061,small
corllartslan,mm,All other sections,att_jth,0.1491,0.0966,0.2926,0.0525,0.17948898936935734,negligible
corllartslan,mm,All other sections,fact_jth,0.0526,0.052,0.1959,0.0006,0.00331700402311643,negligible
corllartslan,mm,All other sections,lkly_jth,0.1912,0.2942,0.9425,-0.103,-0.10927746286427406,negligible
corllartslan,mm,All other sections,nfct_nth,0.0298,0.0267,0.1905,0.0031,0.01625783574316718,negligible
corllartslan,mm,All other sections,att_nth,0.0158,0.0249,0.1456,-0.0091,-0.06267155676612546,negligible
corllartslan,mm,All other sections,fct_nth,0.1526,0.0956,0.3207,0.057,0.17788417240741336,negligible
corllartslan,mm,All other sections,lkly_nth,0.2035,0.1488,0.4582,0.0547,0.11937710376238186,negligible
corllartslan,mm,All other sections,spch_vto,0.507,0.4126,0.9104,0.0944,0.10373759061618235,negligible
corllartslan,mm,All other sections,mntl_vto,0.407,0.3612,0.6808,0.0459,0.06736214896651384,negligible
corllartslan,mm,All other sections,dsre_vto,0.4965,0.566,0.7849,-0.0695,-0.08859013095385469,negligible
corllartslan,mm,All other sections,efrt_vto,1.3596,1.1456,1.2381,0.214,0.17285804198151666,negligible
corllartslan,mm,All other sections,prob_vto,0.1281,0.1335,0.3664,-0.0055,-0.014878640008529459,negligible
corllartslan,mm,All other sections,x1_jto,0.2351,0.3165,0.9546,-0.0814,-0.08531909642666576,negligible
corllartslan,mm,All other sections,x2_jto,0.4351,0.274,0.5641,0.1611,0.285635442826888,small
corllartslan,mm,All other sections,x3_jto,0.0263,0.0198,0.143,0.0065,0.04544233918186368,negligible
corllartslan,mm,All other sections,x4_jto,0.214,0.1769,0.4807,0.0371,0.07725642296813912,negligible
corllartslan,mm,All other sections,x5_jto,0.1561,0.1169,0.3298,0.0393,0.11907509469753702,negligible
corllartslan,mm,All other sections,all_nto,0.2526,0.442,0.8216,-0.1894,-0.23050331529413706,small
corllartslan,mm,All other sections,nonfadvl,0.7772,0.8497,1.0759,-0.0725,-0.0674096458752079,negligible
corllartslan,mm,All other sections,atadvl,0.0491,0.0215,0.131,0.0276,0.21074935194431305,small
