Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corllartslan,rd,All other sections,tccncrt,8.35,5.0905,5.1707,3.2595,0.6304,medium
corllartslan,rd,All other sections,relatnj,6.0583,4.594,2.807,1.4643,0.5217,medium
corllartslan,rd,All other sections,pl_adv,4.5528,3.2379,3.1224,1.3148,0.4211,small
corllartslan,rd,All other sections,nfct_nth,0.1208,0.0474,0.1883,0.0735,0.3903,small
corllartslan,rd,All other sections,pres,62.1722,56.0405,16.0508,6.1317,0.382,small
corllartslan,rd,All other sections,be_state,2.0014,1.5362,1.335,0.4652,0.3484,small
corllartslan,rd,All other sections,copulapv,0.0792,0.0243,0.159,0.0549,0.3452,small
corllartslan,rd,All other sections,fctadvl,0.8458,0.5536,0.8694,0.2922,0.3362,small
corllartslan,rd,All other sections,finlprep,0.9903,0.6726,1.1072,0.3177,0.2869,small
corllartslan,rd,All other sections,pos_mod,6.875,5.9188,3.3556,0.9562,0.2849,small
corllartslan,rd,All other sections,by_pasv,2.1236,1.7482,1.3185,0.3754,0.2847,small
corllartslan,rd,All other sections,atadvl,0.1208,0.0666,0.2019,0.0543,0.2688,small
corllartslan,rd,All other sections,all_advl,2.1403,1.7629,1.4844,0.3774,0.2542,small
corllartslan,rd,All other sections,prob_vto,0.9486,0.7084,0.9575,0.2402,0.2509,small
corllartslan,rd,All other sections,pro1,10.5,8.8219,7.0015,1.6781,0.2397,small
corllartslan,rd,All other sections,spch_vto,0.2889,0.1969,0.41,0.092,0.2244,small
corllartslan,rd,All other sections,sub_cnd,1.1278,0.8962,1.0876,0.2316,0.2129,small
corllartslan,rd,All other sections,agls_psv,10.9847,10.1032,4.3023,0.8815,0.2049,small
corllartslan,rd,All other sections,allwh,0.4569,0.3493,0.5523,0.1077,0.195,negligible
corllartslan,rd,All other sections,it,4.5819,4.0394,2.7891,0.5425,0.1945,negligible
corllartslan,rd,All other sections,vcmp,6.6028,6.0006,3.1052,0.6022,0.1939,negligible
corllartslan,rd,All other sections,allmodal,9.7111,8.8249,4.6032,0.8862,0.1925,negligible
corllartslan,rd,All other sections,wh_cl,0.3264,0.2479,0.4447,0.0785,0.1766,negligible
corllartslan,rd,All other sections,alladj,98.4722,95.1902,18.7006,3.282,0.1755,negligible
corllartslan,rd,All other sections,existv,9.9375,9.3258,3.7451,0.6117,0.1633,negligible
corllartslan,rd,All other sections,amplifr,1.7639,1.5535,1.3659,0.2104,0.154,negligible
corllartslan,rd,All other sections,sub_othr,4.5486,4.2457,2.0336,0.3029,0.1489,negligible
corllartslan,rd,All other sections,nonfadvl,0.8139,0.7099,0.7964,0.1039,0.1305,negligible
corllartslan,rd,All other sections,prtcle,0.0667,0.0469,0.1535,0.0197,0.1286,negligible
corllartslan,rd,All other sections,allpasv,15.9264,15.3272,5.2479,0.5992,0.1142,negligible
corllartslan,rd,All other sections,pro_do,0.2681,0.208,0.5419,0.06,0.1108,negligible
corllartslan,rd,All other sections,adj_attr,70.4611,68.7158,16.6968,1.7453,0.1045,negligible
corllartslan,rd,All other sections,all_vth,7.5458,7.2067,3.3367,0.3392,0.1017,negligible
corllartslan,rd,All other sections,evalj,1.0069,0.8817,1.2469,0.1253,0.1005,negligible
corllartslan,rd,All other sections,pdem,2.8264,2.6464,1.8449,0.18,0.0976,negligible
corllartslan,rd,All other sections,all_nth,0.8806,0.7797,1.0361,0.1009,0.0973,negligible
corllartslan,rd,All other sections,tm_adv,1.6403,1.5013,1.4468,0.139,0.0961,negligible
corllartslan,rd,All other sections,wh_ques,0.1278,0.1023,0.2823,0.0254,0.0901,negligible
corllartslan,rd,All other sections,fact_vth,2.7889,2.6206,1.8685,0.1683,0.0901,negligible
corllartslan,rd,All other sections,nonf_vth,2.3444,2.2187,1.58,0.1258,0.0796,negligible
corllartslan,rd,All other sections,x5_jto,0.3153,0.2803,0.4443,0.035,0.0787,negligible
corllartslan,rd,All other sections,fct_nth,0.3542,0.314,0.5234,0.0402,0.0767,negligible
corllartslan,rd,All other sections,rel_pipe,0.7667,0.7079,0.7839,0.0588,0.075,negligible
corllartslan,rd,All other sections,x3_jto,0.0153,0.0099,0.077,0.0053,0.0694,negligible
corllartslan,rd,All other sections,advs,32.5583,32.0154,8.2732,0.5429,0.0656,negligible
