Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corllartslin,abs,All other sections,ttr,30.5,30.9746,2.7463,-0.4746,-0.17280990662133194,negligible
corllartslin,abs,All other sections,wrlengh,5.625,5.542,0.3005,0.083,0.2762143604387019,small
corllartslin,abs,All other sections,wcount,319.0,386.4751,172.2293,-67.4751,-0.39177507359013536,small
corllartslin,abs,All other sections,that_del,0.0,0.5878,1.432,-0.5878,-0.4105015375823189,small
corllartslin,abs,All other sections,contrac,0.0,0.305,1.0841,-0.305,-0.2813069460526866,small
corllartslin,abs,All other sections,pres,68.9,43.821,17.5574,25.079,1.4283983394976951,large
corllartslin,abs,All other sections,pro2,0.0,0.0547,0.7298,-0.0547,-0.07494626681670401,negligible
corllartslin,abs,All other sections,pro_do,0.0,0.1691,0.686,-0.1691,-0.2464332991073396,small
corllartslin,abs,All other sections,pdem,0.75,1.332,2.2807,-0.582,-0.25520516737993965,small
corllartslin,abs,All other sections,gen_emph,1.55,1.474,2.8743,0.076,0.02642981805011533,negligible
corllartslin,abs,All other sections,pro1,12.55,8.1083,8.1226,4.4417,0.5468369361610134,medium
corllartslin,abs,All other sections,it,0.0,2.7166,3.1321,-2.7166,-0.867340279270239,large
corllartslin,abs,All other sections,be_state,0.825,0.8044,1.5808,0.0206,0.013019078964119255,negligible
corllartslin,abs,All other sections,sub_cos,0.75,0.2983,1.0335,0.4517,0.4370026982459884,small
corllartslin,abs,All other sections,prtcle,0.0,0.0398,0.33,-0.0398,-0.1205276511615761,negligible
corllartslin,abs,All other sections,pany,0.0,0.5619,1.3693,-0.5619,-0.4103487909213824,small
corllartslin,abs,All other sections,gen_hdg,0.0,0.0293,0.2838,-0.0293,-0.10319309049487556,negligible
corllartslin,abs,All other sections,amplifr,0.775,0.7381,1.6011,0.0369,0.023033441359525616,negligible
corllartslin,abs,All other sections,wh_ques,0.0,0.5989,1.6065,-0.5989,-0.37278479129707065,small
corllartslin,abs,All other sections,pos_mod,4.025,4.0083,4.4637,0.0167,0.003744168429518921,negligible
corllartslin,abs,All other sections,o_and,10.9,8.3901,6.2621,2.5099,0.4008124157163253,small
corllartslin,abs,All other sections,wh_cl,0.0,0.3243,0.9682,-0.3243,-0.3349545362308038,small
corllartslin,abs,All other sections,finlprep,0.0,0.3127,0.9555,-0.3127,-0.3272654531247327,small
corllartslin,abs,All other sections,n,344.725,365.5564,39.5723,-20.8314,-0.5264130887207723,medium
corllartslin,abs,All other sections,prep,143.9,136.9376,22.9515,6.9624,0.3033538386691552,small
corllartslin,abs,All other sections,adj_attr,77.45,76.1602,24.9667,1.2898,0.051659872651765845,negligible
corllartslin,abs,All other sections,pasttnse,31.075,31.3193,15.9928,-0.2443,-0.015277947823898177,negligible
corllartslin,abs,All other sections,pro3,17.25,4.9558,5.2964,12.2942,2.3212487690903876,large
corllartslin,abs,All other sections,perfects,3.15,3.5481,3.3385,-0.3981,-0.11923623639557158,negligible
corllartslin,abs,All other sections,rel_obj,1.625,0.3994,1.1178,1.2256,1.0963892968258524,large
corllartslin,abs,All other sections,rel_subj,1.525,2.2188,2.5621,-0.6938,-0.27078672944325194,small
corllartslin,abs,All other sections,rel_pipe,3.075,0.774,2.1005,2.301,1.0954369288837396,large
corllartslin,abs,All other sections,p_and,3.825,3.2536,4.315,0.5714,0.13242306570094595,negligible
corllartslin,abs,All other sections,tm_adv,0.0,1.4017,1.9465,-1.4017,-0.7200975494777981,medium
corllartslin,abs,All other sections,pl_adv,0.75,4.116,8.4662,-3.366,-0.39758409054989635,small
corllartslin,abs,All other sections,advs,28.875,23.2912,12.3173,5.5838,0.45333303810210446,small
corllartslin,abs,All other sections,inf,8.55,10.4403,6.9896,-1.8903,-0.27044840101811474,small
