Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corllartslin,int,All other sections,ttr,30.918,31.8842,2.2267,-0.9663,-0.4339437501178884,small
corllartslin,int,All other sections,wrlengh,5.4247,5.5334,0.272,-0.1087,-0.3995724099370024,small
corllartslin,int,All other sections,wcount,1682.573,1139.3266,875.9886,543.2464,0.6201524005124351,medium
corllartslin,int,All other sections,that_del,0.4461,0.4673,0.7714,-0.0213,-0.027573028589284305,negligible
corllartslin,int,All other sections,contrac,0.0079,0.5152,1.1225,-0.5073,-0.4519869034428277,small
corllartslin,int,All other sections,pres,67.536,62.6676,14.7931,4.8684,0.32909768127223715,small
corllartslin,int,All other sections,pro2,0.1247,0.0899,0.4981,0.0348,0.06981908464627565,negligible
corllartslin,int,All other sections,pro_do,0.209,0.2044,0.5725,0.0046,0.00797163664052836,negligible
corllartslin,int,All other sections,pdem,2.2461,1.8537,1.8012,0.3923,0.21781939788939528,small
corllartslin,int,All other sections,gen_emph,1.6933,1.6107,1.6706,0.0826,0.04941993575563819,negligible
corllartslin,int,All other sections,pro1,7.4775,6.3841,5.8461,1.0935,0.18704017747301527,negligible
corllartslin,int,All other sections,it,5.6449,4.3488,3.3433,1.2962,0.3877010909905,small
corllartslin,int,All other sections,be_state,1.7584,1.299,1.5763,0.4595,0.29147914380091755,small
corllartslin,int,All other sections,sub_cos,0.8764,0.7615,1.1705,0.1149,0.0981946086286682,negligible
corllartslin,int,All other sections,prtcle,0.0438,0.0552,0.2814,-0.0114,-0.04040561530187332,negligible
corllartslin,int,All other sections,pany,0.7685,0.8165,1.0879,-0.048,-0.04407665695440137,negligible
corllartslin,int,All other sections,gen_hdg,0.0787,0.1288,0.4609,-0.0501,-0.10881799610410625,negligible
corllartslin,int,All other sections,amplifr,1.8022,1.1712,1.4803,0.631,0.42630827805007926,small
corllartslin,int,All other sections,wh_ques,0.0966,0.2445,0.737,-0.1479,-0.2006234999778367,small
corllartslin,int,All other sections,pos_mod,6.3382,5.749,3.937,0.5892,0.1496574395689965,negligible
corllartslin,int,All other sections,o_and,8.327,8.9775,4.8885,-0.6505,-0.13306895059066,negligible
corllartslin,int,All other sections,wh_cl,0.3787,0.2577,0.5966,0.121,0.20275601928950104,small
corllartslin,int,All other sections,finlprep,1.073,0.4934,0.97,0.5796,0.5975850251303283,medium
corllartslin,int,All other sections,n,325.3258,344.4077,30.3681,-19.0819,-0.6283537633628818,medium
corllartslin,int,All other sections,prep,133.2079,135.4901,15.4088,-2.2822,-0.14811260541152352,negligible
