Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corllartslin,mm,All other sections,ttr,31.0328,31.4676,2.6947,-0.4348,-0.1613617370740549,negligible
corllartslin,mm,All other sections,wrlengh,5.0328,5.2761,0.2623,-0.2433,-0.9275094483051527,large
corllartslin,mm,All other sections,wcount,1738.7759,1384.5261,914.194,354.2498,0.3874995763619515,small
corllartslin,mm,All other sections,that_del,0.5328,0.5192,0.8573,0.0136,0.015861694593738467,negligible
corllartslin,mm,All other sections,contrac,0.1603,0.4002,0.9336,-0.2399,-0.2569477271240008,small
corllartslin,mm,All other sections,pres,43.2552,41.1497,19.6584,2.1055,0.10710524284813709,negligible
corllartslin,mm,All other sections,pro2,0.181,0.557,1.7869,-0.376,-0.21041868650177722,small
corllartslin,mm,All other sections,pro_do,0.1241,0.1639,0.5586,-0.0398,-0.0712569344722431,negligible
corllartslin,mm,All other sections,pdem,1.7845,1.5483,1.5923,0.2362,0.14832675908092607,negligible
corllartslin,mm,All other sections,gen_emph,1.1034,0.9449,1.1676,0.1586,0.13578975031371632,negligible
corllartslin,mm,All other sections,pro1,9.3828,10.9681,9.0643,-1.5854,-0.17490437106936596,negligible
corllartslin,mm,All other sections,it,3.9328,2.4947,2.4327,1.4381,0.5911443646773344,medium
corllartslin,mm,All other sections,be_state,0.7966,0.6018,0.9289,0.1947,0.20963835421407623,small
corllartslin,mm,All other sections,sub_cos,0.8672,0.792,1.1024,0.0753,0.06829871402404648,negligible
corllartslin,mm,All other sections,prtcle,0.1017,0.0418,0.2428,0.0599,0.24665495174902125,small
corllartslin,mm,All other sections,pany,1.3155,0.7296,1.0227,0.5859,0.5729127759213269,medium
corllartslin,mm,All other sections,gen_hdg,0.0983,0.1037,0.3473,-0.0055,-0.015735523059644797,negligible
corllartslin,mm,All other sections,amplifr,1.0931,1.1328,1.7427,-0.0397,-0.022759701225703546,negligible
corllartslin,mm,All other sections,wh_ques,0.1138,0.1435,0.6281,-0.0297,-0.04735683711190171,negligible
corllartslin,mm,All other sections,pos_mod,3.5224,2.7528,2.7267,0.7696,0.2822369550678745,small
corllartslin,mm,All other sections,o_and,6.6931,8.25,4.5216,-1.5569,-0.3443212260629322,small
corllartslin,mm,All other sections,wh_cl,0.1621,0.1646,0.4822,-0.0026,-0.0053021501171176925,negligible
corllartslin,mm,All other sections,finlprep,1.1276,0.8143,1.5343,0.3133,0.20420081386021488,small
corllartslin,mm,All other sections,n,324.6724,351.3973,33.6417,-26.7249,-0.7943978411692222,medium
corllartslin,mm,All other sections,prep,130.4759,129.1788,14.9255,1.2971,0.08690273204987553,negligible
corllartslin,mm,All other sections,adj_attr,58.0224,61.3334,13.7921,-3.311,-0.24006796561413282,small
corllartslin,mm,All other sections,pasttnse,38.7931,40.0643,17.9562,-1.2712,-0.0707934121031035,negligible
corllartslin,mm,All other sections,pro3,5.3914,5.198,4.4683,0.1934,0.04328698711337991,negligible
corllartslin,mm,All other sections,perfects,1.9483,2.9649,2.3977,-1.0166,-0.423976584587407,small
corllartslin,mm,All other sections,rel_obj,0.4621,0.4272,0.6839,0.0349,0.05097055365702494,negligible
corllartslin,mm,All other sections,rel_subj,2.0,2.626,2.1195,-0.626,-0.29533077432691285,small
corllartslin,mm,All other sections,rel_pipe,1.2241,0.8952,1.2318,0.3289,0.2670159869000869,small
corllartslin,mm,All other sections,p_and,2.0948,2.5218,2.1555,-0.4269,-0.19807481370929933,negligible
corllartslin,mm,All other sections,tm_adv,3.1672,2.2747,1.9861,0.8925,0.44939138166190673,small
corllartslin,mm,All other sections,pl_adv,3.1638,2.8432,2.6341,0.3206,0.1217084943853704,negligible
corllartslin,mm,All other sections,advs,25.981,22.1463,8.0029,3.8348,0.4791730948937841,small
corllartslin,mm,All other sections,inf,8.2466,8.7412,3.995,-0.4946,-0.1238061203376211,negligible
corllartslin,mm,All other sections,prd_mod,1.4,0.9863,1.3675,0.4137,0.30252702243281177,small
corllartslin,mm,All other sections,sua_vb,0.9655,1.5162,1.6039,-0.5507,-0.3433516845449866,small
corllartslin,mm,All other sections,sub_cnd,1.8741,1.1328,1.6824,0.7414,0.440653606667654,small
corllartslin,mm,All other sections,nec_mod,0.731,0.4747,0.8823,0.2563,0.2905029022670278,small
corllartslin,mm,All other sections,spl_aux,2.1638,2.4043,1.7773,-0.2405,-0.13532558707362397,negligible
corllartslin,mm,All other sections,conjncts,4.9397,4.2078,2.9457,0.7318,0.24844003681135382,small
corllartslin,mm,All other sections,agls_psv,20.019,19.0293,8.1956,0.9897,0.120761967725518,negligible
