Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corllartslin,rd,All other sections,tccncrt,11.5364,4.9265,5.01,6.6099,1.3194,large
corllartslin,rd,All other sections,all_nth,1.2667,0.7583,1.0301,0.5084,0.4935,small
corllartslin,rd,All other sections,vcmp,7.4742,5.9543,3.0894,1.52,0.492,small
corllartslin,rd,All other sections,existv,10.8712,9.276,3.7306,1.5952,0.4276,small
corllartslin,rd,All other sections,lkly_nth,0.6864,0.3599,0.7933,0.3264,0.4115,small
corllartslin,rd,All other sections,finlprep,1.0848,0.6689,1.1057,0.416,0.3762,small
corllartslin,rd,All other sections,fctadvl,0.8394,0.5555,0.8697,0.2839,0.3265,small
corllartslin,rd,All other sections,cognitn,8.2515,6.8025,4.6658,1.449,0.3106,small
corllartslin,rd,All other sections,all_advl,2.2121,1.7608,1.4836,0.4513,0.3042,small
corllartslin,rd,All other sections,fct_nth,0.4667,0.3078,0.5222,0.1588,0.3042,small
corllartslin,rd,All other sections,by_pasv,2.1485,1.7488,1.3183,0.3997,0.3032,small
corllartslin,rd,All other sections,rel_pipe,0.9273,0.6991,0.7823,0.2282,0.2917,small
corllartslin,rd,All other sections,all_th,10.4106,9.2826,4.1,1.128,0.2751,small
corllartslin,rd,All other sections,sub_cnd,1.1818,0.8943,1.087,0.2875,0.2645,small
corllartslin,rd,All other sections,wh_ques,0.1742,0.0998,0.2818,0.0744,0.264,small
corllartslin,rd,All other sections,pro1,10.6288,8.8232,7.0008,1.8056,0.2579,small
corllartslin,rd,All other sections,sub_othr,4.747,4.236,2.0316,0.5109,0.2515,small
corllartslin,rd,All other sections,copulapv,0.0652,0.0254,0.1592,0.0398,0.2499,small
corllartslin,rd,All other sections,abstrcn,34.1076,30.7185,13.6226,3.3891,0.2488,small
corllartslin,rd,All other sections,all_vth,7.9318,7.1865,3.3334,0.7453,0.2236,small
corllartslin,rd,All other sections,advs,33.7697,31.9494,8.264,1.8203,0.2203,small
corllartslin,rd,All other sections,allmodal,9.8333,8.8225,4.6023,1.0108,0.2196,small
corllartslin,rd,All other sections,conjncts,7.6864,7.0014,3.1597,0.685,0.2168,small
corllartslin,rd,All other sections,be_state,1.8348,1.5481,1.338,0.2868,0.2143,small
corllartslin,rd,All other sections,pres,59.4121,56.2288,16.0994,3.1833,0.1977,negligible
corllartslin,rd,All other sections,pred_adj,7.2652,6.7161,2.9907,0.5491,0.1836,negligible
corllartslin,rd,All other sections,pos_mod,6.5485,5.9423,3.3603,0.6062,0.1804,negligible
corllartslin,rd,All other sections,nec_mod,1.3485,1.1433,1.2422,0.2051,0.1652,negligible
corllartslin,rd,All other sections,mentalv,14.1318,13.2415,5.4066,0.8903,0.1647,negligible
