Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corsscicom,abs,All other sections,ttr,28.67,31.0954,2.6913,-2.4254,-0.9012274952070098,large
corsscicom,abs,All other sections,wrlengh,5.42,5.5509,0.2993,-0.1309,-0.43720874398513826,small
corsscicom,abs,All other sections,wcount,309.3,389.3429,171.5492,-80.0429,-0.46658846959180694,small
corsscicom,abs,All other sections,that_del,0.92,0.5554,1.4322,0.3646,0.25455366445989785,small
corsscicom,abs,All other sections,contrac,1.65,0.2211,1.0353,1.4289,1.380177184814878,large
corsscicom,abs,All other sections,pres,45.85,44.2783,17.9328,1.5717,0.08764455561135588,negligible
corsscicom,abs,All other sections,pro2,0.99,0.0,0.6943,0.99,1.4259499757471625,large
corsscicom,abs,All other sections,pro_do,0.0,0.1749,0.6853,-0.1749,-0.25514529855695317,small
corsscicom,abs,All other sections,pdem,1.65,1.3006,2.2809,0.3494,0.15319794915602714,negligible
corsscicom,abs,All other sections,gen_emph,1.95,1.4486,2.872,0.5014,0.17458935252812863,negligible
corsscicom,abs,All other sections,pro1,5.09,8.3823,8.114,-3.2923,-0.4057521439531342,small
corsscicom,abs,All other sections,it,1.28,2.7366,3.1398,-1.4566,-0.46391287298899697,small
corsscicom,abs,All other sections,be_state,0.99,0.7943,1.5801,0.1957,0.12385867405543911,negligible
corsscicom,abs,All other sections,sub_cos,0.0,0.3257,1.033,-0.3257,-0.3153115089566184,small
corsscicom,abs,All other sections,prtcle,0.0,0.0411,0.33,-0.0411,-0.12469074427721305,negligible
corsscicom,abs,All other sections,pany,1.31,0.5063,1.3595,0.8037,0.5911801329355928,medium
corsscicom,abs,All other sections,gen_hdg,0.0,0.0303,0.2837,-0.0303,-0.10675041548043716,negligible
corsscicom,abs,All other sections,amplifr,0.32,0.7629,1.5979,-0.4429,-0.27714546206457763,small
corsscicom,abs,All other sections,wh_ques,0.33,0.6006,1.6078,-0.2706,-0.16829170260847187,negligible
corsscicom,abs,All other sections,pos_mod,2.95,4.0691,4.4564,-1.1191,-0.25113126386577356,small
corsscicom,abs,All other sections,o_and,6.77,8.54,6.26,-1.77,-0.2827489798634596,small
corsscicom,abs,All other sections,wh_cl,0.61,0.3006,0.9668,0.3094,0.3200464875500036,small
corsscicom,abs,All other sections,finlprep,0.32,0.3051,0.9566,0.0149,0.015531146718214324,negligible
corsscicom,abs,All other sections,n,365.46,365.0857,39.6892,0.3743,0.009430406188850745,negligible
corsscicom,abs,All other sections,prep,150.1,136.3446,22.7602,13.7554,0.6043623455869442,medium
corsscicom,abs,All other sections,adj_attr,64.75,76.8417,24.8156,-12.0917,-0.4872616955128969,small
corsscicom,abs,All other sections,pasttnse,33.23,31.2046,15.9862,2.0254,0.12669856960190726,negligible
corsscicom,abs,All other sections,pro3,4.85,5.2429,5.5925,-0.3929,-0.07024729393273754,negligible
corsscicom,abs,All other sections,perfects,2.81,3.5811,3.3344,-0.7711,-0.2312710166747802,small
corsscicom,abs,All other sections,rel_obj,0.66,0.4126,1.1307,0.2474,0.21883056443748605,small
corsscicom,abs,All other sections,rel_subj,1.61,2.2377,2.5601,-0.6277,-0.24518747315586856,small
corsscicom,abs,All other sections,rel_pipe,0.33,0.852,2.124,-0.522,-0.24576628534423506,small
corsscicom,abs,All other sections,p_and,0.95,3.3983,4.2798,-2.4483,-0.5720577617182083,medium
corsscicom,abs,All other sections,tm_adv,0.62,1.4143,1.9489,-0.7943,-0.4075566042308056,small
corsscicom,abs,All other sections,pl_adv,2.56,4.128,8.473,-1.568,-0.18505862938665335,negligible
corsscicom,abs,All other sections,advs,20.05,23.604,12.3179,-3.554,-0.2885240303597486,small
corsscicom,abs,All other sections,inf,13.28,10.2349,6.9607,3.0451,0.43747412527751306,small
corsscicom,abs,All other sections,prd_mod,1.31,0.9851,2.0538,0.3249,0.15817379227418,negligible
corsscicom,abs,All other sections,sua_vb,3.27,1.5783,2.2468,1.6917,0.7529461874644855,medium
corsscicom,abs,All other sections,sub_cnd,0.99,0.3103,1.2549,0.6797,0.5416605336765525,medium
corsscicom,abs,All other sections,nec_mod,0.66,0.7091,1.6063,-0.0491,-0.030594054883916397,negligible
corsscicom,abs,All other sections,spl_aux,1.31,2.052,2.6387,-0.742,-0.2811963384842545,small
corsscicom,abs,All other sections,conjncts,5.9,4.8474,5.4224,1.0526,0.19411698187138574,negligible
corsscicom,abs,All other sections,agls_psv,13.64,11.1491,7.89,2.4909,0.3156965066553748,small
corsscicom,abs,All other sections,by_pasv,2.31,1.3783,2.2408,0.9317,0.4158022355763266,small
corsscicom,abs,All other sections,whiz_vbn,1.96,3.9583,3.5928,-1.9983,-0.5561909575688065,medium
corsscicom,abs,All other sections,sub_othr,0.92,2.9623,3.1918,-2.0423,-0.6398541480400428,medium
corsscicom,abs,All other sections,vcmp,3.89,3.9863,4.1095,-0.0963,-0.02343028214012331,negligible
corsscicom,abs,All other sections,downtone,2.22,1.6229,2.4477,0.5971,0.2439643059992094,small
corsscicom,abs,All other sections,pred_adj,3.88,4.3697,4.0396,-0.4897,-0.12122832669508254,negligible
corsscicom,abs,All other sections,allmodal,4.92,5.7611,5.199,-0.8411,-0.16178780492941006,negligible
corsscicom,abs,All other sections,allconj,9.61,15.5366,9.0695,-5.9266,-0.653458764076031,medium
corsscicom,abs,All other sections,allpasv,17.88,16.4931,8.6054,1.3869,0.16116206457913443,negligible
corsscicom,abs,All other sections,allwh,0.94,0.9017,1.8357,0.0383,0.02085617493285214,negligible
corsscicom,abs,All other sections,allwhrel,2.6,3.5023,3.65,-0.9023,-0.24720047122864244,small
corsscicom,abs,All other sections,alladj,83.83,101.3566,27.9979,-17.5266,-0.6259957745100473,medium
corsscicom,abs,All other sections,allpro,10.91,13.6303,10.6901,-2.7203,-0.2544671378182166,small
corsscicom,abs,All other sections,have,1.26,1.4869,2.4032,-0.2269,-0.09439745357762613,negligible
corsscicom,abs,All other sections,allverb,105.61,99.4126,18.7398,6.1974,0.3307100413280896,small
corsscicom,abs,All other sections,vprogrsv,6.47,5.6846,4.587,0.7854,0.1712278003022454,negligible
corsscicom,abs,All other sections,that_rel,1.25,2.6051,3.061,-1.3551,-0.44271357214365187,small
corsscicom,abs,All other sections,jcmp,0.0,0.1423,0.6213,-0.1423,-0.22900223323407556,small
corsscicom,abs,All other sections,nonf_vth,1.31,2.124,2.5533,-0.814,-0.31879926735764424,small
corsscicom,abs,All other sections,att_vth,0.33,0.3331,1.2299,-0.0031,-0.0025553157571758926,negligible
corsscicom,abs,All other sections,fact_vth,2.22,1.8709,2.7521,0.3491,0.12686391308762288,negligible
corsscicom,abs,All other sections,lkly_vth,0.65,1.0983,2.2934,-0.4483,-0.19546648123480495,negligible
corsscicom,abs,All other sections,att_jth,0.0,0.1509,0.6257,-0.1509,-0.2411135414921056,small
corsscicom,abs,All other sections,fact_jth,0.0,0.0177,0.1749,-0.0177,-0.10130848433078078,negligible
corsscicom,abs,All other sections,lkly_jth,1.29,0.6617,2.0655,0.6283,0.3041865090645801,small
corsscicom,abs,All other sections,nfct_nth,0.0,0.0051,0.0663,-0.0051,-0.07752323662456803,negligible
corsscicom,abs,All other sections,att_nth,0.0,0.0177,0.2285,-0.0177,-0.077523236624568,negligible
corsscicom,abs,All other sections,fct_nth,0.32,0.1674,1.2909,0.1526,0.11818900431185042,negligible
corsscicom,abs,All other sections,lkly_nth,0.0,0.1691,0.7577,-0.1691,-0.2232411288651742,small
corsscicom,abs,All other sections,spch_vto,0.0,0.3103,1.0088,-0.3103,-0.307573639755178,small
corsscicom,abs,All other sections,mntl_vto,0.33,0.2623,0.8909,0.0677,0.07600543656718371,negligible
corsscicom,abs,All other sections,dsre_vto,2.58,1.0457,1.7706,1.5343,0.8665186178933544,large
corsscicom,abs,All other sections,efrt_vto,0.33,0.9931,1.9118,-0.6631,-0.34687050732013647,small
corsscicom,abs,All other sections,prob_vto,0.0,0.292,1.0987,-0.292,-0.26576751034885715,small
corsscicom,abs,All other sections,x1_jto,1.62,0.7326,2.1907,0.8874,0.4050860759613893,small
corsscicom,abs,All other sections,x2_jto,0.0,0.3983,1.2875,-0.3983,-0.3093387502468361,small
corsscicom,abs,All other sections,x3_jto,0.0,0.0,0.0,0.0,,
corsscicom,abs,All other sections,x4_jto,0.33,0.1566,0.7037,0.1734,0.24643815149714546,small
corsscicom,abs,All other sections,x5_jto,0.0,0.1777,0.677,-0.1777,-0.26248874485312274,small
corsscicom,abs,All other sections,all_nto,0.65,0.7691,2.071,-0.1191,-0.05752826925795081,negligible
corsscicom,abs,All other sections,nonfadvl,0.33,0.5451,1.4017,-0.2151,-0.1534907715369418,negligible
corsscicom,abs,All other sections,atadvl,0.0,0.0206,0.1874,-0.0206,-0.10977958060997128,negligible
corsscicom,abs,All other sections,fctadvl,0.0,0.172,0.6981,-0.172,-0.24639834700656632,small
corsscicom,abs,All other sections,lklydvl,0.29,0.1703,0.8198,0.1197,0.1460373743326272,negligible
corsscicom,abs,All other sections,all_vth,4.5,5.4223,4.6496,-0.9223,-0.19835942269415172,negligible
corsscicom,abs,All other sections,all_jth,1.29,0.8303,2.1186,0.4597,0.21699108080957114,small
corsscicom,abs,All other sections,all_nth,0.32,0.3594,1.4927,-0.0394,-0.026414720713147943,negligible
corsscicom,abs,All other sections,all_th,6.12,6.6074,5.4713,-0.4874,-0.08908883504101468,negligible
corsscicom,abs,All other sections,all_vto,3.23,2.8989,3.2219,0.3311,0.1027802732218043,negligible
corsscicom,abs,All other sections,all_jto,1.95,1.4634,2.7244,0.4866,0.17859896733583988,negligible
corsscicom,abs,All other sections,all_to,5.84,5.132,4.9731,0.708,0.142364680242428,negligible
corsscicom,abs,All other sections,all_advl,0.62,0.9091,1.9105,-0.2891,-0.15134073452653313,negligible
corsscicom,abs,All other sections,act_ipv,0.0,0.0,0.0,0.0,,
corsscicom,abs,All other sections,act_tpv,0.65,0.3091,1.1856,0.3409,0.2874993199640712,small
corsscicom,abs,All other sections,mentalpv,0.0,0.0046,0.059,-0.0046,-0.07752323662456803,negligible
corsscicom,abs,All other sections,commpv,0.0,0.0,0.0,0.0,,
corsscicom,abs,All other sections,occurpv,0.0,0.0,0.0,0.0,,
corsscicom,abs,All other sections,copulapv,0.0,0.0189,0.2432,-0.0189,-0.07752323662456803,negligible
corsscicom,abs,All other sections,aspectpv,0.0,0.0,0.0,0.0,,
corsscicom,abs,All other sections,humann,5.25,5.2571,8.1061,-0.0071,-0.0008811716177414114,negligible
corsscicom,abs,All other sections,prcessn,19.84,21.9331,13.7593,-2.0931,-0.15212621442470123,negligible
corsscicom,abs,All other sections,cognitn,12.09,6.2434,5.6214,5.8466,1.0400566789821266,large
corsscicom,abs,All other sections,abstrcn,42.12,38.9326,23.222,3.1874,0.13725874906872712,negligible
corsscicom,abs,All other sections,concrtn,13.27,8.0834,9.3601,5.1866,0.5541162799331215,medium
corsscicom,abs,All other sections,tccncrt,4.86,5.0023,7.4206,-0.1423,-0.019174352913960645,negligible
corsscicom,abs,All other sections,quann,7.42,6.4663,6.1099,0.9537,0.15609422748985952,negligible
corsscicom,abs,All other sections,placen,2.3,5.4703,7.3033,-3.1703,-0.4340886692612912,small
corsscicom,abs,All other sections,groupn,1.64,3.7091,6.0878,-2.0691,-0.3398812626630014,small
corsscicom,abs,All other sections,sizej,1.6,1.8606,3.1954,-0.2606,-0.08154532238786255,negligible
