Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corsscicom,con,All other sections,ttr,29.9263,30.4136,2.9083,-0.4873,-0.16755856801114186,negligible
corsscicom,con,All other sections,wrlengh,5.5053,5.481,0.285,0.0243,0.08512805169428339,negligible
corsscicom,con,All other sections,wcount,647.7895,571.0143,297.4465,76.7751,0.2581141300187124,small
corsscicom,con,All other sections,that_del,0.8263,0.647,1.405,0.1794,0.1276622064529908,negligible
corsscicom,con,All other sections,contrac,0.5105,0.4097,1.0724,0.1008,0.09404183692696193,negligible
corsscicom,con,All other sections,pres,72.3368,63.7197,16.804,8.6171,0.5128021215892665,medium
corsscicom,con,All other sections,pro2,0.1526,0.0358,0.2856,0.1168,0.40888367352527993,small
corsscicom,con,All other sections,pro_do,0.4263,0.1968,0.6528,0.2295,0.3516203957790168,small
corsscicom,con,All other sections,pdem,3.1,2.8405,2.8889,0.2595,0.08982609651848629,negligible
corsscicom,con,All other sections,gen_emph,1.7421,1.4986,1.893,0.2435,0.12865087348240975,negligible
corsscicom,con,All other sections,pro1,11.3579,10.3111,9.2779,1.0468,0.1128257767753215,negligible
corsscicom,con,All other sections,it,5.3947,5.0935,3.9768,0.3012,0.07573690136302763,negligible
corsscicom,con,All other sections,be_state,2.4895,2.2344,2.482,0.2551,0.10276392817708095,negligible
corsscicom,con,All other sections,sub_cos,0.6684,0.6717,1.3245,-0.0033,-0.002463893405498133,negligible
corsscicom,con,All other sections,prtcle,0.0,0.0548,0.3321,-0.0548,-0.16511443932240244,negligible
corsscicom,con,All other sections,pany,0.2947,0.6269,1.1484,-0.3321,-0.28922166743596606,small
corsscicom,con,All other sections,gen_hdg,0.3158,0.1552,0.6248,0.1606,0.25704755253924627,small
corsscicom,con,All other sections,amplifr,1.5263,1.6129,1.9638,-0.0866,-0.04409210189261233,negligible
corsscicom,con,All other sections,wh_ques,0.0737,0.1007,0.6561,-0.027,-0.041199029472508496,negligible
corsscicom,con,All other sections,pos_mod,9.1053,7.5659,5.0085,1.5393,0.30734237023339833,small
corsscicom,con,All other sections,o_and,7.9263,7.8713,5.4014,0.055,0.010180594125131504,negligible
corsscicom,con,All other sections,wh_cl,0.4684,0.3824,0.8819,0.086,0.09749585130753854,negligible
corsscicom,con,All other sections,finlprep,0.3,0.6018,1.6423,-0.3018,-0.18376268282205063,negligible
corsscicom,con,All other sections,n,335.2474,331.5832,33.9277,3.6642,0.10800056360174247,negligible
corsscicom,con,All other sections,prep,131.0316,136.3233,17.0305,-5.2917,-0.31071934694073094,small
corsscicom,con,All other sections,adj_attr,74.2053,83.4505,23.4815,-9.2453,-0.3937264714840309,small
corsscicom,con,All other sections,pasttnse,11.4105,16.295,10.5942,-4.8845,-0.46104917378152094,small
corsscicom,con,All other sections,pro3,9.1947,4.7903,5.114,4.4044,0.8612505206128133,large
corsscicom,con,All other sections,perfects,4.2211,4.7566,4.3107,-0.5356,-0.12424362064246508,negligible
corsscicom,con,All other sections,rel_obj,0.3632,0.6061,1.152,-0.2429,-0.21087567783401892,small
corsscicom,con,All other sections,rel_subj,1.8737,2.1842,2.3744,-0.3105,-0.13078945751765308,negligible
corsscicom,con,All other sections,rel_pipe,0.4895,0.6695,1.1597,-0.1801,-0.15526513000672282,negligible
corsscicom,con,All other sections,p_and,2.5526,3.2946,3.1745,-0.742,-0.23373180851065614,small
corsscicom,con,All other sections,tm_adv,0.5368,1.4151,1.8349,-0.8782,-0.4786128974133387,small
corsscicom,con,All other sections,pl_adv,2.1421,3.9968,5.5855,-1.8547,-0.3320520643680647,small
corsscicom,con,All other sections,advs,31.7105,33.409,10.8839,-1.6984,-0.1560499773136317,negligible
corsscicom,con,All other sections,inf,13.5789,11.0211,6.5193,2.5578,0.3923412380927022,small
corsscicom,con,All other sections,prd_mod,3.2211,2.6161,3.0645,0.6049,0.1973941228527272,negligible
corsscicom,con,All other sections,sua_vb,2.6,2.0498,2.3529,0.5502,0.23382879276986313,small
corsscicom,con,All other sections,sub_cnd,0.8579,0.7609,1.4194,0.097,0.06831138704721655,negligible
corsscicom,con,All other sections,nec_mod,2.4053,2.2735,2.9586,0.1318,0.04454341356093831,negligible
corsscicom,con,All other sections,spl_aux,3.0421,2.9323,2.7296,0.1098,0.04024292892020494,negligible
corsscicom,con,All other sections,conjncts,7.7421,7.2821,5.0316,0.46,0.09142803916335907,negligible
corsscicom,con,All other sections,agls_psv,8.4474,8.5821,5.6457,-0.1347,-0.023860593776877694,negligible
corsscicom,con,All other sections,by_pasv,1.2211,1.753,2.2422,-0.532,-0.23726124197714468,small
corsscicom,con,All other sections,whiz_vbn,3.0842,3.4355,3.1669,-0.3513,-0.11092054463302277,negligible
corsscicom,con,All other sections,sub_othr,4.6684,4.4749,3.582,0.1935,0.054022712453541316,negligible
corsscicom,con,All other sections,vcmp,6.4842,5.9717,4.2333,0.5125,0.12106908871945606,negligible
corsscicom,con,All other sections,downtone,1.3895,2.3326,2.3604,-0.9431,-0.39957019750874895,small
