Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corsscicom,int,All other sections,ttr,31.9012,31.8143,2.2396,0.0869,0.038800717900524716,negligible
corsscicom,int,All other sections,wrlengh,5.5659,5.5235,0.2731,0.0423,0.15499851805646536,negligible
corsscicom,int,All other sections,wcount,1049.2683,1183.9136,885.8532,-134.6453,-0.15199505690627763,negligible
corsscicom,int,All other sections,that_del,0.4646,0.466,0.7714,-0.0014,-0.0017705882583444554,negligible
corsscicom,int,All other sections,contrac,0.8634,0.4562,1.1253,0.4072,0.3618206797889877,small
corsscicom,int,All other sections,pres,65.3524,62.8381,14.8307,2.5144,0.16953723295549944,negligible
corsscicom,int,All other sections,pro2,0.172,0.087,0.4977,0.0849,0.17059493447304244,negligible
corsscicom,int,All other sections,pro_do,0.2,0.205,0.5725,-0.005,-0.008803064980152563,negligible
corsscicom,int,All other sections,pdem,1.8671,1.8808,1.8038,-0.0137,-0.007609874583399519,negligible
corsscicom,int,All other sections,gen_emph,1.4951,1.6242,1.6704,-0.129,-0.07725026514780206,negligible
corsscicom,int,All other sections,pro1,6.4073,6.4604,5.8525,-0.0531,-0.009070163346337213,negligible
corsscicom,int,All other sections,it,4.7756,4.413,3.3578,0.3626,0.10797852062011826,negligible
corsscicom,int,All other sections,be_state,1.3354,1.3293,1.5805,0.0061,0.0038505284306756715,negligible
corsscicom,int,All other sections,sub_cos,0.5573,0.783,1.1696,-0.2257,-0.19298685294058304,negligible
corsscicom,int,All other sections,prtcle,0.0866,0.0523,0.2813,0.0343,0.12182752654708792,negligible
corsscicom,int,All other sections,pany,0.9402,0.805,1.0875,0.1353,0.12439607922763489,negligible
corsscicom,int,All other sections,gen_hdg,0.0963,0.1274,0.461,-0.031,-0.06729005930450205,negligible
corsscicom,int,All other sections,amplifr,1.2037,1.214,1.4886,-0.0103,-0.006946933642711251,negligible
corsscicom,int,All other sections,wh_ques,0.472,0.219,0.7354,0.2529,0.34390236468638763,small
corsscicom,int,All other sections,pos_mod,6.2598,5.7574,3.9379,0.5023,0.12755799850173988,negligible
corsscicom,int,All other sections,o_and,9.1939,8.917,4.8907,0.2769,0.056625780165294334,negligible
corsscicom,int,All other sections,wh_cl,0.3024,0.2634,0.5973,0.0391,0.06542468372677378,negligible
corsscicom,int,All other sections,finlprep,0.4463,0.5378,0.9805,-0.0914,-0.09324008238200382,negligible
corsscicom,int,All other sections,n,350.6549,342.6393,30.6796,8.0156,0.2612678500436781,small
corsscicom,int,All other sections,prep,134.4768,135.3941,15.4178,-0.9173,-0.05949302940960484,negligible
corsscicom,int,All other sections,adj_attr,78.1512,80.7486,19.1319,-2.5974,-0.13576401586214992,negligible
corsscicom,int,All other sections,pasttnse,13.8732,16.5149,9.3004,-2.6417,-0.28404393965481717,small
corsscicom,int,All other sections,pro3,9.3354,6.3194,5.12,3.016,0.5890624020949573,medium
corsscicom,int,All other sections,perfects,8.3793,6.9822,4.0008,1.3971,0.34921154534064985,small
corsscicom,int,All other sections,rel_obj,0.6598,0.5642,0.8871,0.0956,0.10776490975418763,negligible
