Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corsscicom,mm,All other sections,topicj,6.2148,3.4918,4.5259,2.7231,0.6017,medium
corsscicom,mm,All other sections,att_vth,0.7537,0.4157,0.7782,0.338,0.4343,small
corsscicom,mm,All other sections,allverb,108.9611,104.0686,12.935,4.8925,0.3782,small
corsscicom,mm,All other sections,timej,0.8981,0.4612,1.1604,0.437,0.3766,small
corsscicom,mm,All other sections,inf,9.8426,8.6416,3.987,1.2009,0.3012,small
corsscicom,mm,All other sections,cognitn,7.537,6.2198,4.4079,1.3173,0.2988,small
corsscicom,mm,All other sections,x3_jto,0.0574,0.0179,0.1427,0.0395,0.2766,small
corsscicom,mm,All other sections,x2_jto,0.4278,0.2749,0.5643,0.1528,0.2708,small
corsscicom,mm,All other sections,sua_vb,1.8722,1.4585,1.6065,0.4138,0.2576,small
corsscicom,mm,All other sections,lkly_nth,0.263,0.1454,0.4576,0.1176,0.257,small
corsscicom,mm,All other sections,quann,10.5296,8.8624,6.6751,1.6672,0.2498,small
corsscicom,mm,All other sections,pro3,6.2315,5.1476,4.4614,1.0839,0.2429,small
corsscicom,mm,All other sections,all_nth,0.4407,0.2932,0.6261,0.1475,0.2356,small
corsscicom,mm,All other sections,abstrcn,31.6222,28.7912,12.2475,2.831,0.2312,small
corsscicom,mm,All other sections,humann,6.5685,5.2784,5.8397,1.2901,0.2209,small
corsscicom,mm,All other sections,allpro,18.6667,16.4909,10.2235,2.1758,0.2128,small
corsscicom,mm,All other sections,actv,21.1722,19.9223,6.083,1.2499,0.2055,small
corsscicom,mm,All other sections,all_nto,0.5852,0.4211,0.822,0.1641,0.1996,negligible
corsscicom,mm,All other sections,rel_subj,2.9389,2.5659,2.1231,0.373,0.1757,negligible
corsscicom,mm,All other sections,allwhrel,4.337,3.9093,2.6499,0.4278,0.1614,negligible
corsscicom,mm,All other sections,downtone,2.3426,2.0597,1.8055,0.2829,0.1567,negligible
corsscicom,mm,All other sections,pasttnse,42.5593,39.829,17.9476,2.7303,0.1521,negligible
corsscicom,mm,All other sections,aspectpv,0.0111,0.0035,0.0501,0.0076,0.152,negligible
corsscicom,mm,All other sections,pro1,12.1148,10.7945,9.0671,1.3203,0.1456,negligible
corsscicom,mm,All other sections,fct_nth,0.1426,0.0964,0.3208,0.0462,0.144,negligible
corsscicom,mm,All other sections,prd_mod,1.1926,1.0008,1.3704,0.1918,0.14,negligible
corsscicom,mm,All other sections,agls_psv,20.1685,19.0246,8.1947,1.1439,0.1396,negligible
corsscicom,mm,All other sections,n,354.1037,349.4828,34.2351,4.6209,0.135,negligible
corsscicom,mm,All other sections,sub_cnd,1.3926,1.1655,1.6911,0.2271,0.1343,negligible
corsscicom,mm,All other sections,allpasv,27.6278,26.4463,9.1237,1.1815,0.1295,negligible
corsscicom,mm,All other sections,aspectv,1.2537,1.0736,1.4126,0.1801,0.1275,negligible
corsscicom,mm,All other sections,efrt_vto,1.2852,1.1509,1.2387,0.1343,0.1084,negligible
corsscicom,mm,All other sections,existv,9.4037,8.9788,4.0069,0.4249,0.106,negligible
corsscicom,mm,All other sections,commv,6.4352,6.095,3.7443,0.3402,0.0908,negligible
corsscicom,mm,All other sections,sub_othr,3.5093,3.3129,2.2285,0.1964,0.0881,negligible
corsscicom,mm,All other sections,lklydvl,0.1537,0.124,0.3741,0.0297,0.0793,negligible
corsscicom,mm,All other sections,all_to,4.1778,3.9653,2.7251,0.2124,0.078,negligible
corsscicom,mm,All other sections,allmodal,4.5593,4.2859,3.6009,0.2734,0.0759,negligible
corsscicom,mm,All other sections,vcmp,2.1167,1.9619,2.0472,0.1548,0.0756,negligible
corsscicom,mm,All other sections,all_vth,3.6444,3.4464,2.6339,0.1981,0.0752,negligible
corsscicom,mm,All other sections,all_th,4.4148,4.1859,3.1434,0.2289,0.0728,negligible
corsscicom,mm,All other sections,pos_mod,2.9722,2.7898,2.7327,0.1824,0.0667,negligible
corsscicom,mm,All other sections,vprogrsv,5.4926,5.3266,3.052,0.166,0.0544,negligible
corsscicom,mm,All other sections,allconj,16.2444,15.9305,5.8141,0.314,0.054,negligible
corsscicom,mm,All other sections,rel_pipe,0.9778,0.9117,1.2342,0.066,0.0535,negligible
corsscicom,mm,All other sections,prcessn,19.1333,18.7398,8.8118,0.3935,0.0447,negligible
corsscicom,mm,All other sections,gen_emph,1.0019,0.9518,1.1682,0.05,0.0428,negligible
corsscicom,mm,All other sections,o_and,8.3333,8.143,4.5369,0.1903,0.042,negligible
corsscicom,mm,All other sections,by_pasv,2.8519,2.7648,2.0806,0.0871,0.0418,negligible
corsscicom,mm,All other sections,conjncts,4.3611,4.2464,2.9509,0.1147,0.0389,negligible
corsscicom,mm,All other sections,spch_vto,0.45,0.4164,0.9107,0.0336,0.0369,negligible
corsscicom,mm,All other sections,all_vto,2.7037,2.6299,2.0595,0.0738,0.0358,negligible
corsscicom,mm,All other sections,tccncrt,10.5148,10.2876,6.8662,0.2272,0.0331,negligible
corsscicom,mm,All other sections,prob_vto,0.1444,0.1325,0.3664,0.0119,0.0326,negligible
corsscicom,mm,All other sections,wrlengh,5.2685,5.2606,0.2688,0.0079,0.0294,negligible
