Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corsscicom,rd,All other sections,topicj,7.6864,4.7077,5.5845,2.9788,0.5334,medium
corsscicom,rd,All other sections,actv,18.2333,15.3213,5.7769,2.912,0.5041,medium
corsscicom,rd,All other sections,abstrcn,36.5259,30.5036,13.5619,6.0224,0.4441,small
corsscicom,rd,All other sections,inf,10.4889,8.6396,4.4468,1.8493,0.4159,small
corsscicom,rd,All other sections,pro3,7.8519,5.7535,5.2861,2.0984,0.397,small
corsscicom,rd,All other sections,gen_emph,2.3617,1.7833,1.6435,0.5785,0.352,small
corsscicom,rd,All other sections,aspectpv,0.0407,0.013,0.0869,0.0278,0.3194,small
corsscicom,rd,All other sections,allverb,107.3272,102.601,14.972,4.7262,0.3157,small
corsscicom,rd,All other sections,allpro,17.8852,14.892,9.8732,2.9932,0.3032,small
corsscicom,rd,All other sections,humann,6.2457,4.724,5.9212,1.5216,0.257,small
corsscicom,rd,All other sections,x3_jto,0.0284,0.009,0.0768,0.0194,0.2528,small
corsscicom,rd,All other sections,cognitn,7.9494,6.8049,4.6686,1.1445,0.2451,small
corsscicom,rd,All other sections,mentalpv,0.0333,0.0119,0.0903,0.0214,0.237,small
corsscicom,rd,All other sections,commv,6.8901,6.0098,3.7311,0.8803,0.2359,small
corsscicom,rd,All other sections,spch_vto,0.2901,0.1961,0.4099,0.094,0.2294,small
corsscicom,rd,All other sections,vcmp,6.684,5.9902,3.1036,0.6938,0.2235,small
corsscicom,rd,All other sections,pres,59.6642,56.1694,16.092,3.4948,0.2172,small
corsscicom,rd,All other sections,fact_vth,3.0074,2.6038,1.8662,0.4036,0.2163,small
corsscicom,rd,All other sections,wh_ques,0.158,0.1,0.282,0.058,0.2058,small
corsscicom,rd,All other sections,all_vto,3.3815,2.9912,1.935,0.3903,0.2017,small
corsscicom,rd,All other sections,that_rel,3.742,3.2858,2.2791,0.4562,0.2002,small
corsscicom,rd,All other sections,all_th,10.0975,9.29,4.103,0.8075,0.1968,negligible
corsscicom,rd,All other sections,existv,10.0481,9.3132,3.7435,0.7349,0.1963,negligible
corsscicom,rd,All other sections,att_vth,0.6037,0.463,0.723,0.1407,0.1946,negligible
corsscicom,rd,All other sections,all_vth,7.8321,7.1838,3.3337,0.6483,0.1945,negligible
