Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corsscidem,abs,All other sections,all_vto,4.8292,2.6317,3.1361,2.1975,0.7007,medium
corsscidem,abs,All other sections,prd_mod,2.1,0.8391,2.0105,1.2609,0.6271,medium
corsscidem,abs,All other sections,that_rel,4.0542,2.305,3.0192,1.7492,0.5794,medium
corsscidem,abs,All other sections,mentalpv,0.0333,0.0,0.0579,0.0333,0.5758,medium
corsscidem,abs,All other sections,inf,13.7875,9.8944,6.8703,3.8931,0.5667,medium
corsscidem,abs,All other sections,att_vth,0.925,0.2447,1.2083,0.6803,0.563,medium
corsscidem,abs,All other sections,dsre_vto,1.9708,1.0031,1.7748,0.9677,0.5453,medium
corsscidem,abs,All other sections,causev,4.4125,2.7174,3.3564,1.6951,0.505,medium
corsscidem,abs,All other sections,wcount,457.75,374.1739,170.1854,83.5761,0.4911,small
corsscidem,abs,All other sections,whiz_vbn,5.2917,3.6354,3.5779,1.6563,0.4629,small
corsscidem,abs,All other sections,fct_nth,0.6792,0.1006,1.2765,0.5785,0.4532,small
corsscidem,abs,All other sections,wh_ques,1.2125,0.4925,1.5904,0.72,0.4527,small
corsscidem,abs,All other sections,all_nth,0.9375,0.2708,1.4756,0.6667,0.4518,small
corsscidem,abs,All other sections,efrt_vto,1.6875,0.8484,1.8967,0.8391,0.4424,small
corsscidem,abs,All other sections,prcessn,26.525,21.1186,13.6458,5.4064,0.3962,small
corsscidem,abs,All other sections,occurv,4.2375,2.9565,3.2614,1.281,0.3928,small
corsscidem,abs,All other sections,be_state,1.3375,0.7255,1.5672,0.612,0.3905,small
corsscidem,abs,All other sections,all_to,6.7792,4.9304,4.9364,1.8487,0.3745,small
corsscidem,abs,All other sections,atadvl,0.0792,0.0106,0.186,0.0686,0.3688,small
corsscidem,abs,All other sections,allwh,1.4875,0.8168,1.8217,0.6707,0.3682,small
corsscidem,abs,All other sections,topicj,11.4792,8.1056,9.8836,3.3736,0.3413,small
corsscidem,abs,All other sections,relatnj,6.1875,4.7329,4.4125,1.4546,0.3297,small
corsscidem,abs,All other sections,abstrcn,45.3625,38.172,23.106,7.1905,0.3112,small
corsscidem,abs,All other sections,p_and,4.4208,3.0938,4.2925,1.327,0.3092,small
corsscidem,abs,All other sections,mentalv,14.2625,12.3863,6.7027,1.8762,0.2799,small
