Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corsscidem,con,All other sections,ttr,31.0471,30.3423,2.9061,0.7047,0.24249413173519568,small
corsscidem,con,All other sections,wrlengh,5.5176,5.4804,0.2849,0.0372,0.13063877606318172,negligible
corsscidem,con,All other sections,wcount,575.4118,575.9395,298.0413,-0.5277,-0.0017706843225588336,negligible
corsscidem,con,All other sections,that_del,1.0588,0.6342,1.4022,0.4247,0.30285555272814196,small
corsscidem,con,All other sections,contrac,0.1706,0.431,1.071,-0.2604,-0.24312178610175433,small
corsscidem,con,All other sections,pres,67.0471,64.1011,16.9224,2.946,0.17408845113398427,negligible
corsscidem,con,All other sections,pro2,0.0,0.0459,0.2869,-0.0459,-0.16003326762569042,negligible
corsscidem,con,All other sections,pro_do,0.1176,0.2171,0.6548,-0.0994,-0.15184991408629905,negligible
corsscidem,con,All other sections,pdem,2.4176,2.8836,2.8876,-0.466,-0.161375964092576,negligible
corsscidem,con,All other sections,gen_emph,2.3941,1.4609,1.8815,0.9333,0.4960289991481084,small
corsscidem,con,All other sections,pro1,8.2471,10.5068,9.2665,-2.2597,-0.24385679246690325,small
corsscidem,con,All other sections,it,7.2706,4.9822,3.9416,2.2884,0.5805649885522766,medium
corsscidem,con,All other sections,be_state,3.1294,2.1975,2.4733,0.9319,0.37677808277285213,small
corsscidem,con,All other sections,sub_cos,0.8,0.6637,1.3242,0.1363,0.10293203309788132,negligible
corsscidem,con,All other sections,prtcle,0.1294,0.0466,0.3318,0.0828,0.24949646209371643,small
corsscidem,con,All other sections,pany,0.7,0.6,1.1511,0.1,0.08687666369211595,negligible
corsscidem,con,All other sections,gen_hdg,0.0471,0.1726,0.6253,-0.1255,-0.2007614755886881,small
corsscidem,con,All other sections,amplifr,0.8765,1.6516,1.9556,-0.7751,-0.39636498651219737,small
corsscidem,con,All other sections,wh_ques,0.0471,0.1021,0.6561,-0.0551,-0.08395081593750257,negligible
corsscidem,con,All other sections,pos_mod,8.7647,7.5975,5.0153,1.1672,0.2327267861476298,small
corsscidem,con,All other sections,o_and,6.8,7.9399,5.3949,-1.1399,-0.21128368859606564,small
corsscidem,con,All other sections,wh_cl,0.2647,0.3954,0.8817,-0.1307,-0.1482082205057455,negligible
corsscidem,con,All other sections,finlprep,0.2059,0.6053,1.6413,-0.3995,-0.24337349809159226,small
corsscidem,con,All other sections,n,330.9353,331.8701,33.9389,-0.9348,-0.027543967355524276,negligible
corsscidem,con,All other sections,prep,137.1,135.9185,17.0777,1.1815,0.06918362750108119,negligible
corsscidem,con,All other sections,adj_attr,81.8,82.9253,23.5891,-1.1253,-0.04770275773317959,negligible
corsscidem,con,All other sections,pasttnse,13.7353,16.1196,10.6472,-2.3843,-0.22393431376965986,small
corsscidem,con,All other sections,pro3,3.6235,5.1587,5.2145,-1.5352,-0.29440829489633014,small
corsscidem,con,All other sections,perfects,5.9176,4.6502,4.3026,1.2675,0.29458142573743795,small
corsscidem,con,All other sections,rel_obj,0.7529,0.5808,1.1529,0.1722,0.14932973082334505,negligible
corsscidem,con,All other sections,rel_subj,1.8235,2.1851,2.3741,-0.3615,-0.15227704742748027,negligible
corsscidem,con,All other sections,rel_pipe,0.9,0.6434,1.159,0.2566,0.2213838705744222,small
corsscidem,con,All other sections,p_and,3.0176,3.2612,3.1792,-0.2436,-0.07661026356067414,negligible
corsscidem,con,All other sections,tm_adv,0.9471,1.384,1.8447,-0.4369,-0.23685569104899956,small
corsscidem,con,All other sections,pl_adv,3.0588,3.9281,5.6003,-0.8693,-0.1552221501624805,negligible
corsscidem,con,All other sections,advs,31.6765,33.3989,10.8845,-1.7225,-0.1582491242546628,negligible
corsscidem,con,All other sections,inf,12.9,11.0804,6.5357,1.8196,0.27840486668077186,small
corsscidem,con,All other sections,prd_mod,3.1,2.6278,3.0662,0.4722,0.15401718768024486,negligible
corsscidem,con,All other sections,sua_vb,2.3353,2.0698,2.356,0.2655,0.11271093268314576,negligible
corsscidem,con,All other sections,sub_cnd,0.7647,0.7673,1.4196,-0.0026,-0.0017990015133123123,negligible
corsscidem,con,All other sections,nec_mod,3.2235,2.2249,2.9496,0.9986,0.33855569975927596,small
corsscidem,con,All other sections,spl_aux,2.4471,2.969,2.727,-0.522,-0.19140973435989547,negligible
corsscidem,con,All other sections,conjncts,6.5882,7.3552,5.0297,-0.7669,-0.1524802655037654,negligible
corsscidem,con,All other sections,agls_psv,8.0118,8.6075,5.6441,-0.5957,-0.10554494144635666,negligible
corsscidem,con,All other sections,by_pasv,1.8294,1.7125,2.2459,0.117,0.052076530611074555,negligible
corsscidem,con,All other sections,whiz_vbn,2.2529,3.4833,3.1551,-1.2303,-0.3899508007488719,small
corsscidem,con,All other sections,sub_othr,4.9176,4.4612,3.5808,0.4564,0.127469223555992,negligible
corsscidem,con,All other sections,vcmp,4.1,6.1196,4.209,-2.0196,-0.4798179017802799,small
corsscidem,con,All other sections,downtone,2.3353,2.2687,2.3716,0.0666,0.028086413847589392,negligible
corsscidem,con,All other sections,pred_adj,5.6882,6.2897,4.4472,-0.6014,-0.13524239602733734,negligible
corsscidem,con,All other sections,allmodal,15.0882,12.4477,7.091,2.6405,0.37237822039199076,small
corsscidem,con,All other sections,allconj,16.2941,17.0925,7.4039,-0.7984,-0.10783630094888914,negligible
corsscidem,con,All other sections,allpasv,12.0882,13.7996,7.2814,-1.7114,-0.23503912801155247,small
corsscidem,con,All other sections,allwh,0.3176,0.4979,1.1385,-0.1802,-0.15828708611779121,negligible
corsscidem,con,All other sections,allwhrel,3.4706,3.41,3.0521,0.0606,0.019862791274407862,negligible
corsscidem,con,All other sections,alladj,104.3294,108.3804,25.1327,-4.051,-0.1611847973969561,negligible
corsscidem,con,All other sections,allpro,11.8588,15.7093,10.818,-3.8504,-0.3559278162109986,small
corsscidem,con,All other sections,have,1.6471,1.5477,1.9421,0.0994,0.051166265571774235,negligible
corsscidem,con,All other sections,allverb,106.0882,102.2181,17.6857,3.8701,0.2188259024167021,small
corsscidem,con,All other sections,vprogrsv,7.1647,5.552,4.4145,1.6127,0.3653321088120507,small
corsscidem,con,All other sections,that_rel,4.8353,4.6327,3.9227,0.2026,0.05163580811397311,negligible
corsscidem,con,All other sections,jcmp,0.3882,0.3925,1.1274,-0.0043,-0.003806621748205338,negligible
corsscidem,con,All other sections,nonf_vth,1.4353,2.1911,2.3199,-0.7558,-0.32579243820445897,small
corsscidem,con,All other sections,att_vth,0.5529,0.4979,1.0468,0.0551,0.05261511071168601,negligible
corsscidem,con,All other sections,fact_vth,2.3588,2.7982,2.8831,-0.4394,-0.1524062636132591,negligible
corsscidem,con,All other sections,lkly_vth,1.9588,1.6534,2.0345,0.3054,0.1501303685101823,negligible
corsscidem,con,All other sections,att_jth,0.7294,0.3982,0.993,0.3312,0.33351786291022983,small
corsscidem,con,All other sections,fact_jth,0.0,0.1754,0.6102,-0.1754,-0.2875114399697848,small
corsscidem,con,All other sections,lkly_jth,0.7294,1.126,2.1872,-0.3966,-0.18131015898091604,negligible
corsscidem,con,All other sections,nfct_nth,0.0471,0.0413,0.2997,0.0058,0.019279407545016173,negligible
corsscidem,con,All other sections,att_nth,0.0,0.047,0.2998,-0.047,-0.15670152736437576,negligible
corsscidem,con,All other sections,fct_nth,0.5059,0.3484,1.006,0.1575,0.15654227929099446,negligible
corsscidem,con,All other sections,lkly_nth,0.0,0.2715,0.8311,-0.2715,-0.32669831467238664,small
corsscidem,con,All other sections,spch_vto,0.1529,0.1861,0.5818,-0.0332,-0.05703391906131311,negligible
corsscidem,con,All other sections,mntl_vto,0.1588,0.2918,0.7756,-0.133,-0.1714729476575524,negligible
corsscidem,con,All other sections,dsre_vto,1.5235,1.0292,1.751,0.4943,0.28231775202521264,small
corsscidem,con,All other sections,efrt_vto,2.1176,1.352,1.8086,0.7657,0.4233692080899705,small
corsscidem,con,All other sections,prob_vto,0.6353,0.7043,1.2632,-0.069,-0.054602480553575035,negligible
corsscidem,con,All other sections,x1_jto,0.3882,0.7851,1.6769,-0.3968,-0.23663437537159218,small
corsscidem,con,All other sections,x2_jto,0.6118,0.4964,1.1479,0.1153,0.10046695485557876,negligible
corsscidem,con,All other sections,x3_jto,0.0,0.0114,0.1311,-0.0114,-0.08689716176853879,negligible
corsscidem,con,All other sections,x4_jto,0.1176,0.5071,1.0142,-0.3895,-0.38402718024729865,small
corsscidem,con,All other sections,x5_jto,0.3294,0.4972,1.0702,-0.1677,-0.15674380356504738,negligible
corsscidem,con,All other sections,all_nto,1.7941,0.8943,1.7886,0.8998,0.5030789451525585,medium
corsscidem,con,All other sections,nonfadvl,0.7118,0.6673,1.2323,0.0445,0.03611606363921286,negligible
corsscidem,con,All other sections,atadvl,0.1588,0.1363,0.5137,0.0225,0.04384771725658705,negligible
corsscidem,con,All other sections,fctadvl,0.4353,0.6594,1.204,-0.2241,-0.18616204327407163,negligible
corsscidem,con,All other sections,lklydvl,0.2824,0.5577,1.3022,-0.2753,-0.21141516711211866,small
corsscidem,con,All other sections,all_vth,6.3,7.1388,4.5596,-0.8388,-0.1839604032260315,negligible
corsscidem,con,All other sections,all_jth,1.4588,1.6975,2.4323,-0.2387,-0.09813018260305596,negligible
corsscidem,con,All other sections,all_nth,0.5529,0.706,1.4356,-0.1531,-0.10665467987157375,negligible
corsscidem,con,All other sections,all_th,8.3176,9.5434,6.1254,-1.2258,-0.20011091543630238,small
corsscidem,con,All other sections,all_vto,4.5882,3.5619,2.8605,1.0263,0.35878284799243515,small
corsscidem,con,All other sections,all_jto,1.4412,2.2972,2.5882,-0.856,-0.33072270368927575,small
corsscidem,con,All other sections,all_to,7.8294,6.7488,4.8295,1.0807,0.2237605626236028,small
corsscidem,con,All other sections,all_advl,1.5941,2.0167,2.2611,-0.4226,-0.18690638999880838,negligible
corsscidem,con,All other sections,act_ipv,0.0,0.0028,0.0464,-0.0028,-0.06133574997265197,negligible
corsscidem,con,All other sections,act_tpv,0.7,0.2381,0.8593,0.4619,0.5375346590094785,medium
corsscidem,con,All other sections,mentalpv,0.0,0.0142,0.1671,-0.0142,-0.08519793345293637,negligible
corsscidem,con,All other sections,commpv,0.0412,0.0694,0.3357,-0.0282,-0.0840583142088483,negligible
corsscidem,con,All other sections,occurpv,0.0,0.0,0.0,0.0,,
corsscidem,con,All other sections,copulapv,0.0,0.0196,0.1982,-0.0196,-0.09877687299787243,negligible
corsscidem,con,All other sections,aspectpv,0.0,0.0,0.0,0.0,,
corsscidem,con,All other sections,humann,3.9706,3.8477,6.3161,0.1229,0.01945855314606948,negligible
corsscidem,con,All other sections,prcessn,25.8941,23.4957,13.0855,2.3984,0.183286346986884,negligible
corsscidem,con,All other sections,cognitn,8.6059,8.1178,6.3147,0.4881,0.07729388516997628,negligible
corsscidem,con,All other sections,abstrcn,48.4176,34.1053,17.4266,14.3123,0.8212903351898622,large
corsscidem,con,All other sections,concrtn,5.9118,7.4157,6.792,-1.5039,-0.22142283075548344,small
corsscidem,con,All other sections,tccncrt,5.4235,5.7121,6.6186,-0.2886,-0.04359993524494999,negligible
corsscidem,con,All other sections,quann,4.0294,6.3879,6.9596,-2.3585,-0.3388826772868478,small
corsscidem,con,All other sections,placen,4.6118,6.6217,7.9344,-2.0099,-0.25332068336247016,small
corsscidem,con,All other sections,groupn,3.7529,2.4641,4.5936,1.2889,0.2805824735546289,small
corsscidem,con,All other sections,sizej,2.4176,2.7797,3.6977,-0.3621,-0.09791623694605678,negligible
corsscidem,con,All other sections,timej,2.1118,1.1438,2.1804,0.968,0.44395768447511835,small
corsscidem,con,All other sections,colorj,0.4765,0.0224,0.4916,0.4541,0.9235867494403037,large
corsscidem,con,All other sections,evalj,1.7765,1.2929,2.1213,0.4836,0.22796760516985393,small
corsscidem,con,All other sections,relatnj,4.6824,5.0819,4.0622,-0.3995,-0.09834586258432002,negligible
corsscidem,con,All other sections,topicj,15.4294,8.4039,9.1092,7.0255,0.7712533412527457,medium
