Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corsscidem,int,All other sections,occurv,4.2854,3.1564,2.5758,1.129,0.4383,small
corsscidem,int,All other sections,topicj,12.5549,8.6971,8.9593,3.8578,0.4306,small
corsscidem,int,All other sections,x5_jto,0.5463,0.2917,0.6694,0.2547,0.3804,small
corsscidem,int,All other sections,vprogrsv,6.7817,5.6532,3.7513,1.1285,0.3008,small
corsscidem,int,All other sections,prep,139.6707,135.0534,15.3793,4.6174,0.3002,small
corsscidem,int,All other sections,att_jth,0.3439,0.2012,0.4904,0.1427,0.291,small
corsscidem,int,All other sections,causev,3.6756,2.983,2.5682,0.6926,0.2697,small
corsscidem,int,All other sections,dsre_vto,1.2732,0.9511,1.2006,0.3221,0.2682,small
corsscidem,int,All other sections,that_rel,4.5817,3.8383,2.8679,0.7434,0.2592,small
corsscidem,int,All other sections,relatnj,6.2866,5.3574,3.8307,0.9292,0.2426,small
corsscidem,int,All other sections,abstrcn,38.8415,35.0834,15.9861,3.758,0.2351,small
corsscidem,int,All other sections,inf,11.95,10.9283,5.2593,1.0217,0.1943,negligible
corsscidem,int,All other sections,cognitn,8.8171,7.8214,5.7515,0.9957,0.1731,negligible
corsscidem,int,All other sections,prcessn,24.4451,22.4758,11.7458,1.9694,0.1677,negligible
corsscidem,int,All other sections,commv,6.8817,6.2118,4.2887,0.6699,0.1562,negligible
corsscidem,int,All other sections,all_to,6.689,6.1219,3.6983,0.5671,0.1533,negligible
corsscidem,int,All other sections,all_jto,1.7598,1.511,1.6343,0.2487,0.1522,negligible
corsscidem,int,All other sections,prd_mod,1.8829,1.6378,2.0952,0.2452,0.117,negligible
corsscidem,int,All other sections,groupn,2.8488,2.3698,4.4642,0.4789,0.1073,negligible
corsscidem,int,All other sections,perfects,7.461,7.0424,4.0136,0.4186,0.1043,negligible
corsscidem,int,All other sections,n,346.1061,342.9377,30.7307,3.1684,0.1031,negligible
corsscidem,int,All other sections,all_nto,1.1232,0.9823,1.4336,0.1409,0.0983,negligible
corsscidem,int,All other sections,x1_jto,0.6829,0.5834,1.0369,0.0996,0.096,negligible
corsscidem,int,All other sections,p_and,3.6963,3.4382,2.7581,0.2581,0.0936,negligible
corsscidem,int,All other sections,act_tpv,0.272,0.2117,0.6533,0.0603,0.0923,negligible
corsscidem,int,All other sections,gen_emph,1.7524,1.6073,1.6703,0.1452,0.0869,negligible
corsscidem,int,All other sections,spch_vto,0.3512,0.2933,0.6844,0.0579,0.0847,negligible
corsscidem,int,All other sections,whiz_vbn,3.2427,3.0591,2.2505,0.1836,0.0816,negligible
corsscidem,int,All other sections,gen_hdg,0.1585,0.1233,0.4609,0.0353,0.0765,negligible
corsscidem,int,All other sections,jcmp,0.2183,0.1846,0.4715,0.0337,0.0714,negligible
corsscidem,int,All other sections,efrt_vto,1.378,1.2734,1.4922,0.1047,0.0702,negligible
corsscidem,int,All other sections,all_vto,3.8085,3.6289,2.5638,0.1797,0.0701,negligible
corsscidem,int,All other sections,humann,5.7768,5.3775,6.4492,0.3993,0.0619,negligible
corsscidem,int,All other sections,aspectpv,0.0098,0.0053,0.0747,0.0045,0.0599,negligible
corsscidem,int,All other sections,nonfadvl,0.961,0.8935,1.1353,0.0675,0.0594,negligible
corsscidem,int,All other sections,prtcle,0.0683,0.0535,0.2814,0.0148,0.0525,negligible
corsscidem,int,All other sections,aspectv,0.7232,0.6779,1.0549,0.0453,0.0429,negligible
corsscidem,int,All other sections,fct_nth,0.2329,0.2098,0.551,0.0231,0.0419,negligible
corsscidem,int,All other sections,that_del,0.4951,0.464,0.7714,0.0311,0.0403,negligible
corsscidem,int,All other sections,ttr,31.8976,31.8146,2.2396,0.083,0.0371,negligible
corsscidem,int,All other sections,all_jth,0.9268,0.8864,1.2064,0.0404,0.0335,negligible
corsscidem,int,All other sections,rel_pipe,0.9927,0.9505,1.273,0.0422,0.0332,negligible
corsscidem,int,All other sections,pro1,6.6232,6.4462,5.8523,0.1769,0.0302,negligible
corsscidem,int,All other sections,be_state,1.3744,1.3267,1.5805,0.0477,0.0302,negligible
corsscidem,int,All other sections,sub_cnd,0.7598,0.7326,1.1523,0.0272,0.0236,negligible
corsscidem,int,All other sections,o_and,9.039,8.9271,4.8911,0.1119,0.0229,negligible
corsscidem,int,All other sections,rel_obj,0.5878,0.5689,0.8874,0.0189,0.0213,negligible
corsscidem,int,All other sections,commpv,0.0768,0.0749,0.3721,0.0019,0.0052,negligible
corsscidem,int,All other sections,it,4.4439,4.4348,3.3589,0.0091,0.0027,negligible
corsscidem,int,All other sections,allverb,102.1683,102.1645,14.9189,0.0038,0.0003,negligible
corsscidem,int,All other sections,att_vth,0.5024,0.5064,0.8731,-0.004,-0.0045,negligible
corsscidem,int,All other sections,nec_mod,0.8744,0.8841,1.3448,-0.0097,-0.0072,negligible
corsscidem,int,All other sections,allconj,17.661,17.7204,6.4397,-0.0594,-0.0092,negligible
corsscidem,int,All other sections,colorj,0.0646,0.0704,0.4476,-0.0058,-0.0129,negligible
corsscidem,int,All other sections,nonf_vth,1.9341,1.9636,1.9296,-0.0295,-0.0153,negligible
corsscidem,int,All other sections,pro2,0.0805,0.093,0.4981,-0.0126,-0.0252,negligible
corsscidem,int,All other sections,nfct_nth,0.0415,0.049,0.2622,-0.0076,-0.0289,negligible
corsscidem,int,All other sections,lkly_nth,0.3183,0.3414,0.7343,-0.0231,-0.0314,negligible
corsscidem,int,All other sections,occurpv,0.0,0.001,0.0236,-0.001,-0.0407,negligible
corsscidem,int,All other sections,allwhrel,3.8927,4.011,2.8254,-0.1184,-0.0419,negligible
corsscidem,int,All other sections,existv,7.8768,8.0446,3.9774,-0.1678,-0.0422,negligible
corsscidem,int,All other sections,wrlengh,5.5146,5.5269,0.2733,-0.0122,-0.0448,negligible
corsscidem,int,All other sections,all_nth,0.6049,0.6515,1.0135,-0.0466,-0.046,negligible
corsscidem,int,All other sections,all_advl,1.528,1.6142,1.6028,-0.0862,-0.0538,negligible
corsscidem,int,All other sections,x2_jto,0.289,0.3263,0.6862,-0.0373,-0.0543,negligible
corsscidem,int,All other sections,mentalpv,0.0049,0.0106,0.1038,-0.0057,-0.0547,negligible
corsscidem,int,All other sections,lklydvl,0.2,0.2324,0.5529,-0.0324,-0.0586,negligible
corsscidem,int,All other sections,fact_jth,0.0659,0.085,0.3102,-0.0191,-0.0616,negligible
corsscidem,int,All other sections,quann,6.0268,6.4082,5.8829,-0.3814,-0.0648,negligible
corsscidem,int,All other sections,act_ipv,0.0,0.0043,0.0641,-0.0043,-0.0674,negligible
corsscidem,int,All other sections,by_pasv,1.7634,1.8771,1.681,-0.1137,-0.0676,negligible
corsscidem,int,All other sections,pdem,1.7646,1.8875,1.8036,-0.1229,-0.0681,negligible
corsscidem,int,All other sections,placen,4.8537,5.3161,6.287,-0.4624,-0.0736,negligible
corsscidem,int,All other sections,mntl_vto,0.5073,0.5846,0.9876,-0.0772,-0.0782,negligible
corsscidem,int,All other sections,lkly_jth,0.5159,0.5991,1.0365,-0.0833,-0.0803,negligible
