Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corsscidem,mm,All other sections,wrlengh,5.3803,5.2513,0.2666,0.129,0.4837,small
corsscidem,mm,All other sections,topicj,5.3676,3.5077,4.5436,1.8599,0.4093,small
corsscidem,mm,All other sections,aspectpv,0.0225,0.0024,0.0498,0.0201,0.4038,small
corsscidem,mm,All other sections,cognitn,7.7254,6.1786,4.3996,1.5468,0.3516,small
corsscidem,mm,All other sections,act_tpv,0.7099,0.397,0.9186,0.3129,0.3406,small
corsscidem,mm,All other sections,causev,2.7549,2.1383,1.9867,0.6166,0.3104,small
corsscidem,mm,All other sections,lkly_nth,0.2831,0.1414,0.4568,0.1417,0.3101,small
corsscidem,mm,All other sections,prcessn,21.1775,18.5651,8.7852,2.6123,0.2974,small
corsscidem,mm,All other sections,whiz_vbn,5.3873,4.5946,2.6791,0.7927,0.2959,small
corsscidem,mm,All other sections,all_nto,0.6423,0.4132,0.8206,0.229,0.2791,small
corsscidem,mm,All other sections,n,358.5352,349.0304,34.1596,9.5048,0.2782,small
corsscidem,mm,All other sections,act_ipv,0.0535,0.0082,0.1814,0.0454,0.25,small
corsscidem,mm,All other sections,existv,9.8901,8.9307,4.0001,0.9594,0.2399,small
corsscidem,mm,All other sections,that_rel,3.3577,2.8143,2.4245,0.5435,0.2242,small
corsscidem,mm,All other sections,prep,132.3197,129.0087,14.903,3.311,0.2222,small
corsscidem,mm,All other sections,x5_jto,0.1859,0.1138,0.3293,0.0721,0.2189,small
corsscidem,mm,All other sections,occurv,1.9141,1.5638,1.6098,0.3503,0.2176,small
corsscidem,mm,All other sections,abstrcn,31.3324,28.7595,12.2464,2.5729,0.2101,small
corsscidem,mm,All other sections,att_nth,0.0507,0.0222,0.1454,0.0285,0.1959,negligible
corsscidem,mm,All other sections,occurpv,0.0042,0.0006,0.019,0.0036,0.1922,negligible
corsscidem,mm,All other sections,relatnj,5.9239,5.3491,3.0775,0.5748,0.1868,negligible
corsscidem,mm,All other sections,by_pasv,3.0493,2.747,2.0791,0.3023,0.1454,negligible
corsscidem,mm,All other sections,rel_pipe,1.0789,0.9022,1.2334,0.1767,0.1432,negligible
corsscidem,mm,All other sections,groupn,3.3211,2.7397,4.1628,0.5814,0.1397,negligible
corsscidem,mm,All other sections,all_nth,0.3817,0.2952,0.6267,0.0865,0.1381,negligible
corsscidem,mm,All other sections,that_del,0.6268,0.5113,0.8567,0.1155,0.1348,negligible
corsscidem,mm,All other sections,nonfadvl,0.9732,0.8349,1.0754,0.1384,0.1287,negligible
corsscidem,mm,All other sections,lkly_vth,0.9789,0.8344,1.1973,0.1445,0.1207,negligible
corsscidem,mm,All other sections,all_jth,0.5507,0.4298,1.0288,0.1209,0.1175,negligible
corsscidem,mm,All other sections,att_jth,0.131,0.0972,0.2927,0.0337,0.1153,negligible
corsscidem,mm,All other sections,fact_jth,0.0718,0.0504,0.1958,0.0214,0.1094,negligible
corsscidem,mm,All other sections,vprogrsv,5.6408,5.3113,3.051,0.3296,0.108,negligible
corsscidem,mm,All other sections,inf,9.0014,8.6869,3.9959,0.3145,0.0787,negligible
corsscidem,mm,All other sections,x1_jto,0.3761,0.3063,0.9546,0.0697,0.073,negligible
corsscidem,mm,All other sections,all_to,4.1549,3.9631,2.7251,0.1919,0.0704,negligible
corsscidem,mm,All other sections,pdem,1.6662,1.5544,1.5931,0.1118,0.0702,negligible
corsscidem,mm,All other sections,pro_do,0.1972,0.1586,0.5586,0.0386,0.0691,negligible
corsscidem,mm,All other sections,lkly_jth,0.3479,0.2831,0.9427,0.0648,0.0687,negligible
corsscidem,mm,All other sections,allwhrel,4.0986,3.9204,2.6514,0.1782,0.0672,negligible
corsscidem,mm,All other sections,sua_vb,1.5718,1.4749,1.6092,0.0969,0.0602,negligible
corsscidem,mm,All other sections,all_jto,0.9746,0.9069,1.2589,0.0677,0.0538,negligible
corsscidem,mm,All other sections,mentalpv,0.0141,0.0085,0.1126,0.0056,0.0495,negligible
corsscidem,mm,All other sections,all_th,4.338,4.1877,3.1436,0.1503,0.0478,negligible
corsscidem,mm,All other sections,efrt_vto,1.2099,1.1544,1.239,0.0554,0.0447,negligible
corsscidem,mm,All other sections,x3_jto,0.0254,0.0198,0.143,0.0056,0.0389,negligible
corsscidem,mm,All other sections,adj_attr,61.5887,61.0916,13.8145,0.4971,0.036,negligible
corsscidem,mm,All other sections,commpv,0.0169,0.0137,0.1016,0.0032,0.0316,negligible
corsscidem,mm,All other sections,rel_subj,2.6423,2.5829,2.1248,0.0594,0.028,negligible
corsscidem,mm,All other sections,timej,0.5155,0.4839,1.1649,0.0316,0.0271,negligible
corsscidem,mm,All other sections,commv,6.1845,6.1089,3.7451,0.0756,0.0202,negligible
corsscidem,mm,All other sections,p_and,2.531,2.4925,2.1579,0.0385,0.0178,negligible
corsscidem,mm,All other sections,wh_cl,0.1704,0.164,0.4822,0.0064,0.0134,negligible
corsscidem,mm,All other sections,spch_vto,0.4254,0.4177,0.9107,0.0076,0.0084,negligible
corsscidem,mm,All other sections,perfects,2.9155,2.901,2.4102,0.0145,0.006,negligible
corsscidem,mm,All other sections,att_vth,0.4352,0.4351,0.7822,0.0001,0.0001,negligible
corsscidem,mm,All other sections,x4_jto,0.1789,0.1792,0.4808,-0.0003,-0.0006,negligible
corsscidem,mm,All other sections,it,2.5817,2.5835,2.4573,-0.0019,-0.0008,negligible
corsscidem,mm,All other sections,aspectv,1.0817,1.0841,1.4133,-0.0024,-0.0017,negligible
corsscidem,mm,All other sections,prtcle,0.0451,0.0456,0.2432,-0.0005,-0.0021,negligible
corsscidem,mm,All other sections,vcmp,1.9535,1.9722,2.0475,-0.0186,-0.0091,negligible
corsscidem,mm,All other sections,o_and,8.1056,8.1579,4.5371,-0.0522,-0.0115,negligible
corsscidem,mm,All other sections,all_vth,3.4085,3.4618,2.6342,-0.0533,-0.0203,negligible
corsscidem,mm,All other sections,pro3,5.1225,5.217,4.4685,-0.0945,-0.0211,negligible
corsscidem,mm,All other sections,gen_hdg,0.0958,0.104,0.3473,-0.0083,-0.0238,negligible
corsscidem,mm,All other sections,nonf_vth,1.3,1.3453,1.5284,-0.0453,-0.0297,negligible
corsscidem,mm,All other sections,dsre_vto,0.538,0.5638,0.785,-0.0257,-0.0328,negligible
corsscidem,mm,All other sections,allpasv,26.1324,26.5453,9.1272,-0.4129,-0.0452,negligible
corsscidem,mm,All other sections,jcmp,0.0789,0.0919,0.2844,-0.0131,-0.046,negligible
corsscidem,mm,All other sections,pro1,10.4845,10.9018,9.0716,-0.4173,-0.046,negligible
corsscidem,mm,All other sections,all_vto,2.5366,2.6421,2.0593,-0.1055,-0.0512,negligible
corsscidem,mm,All other sections,sub_cos,0.7423,0.801,1.1024,-0.0588,-0.0533,negligible
corsscidem,mm,All other sections,tm_adv,2.2268,2.3382,1.9975,-0.1114,-0.0558,negligible
corsscidem,mm,All other sections,prd_mod,0.9394,1.0177,1.371,-0.0783,-0.0571,negligible
corsscidem,mm,All other sections,mentalv,12.0789,12.4029,5.0742,-0.324,-0.0639,negligible
corsscidem,mm,All other sections,allpro,15.9394,16.6711,10.2343,-0.7317,-0.0715,negligible
corsscidem,mm,All other sections,rel_obj,0.3803,0.4334,0.6838,-0.0531,-0.0776,negligible
corsscidem,mm,All other sections,allwh,0.2479,0.3106,0.785,-0.0627,-0.0799,negligible
corsscidem,mm,All other sections,pasttnse,38.6493,40.0951,17.9548,-1.4458,-0.0805,negligible
corsscidem,mm,All other sections,nfct_nth,0.0127,0.0281,0.1905,-0.0154,-0.0809,negligible
corsscidem,mm,All other sections,copulapv,0.0042,0.0119,0.0921,-0.0076,-0.0828,negligible
corsscidem,mm,All other sections,evalj,0.4423,0.52,0.9039,-0.0778,-0.086,negligible
corsscidem,mm,All other sections,mntl_vto,0.3085,0.3685,0.6807,-0.06,-0.0882,negligible
corsscidem,mm,All other sections,finlprep,0.7042,0.8442,1.5357,-0.14,-0.0911,negligible
corsscidem,mm,All other sections,placen,4.9183,5.5107,6.3106,-0.5924,-0.0939,negligible
corsscidem,mm,All other sections,humann,4.831,5.3952,5.8455,-0.5642,-0.0965,negligible
corsscidem,mm,All other sections,nec_mod,0.4085,0.4972,0.8842,-0.0888,-0.1004,negligible
corsscidem,mm,All other sections,spl_aux,2.2225,2.4031,1.7776,-0.1806,-0.1016,negligible
corsscidem,mm,All other sections,alladj,81.5197,83.1013,15.4549,-1.5815,-0.1023,negligible
corsscidem,mm,All other sections,quann,8.3085,9.0113,6.6838,-0.7028,-0.1052,negligible
corsscidem,mm,All other sections,ttr,31.1648,31.4633,2.6955,-0.2985,-0.1107,negligible
corsscidem,mm,All other sections,wh_ques,0.0761,0.1471,0.6278,-0.071,-0.1131,negligible
corsscidem,mm,All other sections,pro2,0.3324,0.5503,1.7883,-0.2179,-0.1218,negligible
corsscidem,mm,All other sections,tccncrt,9.5,10.3661,6.8626,-0.8661,-0.1262,negligible
corsscidem,mm,All other sections,amplifr,0.9268,1.147,1.7417,-0.2202,-0.1264,negligible
corsscidem,mm,All other sections,colorj,0.0479,0.1252,0.5745,-0.0773,-0.1346,negligible
corsscidem,mm,All other sections,pres,38.7662,41.4849,19.6517,-2.7187,-0.1383,negligible
corsscidem,mm,All other sections,x2_jto,0.2113,0.2896,0.5651,-0.0784,-0.1387,negligible
corsscidem,mm,All other sections,fact_vth,0.6915,0.8464,1.1157,-0.1548,-0.1388,negligible
corsscidem,mm,All other sections,actv,19.1718,20.0613,6.0854,-0.8895,-0.1462,negligible
corsscidem,mm,All other sections,allverb,102.4606,104.504,12.9738,-2.0435,-0.1575,negligible
corsscidem,mm,All other sections,all_advl,1.1493,1.382,1.4303,-0.2328,-0.1627,negligible
corsscidem,mm,All other sections,allconj,15.0394,16.0228,5.8088,-0.9833,-0.1693,negligible
corsscidem,mm,All other sections,pos_mod,2.3718,2.8353,2.7303,-0.4635,-0.1698,negligible
corsscidem,mm,All other sections,allmodal,3.7197,4.3491,3.5976,-0.6294,-0.175,negligible
corsscidem,mm,All other sections,sizej,1.0831,1.3875,1.6912,-0.3044,-0.18,negligible
corsscidem,mm,All other sections,gen_emph,0.7549,0.971,1.1668,-0.2161,-0.1852,negligible
corsscidem,mm,All other sections,agls_psv,17.6803,19.2055,8.1891,-1.5252,-0.1863,negligible
corsscidem,mm,All other sections,be_state,0.4521,0.627,0.929,-0.1749,-0.1883,negligible
corsscidem,mm,All other sections,downtone,1.7606,2.1017,1.8044,-0.3412,-0.1891,negligible
corsscidem,mm,All other sections,atadvl,0.0,0.0251,0.131,-0.0251,-0.1915,negligible
corsscidem,mm,All other sections,sub_othr,2.9254,3.3567,2.226,-0.4314,-0.1938,negligible
corsscidem,mm,All other sections,fct_nth,0.0352,0.1043,0.3205,-0.069,-0.2155,small
corsscidem,mm,All other sections,have,0.9986,1.3133,1.4436,-0.3148,-0.218,small
corsscidem,mm,All other sections,prob_vto,0.0577,0.1394,0.3658,-0.0816,-0.2231,small
corsscidem,mm,All other sections,concrtn,8.3394,9.9548,7.1186,-1.6153,-0.2269,small
corsscidem,mm,All other sections,pany,0.5239,0.7855,1.0301,-0.2616,-0.2539,small
corsscidem,mm,All other sections,wcount,1181.5915,1424.7503,915.9117,-243.1587,-0.2655,small
corsscidem,mm,All other sections,pred_adj,2.8521,3.5297,2.4936,-0.6776,-0.2717,small
corsscidem,mm,All other sections,fctadvl,0.1704,0.3877,0.7991,-0.2173,-0.2719,small
corsscidem,mm,All other sections,sub_cnd,0.7324,1.215,1.6871,-0.4826,-0.286,small
corsscidem,mm,All other sections,pl_adv,2.1662,2.9199,2.6277,-0.7537,-0.2868,small
corsscidem,mm,All other sections,contrac,0.1099,0.4079,0.932,-0.2981,-0.3198,small
corsscidem,mm,All other sections,lklydvl,0.0099,0.1352,0.3727,-0.1254,-0.3363,small
corsscidem,mm,All other sections,conjncts,3.3338,4.3281,2.9392,-0.9943,-0.3383,small
corsscidem,mm,All other sections,advs,19.0732,22.6533,8.0002,-3.58,-0.4475,small
