Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corsscidem,rd,All other sections,ttr,29.2741,29.342,3.1688,-0.0678,-0.02140901442135502,negligible
corsscidem,rd,All other sections,wrlengh,5.3341,5.3003,0.2783,0.0339,0.12164517757075728,negligible
corsscidem,rd,All other sections,wcount,2683.9412,2566.5463,1468.9395,117.3948,0.07991809607699683,negligible
corsscidem,rd,All other sections,that_del,0.9282,0.742,0.9862,0.1862,0.18878640385084863,negligible
corsscidem,rd,All other sections,contrac,0.1706,0.5789,1.6335,-0.4083,-0.24998842795344955,small
corsscidem,rd,All other sections,pres,55.5859,56.4602,16.1139,-0.8743,-0.05426035711868486,negligible
corsscidem,rd,All other sections,pro2,0.2494,0.2774,1.2713,-0.028,-0.022052912523254684,negligible
corsscidem,rd,All other sections,pro_do,0.2188,0.211,0.5421,0.0078,0.014407099431526037,negligible
corsscidem,rd,All other sections,pdem,2.4906,2.6693,1.8448,-0.1787,-0.09688226280154467,negligible
corsscidem,rd,All other sections,gen_emph,1.7376,1.8276,1.6496,-0.09,-0.05454307692353317,negligible
corsscidem,rd,All other sections,pro1,8.7506,8.9328,7.0125,-0.1822,-0.025980995623980933,negligible
corsscidem,rd,All other sections,it,4.7341,4.0219,2.7862,0.7122,0.25561304976840316,small
corsscidem,rd,All other sections,be_state,1.5082,1.5676,1.3394,-0.0593,-0.04429838372772037,negligible
corsscidem,rd,All other sections,sub_cos,0.9353,0.7897,0.9597,0.1456,0.1517221862326061,negligible
corsscidem,rd,All other sections,prtcle,0.0753,0.0461,0.1534,0.0292,0.19057476280467023,negligible
corsscidem,rd,All other sections,pany,0.7024,0.7288,0.8547,-0.0265,-0.030997966995011922,negligible
corsscidem,rd,All other sections,gen_hdg,0.1906,0.2466,0.4282,-0.056,-0.13079721436107886,negligible
corsscidem,rd,All other sections,amplifr,1.2624,1.5884,1.3643,-0.326,-0.23897103122450977,small
corsscidem,rd,All other sections,wh_ques,0.0694,0.1064,0.2822,-0.037,-0.1310111386354969,negligible
corsscidem,rd,All other sections,pos_mod,5.2318,6.0301,3.357,-0.7983,-0.2378021681281943,small
corsscidem,rd,All other sections,o_and,7.4565,7.3781,3.7571,0.0784,0.020869907704952832,negligible
corsscidem,rd,All other sections,wh_cl,0.2671,0.2514,0.445,0.0157,0.03518942120771283,negligible
corsscidem,rd,All other sections,finlprep,0.56,0.701,1.1091,-0.141,-0.12709556230315697,negligible
corsscidem,rd,All other sections,n,335.0306,331.9758,30.0293,3.0548,0.10172727815312466,negligible
corsscidem,rd,All other sections,prep,138.4388,135.1021,15.5969,3.3367,0.21393529567853806,small
corsscidem,rd,All other sections,adj_attr,65.0929,69.0948,16.6709,-4.0019,-0.24005325028090593,small
corsscidem,rd,All other sections,pasttnse,25.5,26.5452,13.7732,-1.0452,-0.07588579255657747,negligible
corsscidem,rd,All other sections,pro3,6.0482,5.8802,5.3115,0.1681,0.03164396344245525,negligible
corsscidem,rd,All other sections,perfects,4.4176,3.8262,2.6597,0.5914,0.2223683247917056,small
corsscidem,rd,All other sections,rel_obj,0.5459,0.5518,0.7238,-0.006,-0.008225087242110228,negligible
corsscidem,rd,All other sections,rel_subj,2.5635,2.7532,2.2221,-0.1897,-0.08537306189463176,negligible
corsscidem,rd,All other sections,rel_pipe,0.7341,0.7096,0.7839,0.0245,0.031254908672968124,negligible
corsscidem,rd,All other sections,p_and,2.4224,2.5596,1.9536,-0.1373,-0.07026029868326325,negligible
corsscidem,rd,All other sections,tm_adv,1.7271,1.4933,1.4459,0.2338,0.1616905523187585,negligible
corsscidem,rd,All other sections,pl_adv,2.9718,3.3405,3.1362,-0.3687,-0.11756351632857957,negligible
corsscidem,rd,All other sections,advs,29.9624,32.2021,8.2546,-2.2397,-0.2713324107172296,small
corsscidem,rd,All other sections,inf,10.6588,8.6205,4.4404,2.0383,0.4590310011941139,small
corsscidem,rd,All other sections,prd_mod,2.0871,1.7228,1.8099,0.3642,0.20124897733418584,small
corsscidem,rd,All other sections,sua_vb,1.4588,1.3108,1.4657,0.148,0.10096313542881644,negligible
corsscidem,rd,All other sections,sub_cnd,0.8376,0.9151,1.0888,-0.0775,-0.0711586351068617,negligible
corsscidem,rd,All other sections,nec_mod,1.3753,1.1379,1.2416,0.2374,0.19117412002159495,negligible
corsscidem,rd,All other sections,spl_aux,2.4824,2.7912,1.6023,-0.3088,-0.192734217735465,negligible
corsscidem,rd,All other sections,conjncts,6.6024,7.0705,3.1612,-0.4682,-0.14810388317211942,negligible
corsscidem,rd,All other sections,agls_psv,9.4212,10.2094,4.3027,-0.7882,-0.183183727309973,negligible
corsscidem,rd,All other sections,by_pasv,1.7141,1.7744,1.3213,-0.0603,-0.04561404382608091,negligible
corsscidem,rd,All other sections,whiz_vbn,3.6988,3.4174,2.1489,0.2814,0.13096616029994887,negligible
corsscidem,rd,All other sections,sub_othr,3.9541,4.2865,2.0331,-0.3323,-0.1634608998878821,negligible
corsscidem,rd,All other sections,vcmp,5.5165,6.0745,3.1051,-0.558,-0.17970342573999754,negligible
corsscidem,rd,All other sections,downtone,2.7612,2.9867,1.8185,-0.2255,-0.12402382314760522,negligible
corsscidem,rd,All other sections,pred_adj,6.3024,6.7785,2.9908,-0.4761,-0.15920377901333682,negligible
corsscidem,rd,All other sections,allmodal,8.6988,8.89,4.6077,-0.1912,-0.04149863493768965,negligible
corsscidem,rd,All other sections,allconj,15.6188,15.9344,4.8427,-0.3155,-0.06515631035235207,negligible
corsscidem,rd,All other sections,allpasv,14.8376,15.4013,5.2478,-0.5637,-0.10740957759963149,negligible
corsscidem,rd,All other sections,allwh,0.3341,0.3572,0.5529,-0.0231,-0.04169181407032211,negligible
corsscidem,rd,All other sections,allwhrel,3.8412,4.0169,2.5649,-0.1757,-0.06849894915450282,negligible
corsscidem,rd,All other sections,alladj,89.4576,95.8227,18.6466,-6.3651,-0.3413529536289855,small
corsscidem,rd,All other sections,allpro,15.0518,15.092,9.9011,-0.0403,-0.004068291274495821,negligible
corsscidem,rd,All other sections,have,2.0976,2.1794,1.9738,-0.0817,-0.0414049595270904,negligible
corsscidem,rd,All other sections,allverb,104.3929,102.8024,15.0125,1.5905,0.10594483329296255,negligible
corsscidem,rd,All other sections,vprogrsv,5.8953,5.2421,3.1494,0.6532,0.20739162148285542,small
corsscidem,rd,All other sections,that_rel,3.9929,3.2656,2.2744,0.7274,0.3198111658808113,small
corsscidem,rd,All other sections,jcmp,0.3553,0.3765,0.5613,-0.0212,-0.03775640330940972,negligible
corsscidem,rd,All other sections,nonf_vth,2.1153,2.2343,1.58,-0.119,-0.07529696621717437,negligible
corsscidem,rd,All other sections,att_vth,0.4976,0.4704,0.7238,0.0273,0.03769056173694657,negligible
corsscidem,rd,All other sections,fact_vth,2.3847,2.6487,1.8677,-0.264,-0.14134118348936847,negligible
corsscidem,rd,All other sections,lkly_vth,1.8459,1.9038,1.5424,-0.058,-0.03758127008500654,negligible
corsscidem,rd,All other sections,att_jth,0.3071,0.2274,0.3957,0.0796,0.20118464318820603,small
corsscidem,rd,All other sections,fact_jth,0.1329,0.1212,0.3195,0.0117,0.03662104913501645,negligible
corsscidem,rd,All other sections,lkly_jth,1.0953,0.967,1.4579,0.1282,0.08796519424767217,negligible
corsscidem,rd,All other sections,nfct_nth,0.0294,0.0533,0.1889,-0.0239,-0.12654475686768596,negligible
corsscidem,rd,All other sections,att_nth,0.0259,0.041,0.1588,-0.0151,-0.09516416336300319,negligible
corsscidem,rd,All other sections,fct_nth,0.3694,0.3124,0.5233,0.057,0.10893245395219621,negligible
corsscidem,rd,All other sections,lkly_nth,0.2682,0.3856,0.7961,-0.1173,-0.147386675239922,negligible
corsscidem,rd,All other sections,spch_vto,0.2494,0.1988,0.4104,0.0506,0.123378140299433,negligible
corsscidem,rd,All other sections,mntl_vto,0.3271,0.4302,0.6425,-0.1032,-0.16059939931385317,negligible
corsscidem,rd,All other sections,dsre_vto,0.8635,0.7164,0.9023,0.1471,0.16302388895014983,negligible
corsscidem,rd,All other sections,efrt_vto,1.1047,0.9299,0.9414,0.1748,0.18569007488611686,negligible
corsscidem,rd,All other sections,prob_vto,0.6706,0.7263,0.959,-0.0557,-0.05810460233609341,negligible
corsscidem,rd,All other sections,x1_jto,0.9071,0.8385,1.3886,0.0686,0.04940021782694769,negligible
corsscidem,rd,All other sections,x2_jto,0.4318,0.3694,0.6372,0.0624,0.09786208947395215,negligible
corsscidem,rd,All other sections,x3_jto,0.0188,0.0096,0.0769,0.0092,0.11967491339767776,negligible
corsscidem,rd,All other sections,x4_jto,0.2929,0.2508,0.4632,0.0422,0.09101447750424245,negligible
corsscidem,rd,All other sections,x5_jto,0.3376,0.2782,0.4442,0.0594,0.13376236921393198,negligible
corsscidem,rd,All other sections,all_nto,0.9282,0.6514,1.0973,0.2768,0.2522907315337094,small
corsscidem,rd,All other sections,nonfadvl,0.8659,0.7049,0.7957,0.161,0.20231076773666432,small
corsscidem,rd,All other sections,atadvl,0.0494,0.0712,0.2023,-0.0218,-0.1079269895747055,negligible
corsscidem,rd,All other sections,fctadvl,0.3776,0.5851,0.8705,-0.2074,-0.23826547080853364,small
corsscidem,rd,All other sections,lklydvl,0.3106,0.4363,0.6865,-0.1257,-0.18309443015190688,negligible
corsscidem,rd,All other sections,all_vth,6.8435,7.255,3.336,-0.4115,-0.12333759994579088,negligible
corsscidem,rd,All other sections,all_jth,1.5294,1.3159,1.5433,0.2135,0.13833812374211304,negligible
corsscidem,rd,All other sections,all_nth,0.6929,0.7925,1.0361,-0.0995,-0.09607227507966856,negligible
corsscidem,rd,All other sections,all_th,9.0729,9.3633,4.1073,-0.2903,-0.07069097171958255,negligible
