Field_Target,Field_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corsscidem,All other fields,ttr,30.7462,30.8226,2.9288,-0.0764,-0.026079314864555753,negligible
corsscidem,All other fields,wrlengh,5.4272,5.3896,0.3003,0.0377,0.1254925154965429,negligible
corsscidem,All other fields,wcount,1475.8387,1587.9317,1281.5298,-112.093,-0.08746812380669756,negligible
corsscidem,All other fields,that_del,0.7272,0.5768,0.963,0.1505,0.15626491208694182,negligible
corsscidem,All other fields,contrac,0.1226,0.4926,1.2625,-0.3701,-0.2931202290013132,small
corsscidem,All other fields,pres,52.2968,55.2748,18.9296,-2.978,-0.15732232002059188,negligible
corsscidem,All other fields,pro2,0.1842,0.2523,1.1823,-0.0681,-0.057558920854237236,negligible
corsscidem,All other fields,pro_do,0.1975,0.1951,0.5723,0.0023,0.004104788574069041,negligible
corsscidem,All other fields,pdem,1.9892,2.0996,1.9608,-0.1104,-0.056292057683007414,negligible
corsscidem,All other fields,gen_emph,1.5054,1.5096,1.6868,-0.0042,-0.002477061726928475,negligible
corsscidem,All other fields,pro1,8.3771,8.6518,7.6458,-0.2748,-0.03593953438593201,negligible
corsscidem,All other fields,it,4.1054,3.8353,3.1489,0.2701,0.08577486964727153,negligible
corsscidem,All other fields,be_state,1.2842,1.2769,1.5413,0.0073,0.0047579975282532345,negligible
corsscidem,All other fields,sub_cos,0.7208,0.759,1.1041,-0.0382,-0.03463517299184477,negligible
corsscidem,All other fields,prtcle,0.0624,0.0484,0.2467,0.0139,0.05641017316989324,negligible
corsscidem,All other fields,pany,0.5946,0.7592,1.0295,-0.1646,-0.1598846964955622,negligible
corsscidem,All other fields,gen_hdg,0.1391,0.1561,0.4391,-0.017,-0.03881752907003245,negligible
corsscidem,All other fields,amplifr,1.0093,1.3326,1.5753,-0.3233,-0.20520258479611653,small
corsscidem,All other fields,wh_ques,0.1871,0.1779,0.6794,0.0092,0.013583458468148542,negligible
corsscidem,All other fields,pos_mod,4.5086,5.2505,3.9198,-0.7419,-0.18926861442675777,negligible
