Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corsscieco,abs,All other sections,copulapv,0.4125,0.0,0.2282,0.4125,1.8077,large
corsscieco,abs,All other sections,aspectv,2.05,0.4492,1.3496,1.6008,1.1862,large
corsscieco,abs,All other sections,topicj,19.1125,8.0655,9.6892,11.047,1.1401,large
corsscieco,abs,All other sections,adj_attr,99.8,75.1209,24.452,24.6791,1.0093,large
corsscieco,abs,All other sections,rel_pipe,2.775,0.7356,2.086,2.0394,0.9777,large
corsscieco,abs,All other sections,nec_mod,2.0,0.648,1.5824,1.352,0.8544,large
corsscieco,abs,All other sections,pany,1.6125,0.5017,1.3528,1.1108,0.8211,large
corsscieco,abs,All other sections,alladj,120.9125,99.4825,27.9384,21.43,0.767,medium
corsscieco,abs,All other sections,allwhrel,5.925,3.3418,3.6174,2.5832,0.7141,medium
corsscieco,abs,All other sections,lkly_jth,2.0125,0.6362,2.0512,1.3763,0.671,medium
corsscieco,abs,All other sections,gen_emph,3.0875,1.4028,2.8536,1.6847,0.5904,medium
corsscieco,abs,All other sections,all_jth,2.0125,0.8028,2.1067,1.2097,0.5742,medium
corsscieco,abs,All other sections,causev,4.775,2.8542,3.3821,1.9208,0.5679,medium
corsscieco,abs,All other sections,pl_adv,8.5875,3.8379,8.4247,4.7496,0.5638,medium
corsscieco,abs,All other sections,sub_othr,4.575,2.774,3.2043,1.801,0.5621,medium
corsscieco,abs,All other sections,wh_cl,0.8125,0.2949,0.9636,0.5176,0.5371,medium
corsscieco,abs,All other sections,existv,10.3625,7.4362,5.555,2.9263,0.5268,medium
corsscieco,abs,All other sections,prob_vto,0.825,0.2514,1.0944,0.5736,0.5241,medium
corsscieco,abs,All other sections,pres,52.925,43.9763,17.8428,8.9487,0.5015,medium
corsscieco,abs,All other sections,relatnj,7.0125,4.8271,4.4172,2.1854,0.4947,small
corsscieco,abs,All other sections,allmodal,8.05,5.6102,5.1786,2.4398,0.4711,small
corsscieco,abs,All other sections,nonfadvl,1.1125,0.5073,1.397,0.6052,0.4332,small
corsscieco,abs,All other sections,jcmp,0.3875,0.1232,0.6198,0.2643,0.4265,small
corsscieco,abs,All other sections,all_th,8.7375,6.4836,5.4529,2.2539,0.4133,small
corsscieco,abs,All other sections,pred_adj,5.9125,4.2723,4.0272,1.6402,0.4073,small
corsscieco,abs,All other sections,allconj,18.7,15.0588,9.1388,3.6412,0.3984,small
corsscieco,abs,All other sections,x4_jto,0.4125,0.1548,0.7029,0.2577,0.3666,small
corsscieco,abs,All other sections,evalj,1.5625,0.9266,1.7934,0.6359,0.3546,small
corsscieco,abs,All other sections,abstrcn,46.775,38.7582,23.1754,8.0168,0.3459,small
corsscieco,abs,All other sections,lkly_nth,0.4,0.1492,0.7569,0.2508,0.3314,small
corsscieco,abs,All other sections,prd_mod,1.625,0.9746,2.0508,0.6504,0.3172,small
corsscieco,abs,All other sections,downtone,2.3875,1.622,2.4464,0.7655,0.3129,small
corsscieco,abs,All other sections,o_and,10.3,8.3605,6.2603,1.9395,0.3098,small
corsscieco,abs,All other sections,nonf_vth,2.725,2.0508,2.5563,0.6742,0.2637,small
corsscieco,abs,All other sections,perfects,4.3375,3.5034,3.3346,0.8341,0.2501,small
corsscieco,abs,All other sections,placen,6.875,5.2277,7.3311,1.6473,0.2247,small
corsscieco,abs,All other sections,rel_subj,2.75,2.1791,2.5615,0.5709,0.2229,small
corsscieco,abs,All other sections,all_vth,6.3375,5.3288,4.6497,1.0087,0.2169,small
corsscieco,abs,All other sections,x1_jto,1.2125,0.761,2.198,0.4515,0.2054,small
corsscieco,abs,All other sections,all_jto,2.025,1.4655,2.7242,0.5595,0.2054,small
corsscieco,abs,All other sections,vcmp,4.7875,3.9446,4.1059,0.8429,0.2053,small
corsscieco,abs,All other sections,fact_vth,2.3875,1.8672,2.7512,0.5203,0.1891,negligible
corsscieco,abs,All other sections,quann,7.575,6.4701,6.1095,1.1049,0.1809,negligible
corsscieco,abs,All other sections,sua_vb,1.95,1.6571,2.2787,0.2929,0.1286,negligible
corsscieco,abs,All other sections,all_advl,1.1125,0.8836,1.9111,0.2289,0.1198,negligible
corsscieco,abs,All other sections,pdem,1.575,1.3079,2.2816,0.2671,0.1171,negligible
corsscieco,abs,All other sections,efrt_vto,1.1375,0.9492,1.9173,0.1883,0.0982,negligible
corsscieco,abs,All other sections,pos_mod,4.4125,3.9904,4.4628,0.4221,0.0946,negligible
corsscieco,abs,All other sections,advs,24.3875,23.3678,12.3426,1.0197,0.0826,negligible
corsscieco,abs,All other sections,sub_cos,0.3875,0.3045,1.0355,0.083,0.0801,negligible
corsscieco,abs,All other sections,lkly_vth,1.225,1.0672,2.2955,0.1578,0.0687,negligible
corsscieco,abs,All other sections,have,1.6,1.4689,2.4036,0.1311,0.0545,negligible
corsscieco,abs,All other sections,sub_cnd,0.4125,0.3441,1.2643,0.0684,0.0541,negligible
corsscieco,abs,All other sections,amplifr,0.8,0.7362,1.601,0.0638,0.0399,negligible
corsscieco,abs,All other sections,pro1,8.45,8.1932,8.1483,0.2568,0.0315,negligible
corsscieco,abs,All other sections,all_nth,0.4,0.3554,1.4927,0.0446,0.0299,negligible
corsscieco,abs,All other sections,x2_jto,0.4,0.3757,1.2907,0.0243,0.0188,negligible
corsscieco,abs,All other sections,allpro,13.5875,13.4785,10.708,0.109,0.0102,negligible
corsscieco,abs,All other sections,pro3,5.15,5.2249,5.5932,-0.0749,-0.0134,negligible
corsscieco,abs,All other sections,rel_obj,0.4,0.4271,1.1321,-0.0271,-0.024,negligible
corsscieco,abs,All other sections,spl_aux,1.95,2.0147,2.6441,-0.0647,-0.0245,negligible
corsscieco,abs,All other sections,allwh,0.8125,0.9079,1.8356,-0.0954,-0.052,negligible
corsscieco,abs,All other sections,p_and,3.0375,3.2763,4.3156,-0.2388,-0.0553,negligible
corsscieco,abs,All other sections,timej,0.8125,0.987,2.3546,-0.1745,-0.0741,negligible
corsscieco,abs,All other sections,pro2,0.0,0.0559,0.7298,-0.0559,-0.0766,negligible
corsscieco,abs,All other sections,att_nth,0.0,0.0175,0.2285,-0.0175,-0.0766,negligible
corsscieco,abs,All other sections,mentalpv,0.0,0.0045,0.059,-0.0045,-0.0766,negligible
corsscieco,abs,All other sections,nfct_nth,0.0,0.0051,0.0663,-0.0051,-0.0766,negligible
corsscieco,abs,All other sections,fact_jth,0.0,0.0175,0.1749,-0.0175,-0.1002,negligible
corsscieco,abs,All other sections,commv,5.15,5.7294,5.5732,-0.5794,-0.104,negligible
corsscieco,abs,All other sections,sizej,1.525,1.861,3.1952,-0.336,-0.1052,negligible
corsscieco,abs,All other sections,gen_hdg,0.0,0.0299,0.2837,-0.0299,-0.1055,negligible
