Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corsscieco,con,All other sections,ttr,28.7792,30.523,2.8715,-1.7438,-0.6072858620972782,medium
corsscieco,con,All other sections,wrlengh,5.4583,5.4847,0.2849,-0.0263,-0.09243135676699024,negligible
corsscieco,con,All other sections,wcount,588.8333,574.7774,298.0166,14.056,0.047165023548587634,negligible
corsscieco,con,All other sections,that_del,0.7208,0.6529,1.4055,0.0679,0.04831846248611361,negligible
corsscieco,con,All other sections,contrac,0.0542,0.4478,1.0673,-0.3936,-0.3688322344021299,small
corsscieco,con,All other sections,pres,69.05,63.8504,16.8767,5.1996,0.3080963305457755,small
corsscieco,con,All other sections,pro2,0.0,0.0471,0.2868,-0.0471,-0.16417270299947173,negligible
corsscieco,con,All other sections,pro_do,0.0542,0.2252,0.6536,-0.171,-0.26166585698881345,small
corsscieco,con,All other sections,pdem,2.6375,2.8763,2.8889,-0.2388,-0.08265452444150487,negligible
corsscieco,con,All other sections,gen_emph,1.275,1.535,1.8926,-0.26,-0.13739410684943593,negligible
corsscieco,con,All other sections,pro1,14.1125,10.0507,9.2149,4.0618,0.4407815198725124,small
corsscieco,con,All other sections,it,4.1083,5.2007,3.9663,-1.0924,-0.2754224084374686,small
corsscieco,con,All other sections,be_state,1.1167,2.35,2.4599,-1.2333,-0.5013767435590875,medium
corsscieco,con,All other sections,sub_cos,0.6333,0.6748,1.3245,-0.0415,-0.03132073742842112,negligible
corsscieco,con,All other sections,prtcle,0.0,0.0558,0.332,-0.0558,-0.16816690987165198,negligible
corsscieco,con,All other sections,pany,0.5417,0.6113,1.1511,-0.0696,-0.060503057210740306,negligible
corsscieco,con,All other sections,gen_hdg,0.3167,0.1522,0.6244,0.1645,0.26342284368344154,small
corsscieco,con,All other sections,amplifr,0.8875,1.6704,1.9522,-0.7829,-0.401047829671769,small
corsscieco,con,All other sections,wh_ques,0.0,0.1077,0.6555,-0.1077,-0.16424197473757302,negligible
corsscieco,con,All other sections,pos_mod,6.1458,7.7971,5.0024,-1.6512,-0.330092027807605,small
corsscieco,con,All other sections,o_and,7.0208,7.9496,5.3955,-0.9288,-0.1721445261557468,negligible
corsscieco,con,All other sections,wh_cl,0.2375,0.4011,0.881,-0.1636,-0.1856832732280362,negligible
corsscieco,con,All other sections,finlprep,0.5292,0.5872,1.6439,-0.0581,-0.03531860306448656,negligible
corsscieco,con,All other sections,n,344.8167,330.6781,33.7194,14.1386,0.41930108520424797,small
corsscieco,con,All other sections,prep,129.5375,136.5507,16.9722,-7.0132,-0.4132188368260818,small
corsscieco,con,All other sections,adj_attr,87.5,82.4547,23.5503,5.0453,0.2142328483202623,small
corsscieco,con,All other sections,pasttnse,9.5792,16.5445,10.4907,-6.9654,-0.6639570184967158,medium
corsscieco,con,All other sections,pro3,4.2875,5.1398,5.2215,-0.8523,-0.16322430917694,negligible
corsscieco,con,All other sections,perfects,3.1958,4.8562,4.2888,-1.6604,-0.3871398314477694,small
corsscieco,con,All other sections,rel_obj,0.5542,0.5938,1.1535,-0.0396,-0.03435484991853548,negligible
corsscieco,con,All other sections,rel_subj,2.9083,2.0993,2.3653,0.8091,0.3420528097279963,small
corsscieco,con,All other sections,rel_pipe,0.3167,0.688,1.1561,-0.3713,-0.32115706340122746,small
corsscieco,con,All other sections,p_and,3.0833,3.2617,3.1794,-0.1783,-0.05609444900645096,negligible
corsscieco,con,All other sections,tm_adv,1.1083,1.381,1.846,-0.2727,-0.14771892968449893,negligible
corsscieco,con,All other sections,pl_adv,4.3792,3.8347,5.602,0.5445,0.09719693428120142,negligible
corsscieco,con,All other sections,advs,33.2542,33.3047,10.8919,-0.0506,-0.004643636400731304,negligible
corsscieco,con,All other sections,inf,9.9708,11.2905,6.5395,-1.3197,-0.20180125876415475,small
corsscieco,con,All other sections,prd_mod,1.6292,2.7445,3.053,-1.1154,-0.3653342842862976,small
corsscieco,con,All other sections,sua_vb,1.5917,2.1281,2.3522,-0.5364,-0.22805485528338007,small
corsscieco,con,All other sections,sub_cnd,0.4792,0.7923,1.417,-0.3132,-0.22100140998817036,small
corsscieco,con,All other sections,nec_mod,2.25,2.2847,2.9588,-0.0347,-0.011718232039143902,negligible
corsscieco,con,All other sections,spl_aux,2.35,2.9909,2.7241,-0.6409,-0.2352597104453487,small
corsscieco,con,All other sections,conjncts,9.0792,7.1566,5.0054,1.9226,0.38410618225723775,small
corsscieco,con,All other sections,agls_psv,6.6167,8.7449,5.6158,-2.1282,-0.3789679499254813,small
corsscieco,con,All other sections,by_pasv,1.7875,1.7131,2.2459,0.0744,0.03310941624125623,negligible
corsscieco,con,All other sections,whiz_vbn,2.3458,3.5066,3.1522,-1.1607,-0.3682339655935398,small
corsscieco,con,All other sections,sub_othr,5.7208,4.3792,3.5636,1.3416,0.37648768427802826,small
corsscieco,con,All other sections,vcmp,6.6083,5.9515,4.2314,0.6569,0.1552378897423552,negligible
corsscieco,con,All other sections,downtone,1.45,2.3445,2.3591,-0.8945,-0.3791840332670784,small
corsscieco,con,All other sections,pred_adj,6.0667,6.2719,4.449,-0.2052,-0.046129641462274516,negligible
corsscieco,con,All other sections,allmodal,10.025,12.8237,7.0765,-2.7987,-0.3954967530541609,small
corsscieco,con,All other sections,allconj,16.9417,17.0562,7.4062,-0.1145,-0.01546518804247141,negligible
corsscieco,con,All other sections,allpasv,10.7542,13.9602,7.2395,-3.2061,-0.44285364279940387,small
corsscieco,con,All other sections,allwh,0.2375,0.5095,1.1369,-0.272,-0.2392376756569602,small
corsscieco,con,All other sections,allwhrel,3.7833,3.381,3.0502,0.4023,0.13189737396849244,negligible
corsscieco,con,All other sections,alladj,111.0625,107.8942,25.1355,3.1683,0.12605023114157532,negligible
corsscieco,con,All other sections,allpro,18.4083,15.2339,10.8204,3.1744,0.29337118378343596,small
corsscieco,con,All other sections,have,2.0458,1.5102,1.9368,0.5356,0.27655132803191174,small
corsscieco,con,All other sections,allverb,97.15,102.9022,17.6388,-5.7522,-0.326109742768914,small
corsscieco,con,All other sections,vprogrsv,5.0792,5.6934,4.4272,-0.6143,-0.13874704303729185,negligible
corsscieco,con,All other sections,that_rel,2.9708,4.7909,3.8914,-1.82,-0.4677063046868052,small
corsscieco,con,All other sections,jcmp,0.175,0.4113,1.1255,-0.2363,-0.20996293620161802,small
corsscieco,con,All other sections,nonf_vth,2.6542,2.1036,2.3217,0.5505,0.2371173432105768,small
corsscieco,con,All other sections,att_vth,0.55,0.4967,1.0468,0.0533,0.050904545794405946,negligible
corsscieco,con,All other sections,fact_vth,3.2625,2.7303,2.8812,0.5322,0.1847165098842717,negligible
corsscieco,con,All other sections,lkly_vth,1.1292,1.7182,2.0294,-0.5891,-0.29027457668557033,small
corsscieco,con,All other sections,att_jth,0.3292,0.4248,0.9957,-0.0957,-0.09606704442918747,negligible
corsscieco,con,All other sections,fact_jth,0.1792,0.1642,0.6116,0.0149,0.02441765385282588,negligible
corsscieco,con,All other sections,lkly_jth,0.7333,1.1358,2.1864,-0.4024,-0.1840606222122286,negligible
corsscieco,con,All other sections,nfct_nth,0.0,0.0453,0.2994,-0.0453,-0.15113883639694167,negligible
corsscieco,con,All other sections,att_nth,0.0,0.0482,0.2997,-0.0482,-0.16075272526035675,negligible
corsscieco,con,All other sections,fct_nth,0.1458,0.3759,1.0047,-0.2301,-0.2289982917223189,small
corsscieco,con,All other sections,lkly_nth,0.3667,0.2464,0.8329,0.1203,0.14445719337830853,negligible
corsscieco,con,All other sections,spch_vto,0.1625,0.1861,0.5818,-0.0236,-0.04061971375488216,negligible
corsscieco,con,All other sections,mntl_vto,0.2792,0.2847,0.7762,-0.0055,-0.007092087421657588,negligible
corsscieco,con,All other sections,dsre_vto,0.875,1.0734,1.754,-0.1984,-0.11309050073989567,negligible
corsscieco,con,All other sections,efrt_vto,1.1333,1.4186,1.8156,-0.2853,-0.15712274511653443,negligible
corsscieco,con,All other sections,prob_vto,0.6083,0.7084,1.2631,-0.1001,-0.0792214527580338,negligible
corsscieco,con,All other sections,x1_jto,0.7417,0.7642,1.6795,-0.0226,-0.013437048622680471,negligible
corsscieco,con,All other sections,x2_jto,0.2375,0.5263,1.1455,-0.2888,-0.25210220469848965,small
corsscieco,con,All other sections,x3_jto,0.0,0.0117,0.131,-0.0117,-0.08912532364444659,negligible
corsscieco,con,All other sections,x4_jto,0.35,0.4967,1.0174,-0.1467,-0.1442022289576625,negligible
corsscieco,con,All other sections,x5_jto,0.2833,0.5055,1.0692,-0.2221,-0.20777267624767656,small
corsscieco,con,All other sections,all_nto,0.4875,0.9858,1.7957,-0.4983,-0.277480835656052,small
corsscieco,con,All other sections,nonfadvl,0.8208,0.6566,1.2315,0.1643,0.13338507878086572,negligible
corsscieco,con,All other sections,atadvl,0.1292,0.1383,0.5137,-0.0092,-0.01781997856764048,negligible
corsscieco,con,All other sections,fctadvl,0.7458,0.638,1.2048,0.1079,0.08954277389781738,negligible
corsscieco,con,All other sections,lklydvl,0.2083,0.5712,1.3,-0.3628,-0.2791089233420132,small
corsscieco,con,All other sections,all_vth,7.5875,7.0474,4.5614,0.5401,0.11839628565686276,negligible
corsscieco,con,All other sections,all_jth,1.2417,1.7226,2.4294,-0.481,-0.19797351141995254,negligible
corsscieco,con,All other sections,all_nth,0.5125,0.7135,1.4349,-0.201,-0.140077321686299,negligible
corsscieco,con,All other sections,all_th,9.35,9.4843,6.132,-0.1343,-0.021902649365339893,negligible
corsscieco,con,All other sections,all_vto,3.0667,3.669,2.8658,-0.6023,-0.21017356429405798,small
corsscieco,con,All other sections,all_jto,1.6083,2.3044,2.5889,-0.696,-0.2688591425351565,small
corsscieco,con,All other sections,all_to,5.1625,6.9547,4.8112,-1.7922,-0.37251148519676597,small
corsscieco,con,All other sections,all_advl,1.8958,2.0011,2.263,-0.1053,-0.046513655953547915,negligible
corsscieco,con,All other sections,act_ipv,0.0,0.0029,0.0464,-0.0029,-0.06290559153338071,negligible
corsscieco,con,All other sections,act_tpv,0.1042,0.2785,0.8647,-0.1743,-0.2015681090278223,small
corsscieco,con,All other sections,mentalpv,0.0,0.0146,0.1671,-0.0146,-0.08738221487149204,negligible
corsscieco,con,All other sections,commpv,0.0667,0.0679,0.3358,-0.0012,-0.0036231919537737614,negligible
corsscieco,con,All other sections,occurpv,0.0,0.0,0.0,0.0,,
corsscieco,con,All other sections,copulapv,0.0,0.0201,0.1981,-0.0201,-0.10131235731213849,negligible
corsscieco,con,All other sections,aspectpv,0.0,0.0,0.0,0.0,,
corsscieco,con,All other sections,humann,1.275,4.0807,6.2695,-2.8057,-0.44750907548290764,small
corsscieco,con,All other sections,prcessn,24.8542,23.5255,13.0923,1.3286,0.10148062546381129,negligible
corsscieco,con,All other sections,cognitn,7.9167,8.1657,6.3154,-0.249,-0.03943186161872314,negligible
corsscieco,con,All other sections,abstrcn,40.0792,34.4701,17.6758,5.6091,0.31733137094254016,small
corsscieco,con,All other sections,concrtn,5.075,7.5274,6.7679,-2.4524,-0.3623523460501407,small
corsscieco,con,All other sections,tccncrt,5.4875,5.7139,6.6186,-0.2264,-0.03420165384894221,negligible
corsscieco,con,All other sections,quann,8.925,6.0193,6.936,2.9057,0.4189249505749748,small
corsscieco,con,All other sections,placen,11.4042,6.0781,7.814,5.3261,0.6816062563545173,medium
corsscieco,con,All other sections,groupn,1.9583,2.5883,4.6002,-0.63,-0.1369488376945323,negligible
