Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corsscieco,int,All other sections,ttr,30.5485,31.8881,2.2202,-1.3395,-0.6033310341138033,medium
corsscieco,int,All other sections,wrlengh,5.4338,5.5311,0.2725,-0.0973,-0.3569847557336531,small
corsscieco,int,All other sections,wcount,1163.4853,1176.2777,886.4406,-12.7924,-0.014431193864842705,negligible
corsscieco,int,All other sections,that_del,0.5882,0.4593,0.7709,0.1289,0.16720919145807897,negligible
corsscieco,int,All other sections,contrac,0.0103,0.5066,1.1243,-0.4964,-0.44147601049442037,small
corsscieco,int,All other sections,pres,66.8235,62.7868,14.8164,4.0367,0.27245109128091216,small
corsscieco,int,All other sections,pro2,0.0235,0.096,0.4979,-0.0724,-0.14548282351866318,negligible
corsscieco,int,All other sections,pro_do,0.2221,0.2038,0.5725,0.0183,0.03189672686450294,negligible
corsscieco,int,All other sections,pdem,2.1,1.8681,1.8031,0.2319,0.12860251340953224,negligible
corsscieco,int,All other sections,gen_emph,1.3544,1.6303,1.6696,-0.2759,-0.16524521678833426,negligible
corsscieco,int,All other sections,pro1,9.6926,6.2831,5.8041,3.4096,0.5874424794077954,medium
corsscieco,int,All other sections,it,5.7618,4.364,3.3448,1.3978,0.4178924767897868,small
corsscieco,int,All other sections,be_state,1.2897,1.3318,1.5805,-0.0421,-0.026635858901523056,negligible
corsscieco,int,All other sections,sub_cos,0.8221,0.7663,1.1708,0.0558,0.047625751689566356,negligible
corsscieco,int,All other sections,prtcle,0.0706,0.0536,0.2814,0.017,0.06052135772885932,negligible
corsscieco,int,All other sections,pany,0.6118,0.8241,1.087,-0.2124,-0.19536691272383652,negligible
corsscieco,int,All other sections,gen_hdg,0.2397,0.1193,0.4603,0.1204,0.26159322522277567,small
corsscieco,int,All other sections,amplifr,1.2,1.2141,1.4886,-0.0141,-0.009459853602718274,negligible
corsscieco,int,All other sections,wh_ques,0.1588,0.2387,0.7377,-0.0799,-0.10825706515768609,negligible
corsscieco,int,All other sections,pos_mod,6.3103,5.7603,3.9379,0.55,0.1396695497125296,negligible
corsscieco,int,All other sections,o_and,6.2838,9.0766,4.8524,-2.7928,-0.5755459325802333,medium
corsscieco,int,All other sections,wh_cl,0.1544,0.2718,0.5968,-0.1173,-0.19661380732931813,negligible
corsscieco,int,All other sections,finlprep,0.4515,0.5365,0.9805,-0.085,-0.08668860709298186,negligible
corsscieco,int,All other sections,n,343.2691,343.1254,30.7401,0.1437,0.004675389825774213,negligible
corsscieco,int,All other sections,prep,135.1456,135.3479,15.4193,-0.2024,-0.013123476072838867,negligible
corsscieco,int,All other sections,adj_attr,82.4588,80.4881,19.1372,1.9707,0.10297720596999504,negligible
corsscieco,int,All other sections,pasttnse,12.5647,16.556,9.2805,-3.9913,-0.43007511360929557,small
corsscieco,int,All other sections,pro3,4.9588,6.5882,5.1587,-1.6294,-0.3158536457034422,small
corsscieco,int,All other sections,perfects,5.7941,7.1367,4.0039,-1.3426,-0.33531804951003247,small
corsscieco,int,All other sections,rel_obj,0.8353,0.5558,0.8852,0.2795,0.3157550030789392,small
corsscieco,int,All other sections,rel_subj,2.8706,2.4601,2.1655,0.4105,0.1895489038636717,negligible
corsscieco,int,All other sections,rel_pipe,0.9265,0.9545,1.273,-0.028,-0.022025628615829657,negligible
corsscieco,int,All other sections,p_and,3.0574,3.4755,2.7572,-0.4181,-0.15164629935026488,negligible
corsscieco,int,All other sections,tm_adv,1.4088,1.7752,1.771,-0.3663,-0.20685763949760602,small
corsscieco,int,All other sections,pl_adv,2.2353,3.2392,3.2343,-1.0039,-0.31037693026385604,small
corsscieco,int,All other sections,advs,29.8574,31.5327,9.6376,-1.6753,-0.17383260961098582,negligible
corsscieco,int,All other sections,inf,8.5426,11.1229,5.2343,-2.5803,-0.4929583284338895,small
corsscieco,int,All other sections,prd_mod,1.5485,1.6585,2.0959,-0.1099,-0.05245287027590636,negligible
corsscieco,int,All other sections,sua_vb,1.5015,1.8114,1.903,-0.3099,-0.16285770830183283,negligible
corsscieco,int,All other sections,sub_cnd,0.7162,0.7352,1.1523,-0.019,-0.016514087911059912,negligible
corsscieco,int,All other sections,nec_mod,0.6794,0.8945,1.344,-0.2151,-0.1600074502057022,negligible
corsscieco,int,All other sections,spl_aux,2.7074,3.5298,2.3518,-0.8225,-0.34972276391299,small
corsscieco,int,All other sections,conjncts,7.9103,7.096,3.8418,0.8143,0.21196733427836564,small
corsscieco,int,All other sections,agls_psv,8.4485,10.477,4.9708,-2.0284,-0.40807534160256226,small
corsscieco,int,All other sections,by_pasv,2.0485,1.8605,1.6807,0.188,0.11186114748522341,negligible
corsscieco,int,All other sections,whiz_vbn,3.1044,3.0686,2.2509,0.0358,0.01591339603743732,negligible
corsscieco,int,All other sections,sub_othr,3.7691,3.8259,2.5395,-0.0568,-0.022348336974708827,negligible
corsscieco,int,All other sections,vcmp,5.4676,4.5371,3.354,0.9305,0.2774410832795118,small
corsscieco,int,All other sections,downtone,2.3809,2.3164,1.8336,0.0645,0.03518040799732035,negligible
corsscieco,int,All other sections,pred_adj,4.6574,4.9119,3.1174,-0.2545,-0.08164180329859555,negligible
corsscieco,int,All other sections,allmodal,8.5324,8.3103,5.0448,0.2221,0.044019639471766285,negligible
corsscieco,int,All other sections,allconj,14.6456,17.882,6.4001,-3.2364,-0.5056728349377841,medium
corsscieco,int,All other sections,allpasv,13.5941,15.4073,5.9432,-1.8132,-0.3050820721835801,small
corsscieco,int,All other sections,allwh,0.3132,0.51,0.9729,-0.1967,-0.20221610787600472,small
corsscieco,int,All other sections,allwhrel,4.6324,3.9699,2.8217,0.6624,0.2347538783862215,small
corsscieco,int,All other sections,alladj,103.6353,104.2289,20.8576,-0.5936,-0.028458820649121398,negligible
corsscieco,int,All other sections,allpro,14.6838,12.9682,7.9697,1.7156,0.21526900535316862,small
corsscieco,int,All other sections,have,1.3426,1.3306,1.4659,0.012,0.008206507882841234,negligible
corsscieco,int,All other sections,allverb,98.3941,102.3676,14.8932,-3.9734,-0.26679525927410214,small
corsscieco,int,All other sections,vprogrsv,4.5176,5.7875,3.7507,-1.2699,-0.33856757129413484,small
corsscieco,int,All other sections,that_rel,3.2721,3.917,2.8699,-0.645,-0.22472554740828218,small
corsscieco,int,All other sections,jcmp,0.1882,0.1866,0.4715,0.0016,0.0034049639171261042,negligible
corsscieco,int,All other sections,nonf_vth,2.1368,1.9524,1.9292,0.1844,0.09558126837670586,negligible
corsscieco,int,All other sections,att_vth,0.2985,0.5173,0.8718,-0.2188,-0.2509842389187653,small
corsscieco,int,All other sections,fact_vth,2.4412,2.2139,2.2431,0.2273,0.10131261412256412,negligible
corsscieco,int,All other sections,lkly_vth,1.4779,1.3881,1.609,0.0898,0.055816465604666236,negligible
corsscieco,int,All other sections,att_jth,0.3265,0.2037,0.4908,0.1228,0.2500953780459463,small
corsscieco,int,All other sections,fact_jth,0.0735,0.0843,0.3102,-0.0108,-0.034832394670160735,negligible
corsscieco,int,All other sections,lkly_jth,0.4118,0.6038,1.0359,-0.192,-0.1853826231026089,negligible
corsscieco,int,All other sections,nfct_nth,0.0382,0.0491,0.2622,-0.0109,-0.04155387288849123,negligible
corsscieco,int,All other sections,att_nth,0.0721,0.0474,0.217,0.0247,0.11368478132104151,negligible
corsscieco,int,All other sections,fct_nth,0.1897,0.2124,0.551,-0.0227,-0.04122155803965383,negligible
corsscieco,int,All other sections,lkly_nth,0.3397,0.34,0.7343,-0.0002,-0.000335882216355524,negligible
corsscieco,int,All other sections,spch_vto,0.0941,0.3078,0.6829,-0.2136,-0.3128223712231395,small
corsscieco,int,All other sections,mntl_vto,0.3985,0.5896,0.9869,-0.191,-0.19356997072412346,negligible
corsscieco,int,All other sections,dsre_vto,0.7912,0.9806,1.2023,-0.1894,-0.1575602158842848,negligible
corsscieco,int,All other sections,efrt_vto,1.2074,1.2837,1.4923,-0.0763,-0.051161542191812404,negligible
corsscieco,int,All other sections,prob_vto,0.3779,0.5174,0.9252,-0.1395,-0.1507378137189474,negligible
corsscieco,int,All other sections,x1_jto,0.5382,0.5922,1.0371,-0.054,-0.05207925044896344,negligible
corsscieco,int,All other sections,x2_jto,0.2956,0.3256,0.6863,-0.03,-0.04366411903023995,negligible
corsscieco,int,All other sections,x3_jto,0.0,0.0118,0.1118,-0.0118,-0.10546860880504497,negligible
corsscieco,int,All other sections,x4_jto,0.2765,0.2919,0.6664,-0.0155,-0.023197754718389176,negligible
corsscieco,int,All other sections,x5_jto,0.3074,0.3074,0.6722,-0.0,-6.923502751005314e-06,negligible
corsscieco,int,All other sections,all_nto,0.6397,1.0099,1.4317,-0.3702,-0.25856865011551844,small
corsscieco,int,All other sections,nonfadvl,0.9471,0.895,1.1354,0.052,0.045838302162795205,negligible
corsscieco,int,All other sections,atadvl,0.1426,0.0693,0.2835,0.0733,0.25870612501044915,small
corsscieco,int,All other sections,fctadvl,0.3132,0.4116,0.7846,-0.0983,-0.12529979885896814,negligible
corsscieco,int,All other sections,lklydvl,0.1426,0.2351,0.5526,-0.0925,-0.1673475061091517,negligible
corsscieco,int,All other sections,all_vth,6.3691,6.0735,3.8659,0.2956,0.07646925452602647,negligible
corsscieco,int,All other sections,all_jth,0.8147,0.8929,1.2063,-0.0782,-0.06480434743390763,negligible
corsscieco,int,All other sections,all_nth,0.6382,0.6492,1.0136,-0.011,-0.010826495753829959,negligible
corsscieco,int,All other sections,all_th,7.8176,7.6165,4.5721,0.2011,0.04398705555518983,negligible
corsscieco,int,All other sections,all_vto,2.8662,3.6816,2.5579,-0.8154,-0.3187754228685774,small
corsscieco,int,All other sections,all_jto,1.4206,1.532,1.6352,-0.1115,-0.06815891756540175,negligible
corsscieco,int,All other sections,all_to,4.9324,6.2227,3.6899,-1.2904,-0.34969841886628794,small
corsscieco,int,All other sections,all_advl,1.5441,1.6124,1.6029,-0.0683,-0.04261285667647994,negligible
corsscieco,int,All other sections,act_ipv,0.0132,0.0036,0.064,0.0097,0.1511136500765116,negligible
corsscieco,int,All other sections,act_tpv,0.1103,0.221,0.653,-0.1108,-0.1696082469082729,negligible
corsscieco,int,All other sections,mentalpv,0.0,0.0108,0.1038,-0.0108,-0.10364275307372388,negligible
corsscieco,int,All other sections,commpv,0.1382,0.0716,0.3718,0.0666,0.1792392783001924,negligible
corsscieco,int,All other sections,occurpv,0.0,0.0009,0.0236,-0.0009,-0.04027900108661257,negligible
corsscieco,int,All other sections,copulapv,0.0103,0.0062,0.0794,0.0041,0.051961289906459915,negligible
corsscieco,int,All other sections,aspectpv,0.0,0.0059,0.0747,-0.0059,-0.0783981432457036,negligible
corsscieco,int,All other sections,humann,2.5059,5.5579,6.4148,-3.052,-0.4757794194539945,small
corsscieco,int,All other sections,prcessn,23.1824,22.5655,11.7546,0.6168,0.052477215602175664,negligible
corsscieco,int,All other sections,cognitn,8.1294,7.8694,5.7562,0.26,0.045173822650336704,negligible
corsscieco,int,All other sections,abstrcn,43.2294,34.889,15.9059,8.3404,0.5243592102267048,medium
corsscieco,int,All other sections,concrtn,6.6294,7.4691,7.3042,-0.8397,-0.1149544504888796,negligible
corsscieco,int,All other sections,tccncrt,3.8529,4.992,6.1643,-1.1391,-0.18478523230095206,negligible
corsscieco,int,All other sections,quann,9.8309,6.1994,5.829,3.6315,0.6230131459653291,medium
corsscieco,int,All other sections,placen,9.2,5.0771,6.2221,4.1229,0.6626194507409765,medium
corsscieco,int,All other sections,groupn,3.0162,2.3661,4.4634,0.65,0.14563716979195446,negligible
corsscieco,int,All other sections,sizej,1.9162,2.0102,2.3552,-0.094,-0.039923919532046166,negligible
corsscieco,int,All other sections,timej,1.0794,1.027,1.7688,0.0524,0.029644092078298327,negligible
corsscieco,int,All other sections,colorj,0.0029,0.0737,0.4473,-0.0707,-0.15808774250910557,negligible
corsscieco,int,All other sections,evalj,1.1603,1.0035,1.4433,0.1568,0.10865244021569234,negligible
corsscieco,int,All other sections,relatnj,5.0603,5.4336,3.8363,-0.3733,-0.09731466328626341,negligible
corsscieco,int,All other sections,topicj,11.5706,8.7928,8.9865,2.7778,0.30910797421090014,small
corsscieco,int,All other sections,actv,15.3176,15.1123,5.7243,0.2054,0.035879310459752574,negligible
corsscieco,int,All other sections,commv,5.1221,6.3138,4.2836,-1.1918,-0.2782180022716553,small
corsscieco,int,All other sections,mentalv,12.1662,12.6988,5.7684,-0.5326,-0.09233693161556929,negligible
corsscieco,int,All other sections,causev,3.5426,2.9978,2.5708,0.5449,0.21193914667483832,small
corsscieco,int,All other sections,occurv,4.0765,3.1801,2.5825,0.8963,0.3470715146930388,small
corsscieco,int,All other sections,existv,7.0279,8.0884,3.9707,-1.0605,-0.26708280664287287,small
corsscieco,int,All other sections,aspectv,0.6206,0.6839,1.0549,-0.0634,-0.06005641330433089,negligible
