Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corsscieco,mm,All other sections,pres,63.7357,40.5901,19.2664,23.1456,1.2013,large
corsscieco,mm,All other sections,it,4.5679,2.5225,2.4325,2.0454,0.8409,large
corsscieco,mm,All other sections,quann,14.0893,8.8007,6.6256,5.2886,0.7982,medium
corsscieco,mm,All other sections,prd_mod,2.0571,0.9797,1.3589,1.0774,0.7929,medium
corsscieco,mm,All other sections,allmodal,7.0286,4.2179,3.5696,2.8107,0.7874,medium
corsscieco,mm,All other sections,be_state,1.3071,0.5925,0.9221,0.7146,0.775,medium
corsscieco,mm,All other sections,abstrcn,37.7036,28.6852,12.1689,9.0184,0.7411,medium
corsscieco,mm,All other sections,commpv,0.0821,0.0118,0.1009,0.0703,0.6966,medium
corsscieco,mm,All other sections,atadvl,0.1107,0.0205,0.1303,0.0902,0.6926,medium
corsscieco,mm,All other sections,pro1,16.8321,10.6873,9.0118,6.1449,0.6819,medium
corsscieco,mm,All other sections,conjncts,6.1071,4.1961,2.933,1.9111,0.6516,medium
corsscieco,mm,All other sections,finlprep,1.7929,0.8042,1.5269,0.9887,0.6475,medium
corsscieco,mm,All other sections,vcmp,3.2393,1.9318,2.0354,1.3075,0.6424,medium
corsscieco,mm,All other sections,allpro,22.5857,16.4326,10.1824,6.1531,0.6043,medium
corsscieco,mm,All other sections,pos_mod,4.2929,2.7545,2.7204,1.5384,0.5655,medium
corsscieco,mm,All other sections,tccncrt,14.0,10.1871,6.8357,3.8129,0.5578,medium
corsscieco,mm,All other sections,all_vth,4.8714,3.4144,2.6226,1.4571,0.5556,medium
corsscieco,mm,All other sections,evalj,0.9929,0.4995,0.9003,0.4934,0.5481,medium
corsscieco,mm,All other sections,prob_vto,0.3214,0.1274,0.3649,0.194,0.5316,medium
corsscieco,mm,All other sections,all_th,5.7607,4.1511,3.1319,1.6096,0.5139,medium
corsscieco,mm,All other sections,placen,8.4929,5.373,6.2902,3.1198,0.496,small
corsscieco,mm,All other sections,nonf_vth,2.0679,1.3196,1.5232,0.7482,0.4912,small
corsscieco,mm,All other sections,pred_adj,4.625,3.4433,2.4919,1.1817,0.4742,small
corsscieco,mm,All other sections,fact_vth,1.2214,0.8228,1.1144,0.3986,0.3577,small
corsscieco,mm,All other sections,x4_jto,0.3393,0.1742,0.48,0.1651,0.3439,small
corsscieco,mm,All other sections,efrt_vto,1.55,1.1466,1.2372,0.4034,0.3261,small
corsscieco,mm,All other sections,pdem,2.0321,1.5485,1.5912,0.4837,0.304,small
corsscieco,mm,All other sections,att_jth,0.1857,0.0971,0.2925,0.0886,0.3028,small
corsscieco,mm,All other sections,advs,24.6821,22.3123,8.0459,2.3699,0.2945,small
corsscieco,mm,All other sections,lkly_vth,1.1857,0.8349,1.1964,0.3508,0.2933,small
corsscieco,mm,All other sections,prep,133.2464,129.1364,14.9123,4.11,0.2756,small
corsscieco,mm,All other sections,all_vto,3.1714,2.6177,2.0574,0.5538,0.2692,small
corsscieco,mm,All other sections,sub_cnd,1.6036,1.1655,1.6902,0.4381,0.2592,small
corsscieco,mm,All other sections,tm_adv,2.7893,2.3157,1.996,0.4736,0.2373,small
corsscieco,mm,All other sections,copulapv,0.0321,0.0106,0.0921,0.0215,0.2336,small
corsscieco,mm,All other sections,existv,9.8929,8.9759,4.0051,0.917,0.229,small
corsscieco,mm,All other sections,have,1.6071,1.2798,1.4449,0.3273,0.2265,small
corsscieco,mm,All other sections,nec_mod,0.6821,0.4846,0.8838,0.1975,0.2234,small
corsscieco,mm,All other sections,amplifr,1.4893,1.1193,1.7416,0.37,0.2124,small
