Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corsscieco,rd,All other sections,conjncts,8.5674,6.9827,3.15,1.5847,0.5031,medium
corsscieco,rd,All other sections,abstrcn,37.3628,30.6662,13.5884,6.6966,0.4928,small
corsscieco,rd,All other sections,occurv,3.5279,2.5556,1.9891,0.9723,0.4888,small
corsscieco,rd,All other sections,pres,63.8256,56.1305,16.0532,7.6951,0.4793,small
corsscieco,rd,All other sections,topicj,7.2791,4.8179,5.6151,2.4612,0.4383,small
corsscieco,rd,All other sections,quann,10.5279,7.9613,6.035,2.5666,0.4253,small
corsscieco,rd,All other sections,sub_othr,5.0674,4.2343,2.0291,0.8331,0.4106,small
corsscieco,rd,All other sections,pro1,11.5209,8.8259,6.9951,2.695,0.3853,small
corsscieco,rd,All other sections,it,5.0628,4.0352,2.7856,1.0275,0.3689,small
corsscieco,rd,All other sections,placen,6.6349,4.729,5.8281,1.9059,0.327,small
corsscieco,rd,All other sections,nfct_nth,0.1047,0.0497,0.1888,0.0549,0.2908,small
corsscieco,rd,All other sections,alladj,100.1837,95.2084,18.6942,4.9753,0.2661,small
corsscieco,rd,All other sections,mntl_vto,0.5767,0.4175,0.6424,0.1592,0.2478,small
corsscieco,rd,All other sections,aspectv,0.9674,0.7154,1.0221,0.252,0.2466,small
corsscieco,rd,All other sections,fct_nth,0.4326,0.3121,0.523,0.1204,0.2302,small
corsscieco,rd,All other sections,tm_adv,1.8186,1.4982,1.4459,0.3204,0.2216,small
corsscieco,rd,All other sections,amplifr,1.8372,1.556,1.3658,0.2812,0.2059,small
corsscieco,rd,All other sections,rel_obj,0.693,0.5463,0.7233,0.1467,0.2029,small
corsscieco,rd,All other sections,finlprep,0.9047,0.6835,1.1089,0.2212,0.1995,negligible
corsscieco,rd,All other sections,mentalpv,0.0302,0.0127,0.0904,0.0175,0.1936,negligible
corsscieco,rd,All other sections,fact_jth,0.1767,0.1201,0.3193,0.0567,0.1775,negligible
corsscieco,rd,All other sections,adj_attr,71.5977,68.7173,16.6934,2.8804,0.1725,negligible
corsscieco,rd,All other sections,colorj,0.2372,0.146,0.6186,0.0913,0.1475,negligible
corsscieco,rd,All other sections,prep,137.393,135.2582,15.615,2.1348,0.1367,negligible
corsscieco,rd,All other sections,gen_hdg,0.2953,0.2408,0.4283,0.0545,0.1273,negligible
corsscieco,rd,All other sections,fact_vth,2.8419,2.6228,1.8685,0.2191,0.1173,negligible
corsscieco,rd,All other sections,pany,0.8233,0.7235,0.8545,0.0997,0.1167,negligible
corsscieco,rd,All other sections,advs,32.9581,32.0142,8.2724,0.944,0.1141,negligible
corsscieco,rd,All other sections,pred_adj,7.0488,6.7346,2.9927,0.3143,0.105,negligible
corsscieco,rd,All other sections,wh_ques,0.1302,0.1029,0.2823,0.0274,0.0969,negligible
corsscieco,rd,All other sections,x2_jto,0.4233,0.3719,0.6373,0.0513,0.0805,negligible
corsscieco,rd,All other sections,relatnj,4.8814,4.6725,2.8278,0.2089,0.0739,negligible
corsscieco,rd,All other sections,all_nth,0.8558,0.7831,1.0363,0.0728,0.0702,negligible
corsscieco,rd,All other sections,downtone,3.0884,2.9669,1.8193,0.1215,0.0668,negligible
corsscieco,rd,All other sections,allwhrel,4.1651,3.9989,2.5651,0.1662,0.0648,negligible
corsscieco,rd,All other sections,rel_subj,2.8744,2.7352,2.2224,0.1392,0.0626,negligible
corsscieco,rd,All other sections,vcmp,6.2023,6.0298,3.1082,0.1725,0.0555,negligible
corsscieco,rd,All other sections,wcount,2645.7209,2572.0894,1469.1796,73.6316,0.0501,negligible
corsscieco,rd,All other sections,allpro,15.5349,15.0731,9.9008,0.4618,0.0466,negligible
corsscieco,rd,All other sections,att_jth,0.2488,0.2324,0.3962,0.0165,0.0415,negligible
corsscieco,rd,All other sections,all_vth,7.2907,7.2242,3.3376,0.0665,0.0199,negligible
corsscieco,rd,All other sections,sizej,2.7744,2.7191,3.03,0.0554,0.0183,negligible
corsscieco,rd,All other sections,spl_aux,2.793,2.769,1.6042,0.0241,0.015,negligible
corsscieco,rd,All other sections,x5_jto,0.286,0.2822,0.4444,0.0038,0.0086,negligible
corsscieco,rd,All other sections,prd_mod,1.7628,1.7475,1.8123,0.0153,0.0085,negligible
corsscieco,rd,All other sections,existv,9.3907,9.3606,3.7479,0.0301,0.008,negligible
corsscieco,rd,All other sections,causev,2.414,2.4055,1.9884,0.0085,0.0043,negligible
corsscieco,rd,All other sections,commpv,0.0488,0.0499,0.2255,-0.0011,-0.0048,negligible
corsscieco,rd,All other sections,sub_cnd,0.9047,0.9099,1.0889,-0.0053,-0.0049,negligible
corsscieco,rd,All other sections,lkly_vth,1.8884,1.9003,1.5424,-0.0119,-0.0077,negligible
corsscieco,rd,All other sections,all_th,9.2814,9.3454,4.1079,-0.0641,-0.0156,negligible
corsscieco,rd,All other sections,pdem,2.6047,2.6589,1.8453,-0.0542,-0.0294,negligible
corsscieco,rd,All other sections,occurpv,0.0,0.0056,0.1716,-0.0056,-0.0324,negligible
corsscieco,rd,All other sections,nonfadvl,0.6907,0.7169,0.7968,-0.0263,-0.0329,negligible
corsscieco,rd,All other sections,aspectpv,0.0116,0.0149,0.0872,-0.0033,-0.0378,negligible
corsscieco,rd,All other sections,x3_jto,0.007,0.0104,0.077,-0.0034,-0.0441,negligible
corsscieco,rd,All other sections,prob_vto,0.6791,0.724,0.9591,-0.045,-0.0469,negligible
corsscieco,rd,All other sections,nonf_vth,2.1395,2.2292,1.5802,-0.0896,-0.0567,negligible
corsscieco,rd,All other sections,actv,15.1349,15.527,5.8215,-0.3921,-0.0674,negligible
corsscieco,rd,All other sections,by_pasv,1.6837,1.7734,1.3213,-0.0896,-0.0678,negligible
corsscieco,rd,All other sections,allwh,0.3186,0.3569,0.5529,-0.0383,-0.0693,negligible
corsscieco,rd,All other sections,att_vth,0.4233,0.474,0.7238,-0.0508,-0.0702,negligible
corsscieco,rd,All other sections,that_del,0.6837,0.7575,0.9873,-0.0738,-0.0747,negligible
corsscieco,rd,All other sections,jcmp,0.3302,0.3766,0.5612,-0.0464,-0.0827,negligible
corsscieco,rd,All other sections,p_and,2.386,2.5561,1.9537,-0.17,-0.087,negligible
corsscieco,rd,All other sections,sub_cos,0.714,0.8029,0.9603,-0.0889,-0.0926,negligible
corsscieco,rd,All other sections,lkly_nth,0.3047,0.3801,0.7966,-0.0755,-0.0947,negligible
corsscieco,rd,All other sections,timej,0.5256,0.659,1.3622,-0.1334,-0.098,negligible
corsscieco,rd,All other sections,cognitn,6.3977,6.8978,4.6764,-0.5001,-0.1069,negligible
corsscieco,rd,All other sections,allconj,15.3791,15.9319,4.8423,-0.5528,-0.1142,negligible
corsscieco,rd,All other sections,x1_jto,0.6884,0.8488,1.3884,-0.1604,-0.1156,negligible
corsscieco,rd,All other sections,copulapv,0.0093,0.0282,0.1595,-0.0189,-0.1183,negligible
corsscieco,rd,All other sections,all_jto,1.5721,1.77,1.6705,-0.1979,-0.1185,negligible
corsscieco,rd,All other sections,efrt_vto,0.8326,0.946,0.9422,-0.1134,-0.1203,negligible
corsscieco,rd,All other sections,act_ipv,0.0,0.0074,0.0603,-0.0074,-0.1231,negligible
corsscieco,rd,All other sections,pl_adv,2.9395,3.3286,3.1368,-0.389,-0.124,negligible
corsscieco,rd,All other sections,evalj,0.7349,0.8946,1.2469,-0.1597,-0.1281,negligible
corsscieco,rd,All other sections,all_jth,1.1395,1.3376,1.5439,-0.1981,-0.1283,negligible
corsscieco,rd,All other sections,have,1.9256,2.1827,1.9733,-0.2571,-0.1303,negligible
corsscieco,rd,All other sections,n,328.4093,332.324,30.0307,-3.9147,-0.1304,negligible
corsscieco,rd,All other sections,prtcle,0.0279,0.0488,0.1535,-0.0209,-0.1362,negligible
corsscieco,rd,All other sections,fctadvl,0.4535,0.575,0.8718,-0.1215,-0.1393,negligible
corsscieco,rd,All other sections,vprogrsv,4.8605,5.3028,3.1527,-0.4423,-0.1403,negligible
corsscieco,rd,All other sections,wh_cl,0.1884,0.2548,0.4449,-0.0664,-0.1493,negligible
corsscieco,rd,All other sections,mentalv,12.493,13.3182,5.4082,-0.8252,-0.1526,negligible
corsscieco,rd,All other sections,rel_pipe,0.5907,0.7157,0.7836,-0.125,-0.1595,negligible
corsscieco,rd,All other sections,tccncrt,4.4651,5.311,5.2249,-0.8459,-0.1619,negligible
corsscieco,rd,All other sections,act_tpv,0.114,0.192,0.4643,-0.078,-0.1681,negligible
corsscieco,rd,All other sections,lkly_jth,0.7116,0.9855,1.4574,-0.2739,-0.1879,negligible
corsscieco,rd,All other sections,perfects,3.3558,3.8857,2.6621,-0.5299,-0.199,negligible
corsscieco,rd,All other sections,all_nto,0.4512,0.6785,1.0987,-0.2273,-0.2069,small
corsscieco,rd,All other sections,atadvl,0.0279,0.0712,0.2022,-0.0433,-0.2144,small
corsscieco,rd,All other sections,pro2,0.0,0.2855,1.2702,-0.2855,-0.2248,small
corsscieco,rd,All other sections,att_nth,0.0047,0.0412,0.1587,-0.0366,-0.2305,small
corsscieco,rd,All other sections,x4_jto,0.1465,0.2576,0.4628,-0.1111,-0.24,small
corsscieco,rd,All other sections,prcessn,17.2674,19.9693,10.7038,-2.7019,-0.2524,small
corsscieco,rd,All other sections,that_rel,2.7488,3.3364,2.2793,-0.5876,-0.2578,small
corsscieco,rd,All other sections,spch_vto,0.1,0.206,0.4101,-0.106,-0.2584,small
corsscieco,rd,All other sections,pro_do,0.0721,0.2166,0.5414,-0.1445,-0.2669,small
corsscieco,rd,All other sections,groupn,1.2744,2.4242,4.2486,-1.1498,-0.2706,small
corsscieco,rd,All other sections,all_vto,2.5093,3.0353,1.935,-0.526,-0.2718,small
corsscieco,rd,All other sections,sua_vb,0.9233,1.3355,1.4642,-0.4122,-0.2815,small
corsscieco,rd,All other sections,nec_mod,0.814,1.1667,1.2413,-0.3527,-0.2842,small
corsscieco,rd,All other sections,ttr,28.4186,29.3706,3.164,-0.952,-0.3009,small
corsscieco,rd,All other sections,all_advl,1.3535,1.8007,1.4848,-0.4472,-0.3012,small
corsscieco,rd,All other sections,o_and,6.286,7.4233,3.7514,-1.1372,-0.3031,small
corsscieco,rd,All other sections,all_to,4.5372,5.484,3.1239,-0.9468,-0.3031,small
corsscieco,rd,All other sections,whiz_vbn,2.7837,3.4605,2.1464,-0.6768,-0.3153,small
corsscieco,rd,All other sections,contrac,0.0,0.5707,1.6334,-0.5707,-0.3494,small
corsscieco,rd,All other sections,be_state,1.107,1.58,1.3367,-0.473,-0.3539,small
corsscieco,rd,All other sections,gen_emph,1.2535,1.842,1.6462,-0.5885,-0.3575,small
corsscieco,rd,All other sections,agls_psv,8.6349,10.2099,4.2976,-1.5751,-0.3665,small
corsscieco,rd,All other sections,pro3,4.0047,5.9602,5.2995,-1.9556,-0.369,small
corsscieco,rd,All other sections,lklydvl,0.1767,0.4367,0.6855,-0.2599,-0.3792,small
corsscieco,rd,All other sections,inf,7.107,8.8215,4.4593,-1.7145,-0.3845,small
corsscieco,rd,All other sections,allmodal,7.0047,8.9447,4.5941,-1.94,-0.4223,small
corsscieco,rd,All other sections,wrlengh,5.1884,5.3067,0.2776,-0.1184,-0.4264,small
corsscieco,rd,All other sections,allverb,96.4674,103.1461,14.9676,-6.6787,-0.4462,small
corsscieco,rd,All other sections,allpasv,13.0977,15.4444,5.232,-2.3468,-0.4485,small
corsscieco,rd,All other sections,humann,2.214,4.919,5.9123,-2.705,-0.4575,small
corsscieco,rd,All other sections,concrtn,5.2256,8.4301,6.8346,-3.2045,-0.4689,small
corsscieco,rd,All other sections,pos_mod,4.4349,6.0307,3.3503,-1.5958,-0.4763,small
corsscieco,rd,All other sections,dsre_vto,0.3093,0.7417,0.8996,-0.4324,-0.4807,small
corsscieco,rd,All other sections,commv,3.8907,6.1468,3.7144,-2.2561,-0.6074,medium
corsscieco,rd,All other sections,pasttnse,15.6884,26.8639,13.6216,-11.1755,-0.8204,large
