Field_Target,Field_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corsscieco,All other fields,ttr,29.6731,30.8686,2.9188,-1.1955,-0.40957476363082407,small
corsscieco,All other fields,wrlengh,5.3152,5.3956,0.3,-0.0804,-0.2681287653990124,small
corsscieco,All other fields,wcount,1468.386,1585.091,1281.6308,-116.705,-0.09105979750549478,negligible
corsscieco,All other fields,that_del,0.6117,0.5862,0.9637,0.0255,0.02645028445092203,negligible
corsscieco,All other fields,contrac,0.0117,0.4871,1.2623,-0.4754,-0.3766328975792133,small
corsscieco,All other fields,pres,65.2263,54.6106,18.8222,10.6157,0.5639989574910413,medium
corsscieco,All other fields,pro2,0.114,0.2535,1.1821,-0.1395,-0.1179837258644734,negligible
corsscieco,All other fields,pro_do,0.1421,0.1977,0.5722,-0.0556,-0.09714066460270808,negligible
corsscieco,All other fields,pdem,2.2667,2.0841,1.9606,0.1826,0.09314065405823069,negligible
corsscieco,All other fields,gen_emph,1.3696,1.5155,1.6865,-0.1459,-0.08652920960778146,negligible
corsscieco,All other fields,pro1,11.8836,8.4868,7.6151,3.3968,0.44606413622895313,small
corsscieco,All other fields,it,4.962,3.8045,3.1409,1.1575,0.3685132127903707,small
corsscieco,All other fields,be_state,1.162,1.2826,1.5411,-0.1206,-0.07825596448685702,negligible
corsscieco,All other fields,sub_cos,0.7292,0.7576,1.1041,-0.0283,-0.025655634775341902,negligible
corsscieco,All other fields,prtcle,0.0427,0.0497,0.2467,-0.007,-0.0285098119804781,negligible
corsscieco,All other fields,pany,0.724,0.7488,1.0303,-0.0248,-0.024049045877771628,negligible
corsscieco,All other fields,gen_hdg,0.2304,0.1515,0.4388,0.0789,0.1797343786729008,negligible
corsscieco,All other fields,amplifr,1.345,1.3084,1.5775,0.0367,0.023241922674983456,negligible
corsscieco,All other fields,wh_ques,0.1368,0.1804,0.6794,-0.0435,-0.06408919284640992,negligible
corsscieco,All other fields,pos_mod,5.3965,5.1897,3.9242,0.2068,0.05270538296235991,negligible
corsscieco,All other fields,o_and,6.5731,8.2413,4.6313,-1.6682,-0.36019949716633687,small
corsscieco,All other fields,wh_cl,0.214,0.2509,0.5826,-0.0368,-0.06323895666260945,negligible
corsscieco,All other fields,finlprep,0.7749,0.6398,1.2319,0.135,0.10961775265933447,negligible
corsscieco,All other fields,n,338.2982,341.6342,33.2297,-3.3359,-0.10038978488716765,negligible
corsscieco,All other fields,prep,134.0889,134.0291,16.1314,0.0598,0.0037056951987491263,negligible
corsscieco,All other fields,adj_attr,77.8836,72.083,19.6764,5.8007,0.294803173707074,small
corsscieco,All other fields,pasttnse,14.5696,26.2177,16.2549,-11.6481,-0.7165886590238385,medium
corsscieco,All other fields,pro3,4.6573,5.8966,5.1028,-1.2393,-0.24286694985084853,small
corsscieco,All other fields,perfects,4.2404,4.7817,3.7059,-0.5413,-0.1460674392225329,negligible
corsscieco,All other fields,rel_obj,0.6865,0.5188,0.8337,0.1678,0.20126052276946588,small
corsscieco,All other fields,rel_subj,2.8392,2.5365,2.2141,0.3027,0.13670136117502232,negligible
corsscieco,All other fields,rel_pipe,0.8673,0.8404,1.1878,0.0268,0.022594270562988822,negligible
