Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corsscills,abs,All other sections,ttr,30.1077,31.0291,2.7369,-0.9214,-0.33664509999893527,small
corsscills,abs,All other sections,wrlengh,5.4846,5.5483,0.3003,-0.0636,-0.21190073616811084,small
corsscills,abs,All other sections,wcount,447.1538,380.3198,171.6545,66.8341,0.389352282764343,small
corsscills,abs,All other sections,that_del,0.2308,0.6012,1.4314,-0.3704,-0.2587570441914326,small
corsscills,abs,All other sections,contrac,0.0,0.3209,1.0819,-0.3209,-0.2966345458936139,small
corsscills,abs,All other sections,pres,47.0154,44.1628,17.9214,2.8526,0.1591725404624779,negligible
corsscills,abs,All other sections,pro2,0.0,0.0576,0.7297,-0.0576,-0.07887933965493248,negligible
corsscills,abs,All other sections,pro_do,0.3923,0.1483,0.6836,0.2441,0.3570073317387859,small
corsscills,abs,All other sections,pdem,1.9923,1.2686,2.2747,0.7237,0.31815484444475356,small
corsscills,abs,All other sections,gen_emph,1.4538,1.4773,2.8743,-0.0235,-0.008168743652018681,negligible
corsscills,abs,All other sections,pro1,8.6077,8.1738,8.1477,0.4339,0.05324864206342413,negligible
corsscills,abs,All other sections,it,2.6692,2.657,3.1572,0.0123,0.0038813361584832534,negligible
corsscills,abs,All other sections,be_state,1.2231,0.7733,1.5765,0.4498,0.28532250343202104,small
corsscills,abs,All other sections,sub_cos,0.2308,0.314,1.0354,-0.0832,-0.08033847864545371,negligible
corsscills,abs,All other sections,prtcle,0.0769,0.036,0.3299,0.0409,0.12389670585462866,negligible
corsscills,abs,All other sections,pany,1.0846,0.5093,1.3637,0.5753,0.42186352638208785,small
corsscills,abs,All other sections,gen_hdg,0.0,0.0308,0.2837,-0.0308,-0.10862266490431033,negligible
corsscills,abs,All other sections,amplifr,0.3846,0.7657,1.5981,-0.3811,-0.2384604900136596,small
