Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corsscills,con,All other sections,ttr,29.0875,30.456,2.8942,-1.3685,-0.4728501563741586,small
corsscills,con,All other sections,wrlengh,5.725,5.4688,0.2791,0.2562,0.9180120068273541,large
corsscills,con,All other sections,wcount,545.5625,577.6312,297.9531,-32.0687,-0.10763005594164103,negligible
corsscills,con,All other sections,that_del,0.0938,0.6904,1.3992,-0.5967,-0.4264491818262093,small
corsscills,con,All other sections,contrac,0.0,0.4397,1.068,-0.4397,-0.41170081410032283,small
corsscills,con,All other sections,pres,67.5125,64.0851,16.9185,3.4274,0.20258242086574374,small
corsscills,con,All other sections,pro2,0.0,0.0457,0.2869,-0.0457,-0.1594588999916158,negligible
corsscills,con,All other sections,pro_do,0.0,0.2234,0.6533,-0.2234,-0.3419729295851732,small
corsscills,con,All other sections,pdem,1.975,2.9071,2.8819,-0.9321,-0.3234302162439089,small
corsscills,con,All other sections,gen_emph,1.2562,1.5287,1.893,-0.2725,-0.14394034866600378,negligible
corsscills,con,All other sections,pro1,8.5125,10.4837,9.2707,-1.9712,-0.21262531680994826,small
corsscills,con,All other sections,it,5.375,5.0979,3.977,0.2771,0.06968321388630193,negligible
corsscills,con,All other sections,be_state,2.8438,2.217,2.4788,0.6267,0.25283688047238967,small
corsscills,con,All other sections,sub_cos,0.5375,0.6791,1.3242,-0.1416,-0.10691934616775006,negligible
corsscills,con,All other sections,prtcle,0.0,0.0543,0.3322,-0.0543,-0.16333557853573058,negligible
corsscills,con,All other sections,pany,0.5812,0.6071,1.1513,-0.0258,-0.022446542261229063,negligible
corsscills,con,All other sections,gen_hdg,0.1125,0.1684,0.6259,-0.0559,-0.08937932713870524,negligible
corsscills,con,All other sections,amplifr,0.9375,1.6454,1.9574,-0.7079,-0.36165487940718516,small
corsscills,con,All other sections,wh_ques,0.2688,0.0894,0.6549,0.1794,0.2739064757885525,small
corsscills,con,All other sections,pos_mod,8.2812,7.6291,5.0205,0.6522,0.12990196047880512,negligible
