Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corsscills,mm,All other sections,ttr,31.5102,31.4369,2.6966,0.0733,0.027174233364467504,negligible
corsscills,mm,All other sections,wrlengh,5.3633,5.2554,0.2677,0.1078,0.402727333302193,small
corsscills,mm,All other sections,wcount,1300.9796,1412.1807,917.834,-111.2011,-0.1211560079299955,negligible
corsscills,mm,All other sections,that_del,0.4653,0.523,0.8572,-0.0577,-0.06731641837942014,negligible
corsscills,mm,All other sections,contrac,0.0,0.4066,0.931,-0.4066,-0.43676637726097195,small
corsscills,mm,All other sections,pres,36.8286,41.5244,19.6371,-4.6958,-0.23912799671242507,small
corsscills,mm,All other sections,pro2,0.5755,0.5315,1.7892,0.044,0.024577281315639764,negligible
corsscills,mm,All other sections,pro_do,0.3408,0.1516,0.5571,0.1892,0.33956951580431616,small
corsscills,mm,All other sections,pdem,1.2082,1.5824,1.5912,-0.3742,-0.23518489532464076,small
corsscills,mm,All other sections,gen_emph,0.7408,0.9664,1.1672,-0.2256,-0.19331165081181093,negligible
corsscills,mm,All other sections,pro1,11.1796,10.8533,9.072,0.3263,0.03596559981292566,negligible
corsscills,mm,All other sections,it,2.1061,2.6097,2.4547,-0.5035,-0.20512883359795842,small
corsscills,mm,All other sections,be_state,0.5082,0.6196,0.9298,-0.1115,-0.11989743114966665,negligible
corsscills,mm,All other sections,sub_cos,0.8673,0.7927,1.1024,0.0746,0.06770837287190054,negligible
corsscills,mm,All other sections,prtcle,0.0122,0.0474,0.2431,-0.0351,-0.14445697402739366,negligible
corsscills,mm,All other sections,pany,0.8878,0.759,1.032,0.1287,0.12472805139772995,negligible
corsscills,mm,All other sections,gen_hdg,0.0408,0.1068,0.347,-0.066,-0.19026859421885825,negligible
corsscills,mm,All other sections,amplifr,0.9184,1.142,1.742,-0.2236,-0.12836272165119764,negligible
corsscills,mm,All other sections,wh_ques,0.1041,0.1438,0.6281,-0.0397,-0.06319287343724776,negligible
corsscills,mm,All other sections,pos_mod,2.1898,2.8339,2.7292,-0.6441,-0.23599869093751716,small
corsscills,mm,All other sections,o_and,8.6,8.1294,4.536,0.4706,0.10374767341384465,negligible
corsscills,mm,All other sections,wh_cl,0.049,0.1708,0.4815,-0.1218,-0.2530561046588631,small
corsscills,mm,All other sections,finlprep,1.2286,0.8119,1.5333,0.4167,0.2717448717772111,small
corsscills,mm,All other sections,n,359.1122,349.2333,34.1814,9.8789,0.28901438502814497,small
corsscills,mm,All other sections,prep,132.2265,129.0956,14.9125,3.1309,0.20995230470281925,small
corsscills,mm,All other sections,adj_attr,61.2245,61.1239,13.8151,0.1006,0.007280741658159763,negligible
corsscills,mm,All other sections,pasttnse,45.7633,39.6681,17.9075,6.0951,0.3403671411767331,small
corsscills,mm,All other sections,pro3,3.7122,5.2923,4.4547,-1.58,-0.3546832118149866,small
corsscills,mm,All other sections,perfects,2.6449,2.9163,2.4094,-0.2714,-0.11263059575888558,negligible
corsscills,mm,All other sections,rel_obj,0.3898,0.4315,0.6839,-0.0417,-0.06103699192563871,negligible
corsscills,mm,All other sections,rel_subj,2.698,2.5813,2.1247,0.1167,0.05492560233131753,negligible
corsscills,mm,All other sections,rel_pipe,0.8429,0.9195,1.2342,-0.0767,-0.062123016426256894,negligible
corsscills,mm,All other sections,p_and,2.4102,2.5001,2.1578,-0.0899,-0.04166633307243473,negligible
corsscills,mm,All other sections,tm_adv,2.2837,2.3323,1.9976,-0.0486,-0.02435353570182453,negligible
corsscills,mm,All other sections,pl_adv,2.2878,2.8946,2.6318,-0.6069,-0.23058672122576976,small
