Field_Target,Field_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corsscills,All other fields,ttr,30.5326,30.834,2.9281,-0.3014,-0.10293805882067181,negligible
corsscills,All other fields,wrlengh,5.4751,5.3873,0.2998,0.0878,0.29284375027288106,small
corsscills,All other fields,wcount,1410.0181,1590.0696,1281.1861,-180.0515,-0.14053502858365766,negligible
corsscills,All other fields,that_del,0.4439,0.5957,0.9631,-0.1518,-0.15764525258199924,negligible
corsscills,All other fields,contrac,0.0,0.4941,1.2609,-0.4941,-0.39187873758222636,small
corsscills,All other fields,pres,53.8086,55.1401,18.9424,-1.3315,-0.07029374164178055,negligible
corsscills,All other fields,pro2,0.2136,0.2495,1.1824,-0.0359,-0.03039078030908027,negligible
corsscills,All other fields,pro_do,0.2163,0.1941,0.5723,0.0222,0.038817031395334926,negligible
corsscills,All other fields,pdem,2.0344,2.0953,1.9609,-0.0609,-0.031047176996035975,negligible
corsscills,All other fields,gen_emph,1.2683,1.5234,1.6858,-0.2551,-0.151315578828022,negligible
corsscills,All other fields,pro1,8.0557,8.6665,7.6449,-0.6108,-0.0799009539792748,negligible
corsscills,All other fields,it,3.3086,3.8862,3.1469,-0.5776,-0.1835566737023902,negligible
corsscills,All other fields,be_state,1.3213,1.2748,1.5412,0.0464,0.030127411125133775,negligible
corsscills,All other fields,sub_cos,0.7258,0.7581,1.1041,-0.0324,-0.02930301078068182,negligible
corsscills,All other fields,prtcle,0.0312,0.0505,0.2467,-0.0193,-0.07810858899254844,negligible
corsscills,All other fields,pany,0.6525,0.7533,1.0301,-0.1008,-0.09785274373344331,negligible
corsscills,All other fields,gen_hdg,0.1335,0.1562,0.4391,-0.0227,-0.051683556771947824,negligible
corsscills,All other fields,amplifr,1.0208,1.3269,1.5759,-0.3061,-0.1942396966804124,negligible
corsscills,All other fields,wh_ques,0.2262,0.1757,0.6793,0.0505,0.07438646664141095,negligible
corsscills,All other fields,pos_mod,5.4692,5.1826,3.9238,0.2866,0.07303670822339267,negligible
corsscills,All other fields,o_and,8.2561,8.1646,4.6436,0.0915,0.0197060092573695,negligible
corsscills,All other fields,wh_cl,0.1783,0.2535,0.5824,-0.0752,-0.1290990954534918,negligible
corsscills,All other fields,finlprep,0.6783,0.6437,1.2322,0.0346,0.028072907642332362,negligible
corsscills,All other fields,n,349.6593,341.0113,33.1776,8.648,0.26065807991421797,small
corsscills,All other fields,prep,134.9633,133.977,16.1298,0.9864,0.06115319059014586,negligible
corsscills,All other fields,adj_attr,72.0733,72.3471,19.7114,-0.2738,-0.013891098174045883,negligible
corsscills,All other fields,pasttnse,28.0579,25.5803,16.4157,2.4777,0.15093246063610483,negligible
corsscills,All other fields,pro3,4.4837,5.9233,5.0984,-1.4396,-0.28235915023553126,small
corsscills,All other fields,perfects,4.7253,4.7604,3.7076,-0.035,-0.009450429818150743,negligible
corsscills,All other fields,rel_obj,0.4208,0.5321,0.834,-0.1113,-0.1334637866381517,negligible
corsscills,All other fields,rel_subj,2.5557,2.5491,2.215,0.0065,0.002943494766168171,negligible
corsscills,All other fields,rel_pipe,0.738,0.8476,1.1875,-0.1096,-0.0923253211600869,negligible
corsscills,All other fields,p_and,2.3489,2.9587,2.5685,-0.6098,-0.23741779776043181,small
corsscills,All other fields,tm_adv,1.6484,1.7749,1.783,-0.1265,-0.07096247029933452,negligible
corsscills,All other fields,pl_adv,2.4009,3.2912,3.7248,-0.8903,-0.23901656872260452,small
corsscills,All other fields,advs,28.1412,29.3248,10.0585,-1.1836,-0.11767087257071797,negligible
corsscills,All other fields,inf,10.1416,9.7294,5.0847,0.4122,0.08107478312074336,negligible
