Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
int,All other sections,ttr,31.8197,30.3138,2.8414,1.5059,0.5299787782387994,medium
int,All other sections,wrlengh,5.5261,5.3249,0.2851,0.2012,0.7058226552727943,medium
int,All other sections,wcount,1175.6246,1783.2255,1249.3731,-607.6009,-0.4863246063286603,small
int,All other sections,that_del,0.4659,0.6483,0.9599,-0.1823,-0.18996909637406212,negligible
int,All other sections,contrac,0.4813,0.4594,1.2659,0.0219,0.017312942691199682,negligible
int,All other sections,pres,62.9929,51.085,18.0923,11.9078,0.6581699745026436,medium
int,All other sections,pro2,0.0923,0.3255,1.1773,-0.2332,-0.19810243694548074,negligible
int,All other sections,pro_do,0.2047,0.1906,0.5723,0.0142,0.024736184584174873,negligible
int,All other sections,pdem,1.88,2.1983,1.9552,-0.3184,-0.1628412851895234,negligible
int,All other sections,gen_emph,1.6162,1.4555,1.6851,0.1607,0.0953495326553368,negligible
int,All other sections,pro1,6.4571,9.7253,7.489,-3.2681,-0.4363893101900577,small
int,All other sections,it,4.4354,3.5623,3.1226,0.8731,0.2795935224117881,small
int,All other sections,be_state,1.3297,1.2512,1.5408,0.0785,0.050937811477274074,negligible
int,All other sections,sub_cos,0.7691,0.7499,1.1041,0.0192,0.017407753790920254,negligible
int,All other sections,prtcle,0.0544,0.0469,0.2467,0.0075,0.030485641980871878,negligible
int,All other sections,pany,0.8133,0.7147,1.0293,0.0985,0.09574333609516246,negligible
int,All other sections,gen_hdg,0.1255,0.1697,0.4386,-0.0443,-0.10092749202268003,negligible
int,All other sections,amplifr,1.2134,1.3584,1.576,-0.1451,-0.09205851210476768,negligible
int,All other sections,wh_ques,0.2346,0.1503,0.6783,0.0843,0.12424277006585496,negligible
int,All other sections,pos_mod,5.7884,4.9023,3.902,0.8861,0.2270765658057521,small
int,All other sections,o_and,8.934,7.7858,4.6119,1.1482,0.24897100350861967,small
int,All other sections,wh_cl,0.2658,0.241,0.5825,0.0247,0.0424695222038278,negligible
int,All other sections,finlprep,0.5321,0.7026,1.2296,-0.1705,-0.13863640095368565,negligible
int,All other sections,n,343.1327,340.6664,33.2162,2.4663,0.07425071864703633,negligible
int,All other sections,prep,135.3376,133.3758,16.1048,1.9619,0.12181830429410359,negligible
int,All other sections,adj_attr,80.5887,68.1848,18.8225,12.4039,0.6589937841002955,medium
int,All other sections,pasttnse,16.3523,30.4216,15.024,-14.0694,-0.9364577499167784,large
int,All other sections,pro3,6.505,5.5111,5.0874,0.9939,0.19536506140611895,negligible
int,All other sections,perfects,7.0682,3.5983,3.3264,3.4698,1.043106461542694,large
int,All other sections,rel_obj,0.57,0.5038,0.8338,0.0662,0.07943526346902649,negligible
