Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
mm,All other sections,allpasv,26.5141,15.2522,6.8989,11.2619,1.6324,large
mm,All other sections,agls_psv,19.0903,10.1643,5.948,8.926,1.5007,large
mm,All other sections,pasttnse,39.9859,21.3116,14.384,18.6742,1.2983,large
mm,All other sections,tccncrt,10.3006,5.1525,6.1701,5.1482,0.8344,large
mm,All other sections,actv,19.9941,15.3971,6.0447,4.5971,0.7605,medium
mm,All other sections,by_pasv,2.7698,1.7882,1.7659,0.9816,0.5559,medium
mm,All other sections,whiz_vbn,4.6545,3.2993,2.491,1.3552,0.544,medium
mm,All other sections,tm_adv,2.3298,1.5944,1.7556,0.7354,0.4189,small
mm,All other sections,pro1,10.8703,7.9416,7.5443,2.9287,0.3882,small
mm,All other sections,aspectv,1.0839,0.678,1.1698,0.406,0.3471,small
mm,All other sections,n,349.7483,338.9411,32.9182,10.8072,0.3283,small
mm,All other sections,pro2,0.5338,0.1591,1.1717,0.3747,0.3198,small
mm,All other sections,quann,8.9582,7.0528,6.2644,1.9054,0.3042,small
mm,All other sections,sub_cnd,1.1785,0.7848,1.3119,0.3937,0.3001,small
mm,All other sections,ttr,31.4407,30.6247,2.9083,0.816,0.2806,small
mm,All other sections,act_tpv,0.4206,0.2165,0.7288,0.2042,0.2802,small
mm,All other sections,concrtn,9.8328,7.8338,7.2111,1.999,0.2772,small
mm,All other sections,allpro,16.6159,14.141,9.5398,2.4748,0.2594,small
mm,All other sections,spch_vto,0.4183,0.2474,0.6913,0.1709,0.2472,small
mm,All other sections,finlprep,0.8336,0.5875,1.2278,0.2461,0.2004,small
mm,All other sections,allverb,104.3497,102.3466,14.9506,2.0031,0.134,negligible
mm,All other sections,existv,9.0032,8.5476,4.0786,0.4556,0.1117,negligible
mm,All other sections,relatnj,5.3926,5.0532,3.4408,0.3394,0.0986,negligible
mm,All other sections,x3_jto,0.0202,0.0101,0.11,0.0101,0.0921,negligible
mm,All other sections,rel_pipe,0.9155,0.8187,1.1871,0.0968,0.0815,negligible
mm,All other sections,groupn,2.7836,2.4795,4.4358,0.3041,0.0686,negligible
mm,All other sections,act_ipv,0.0116,0.0049,0.1022,0.0067,0.0653,negligible
mm,All other sections,nonfadvl,0.8453,0.7799,1.0544,0.0654,0.062,negligible
mm,All other sections,humann,5.3526,5.0085,6.2407,0.344,0.0551,negligible
mm,All other sections,sub_cos,0.7966,0.7439,1.1039,0.0527,0.0477,negligible
mm,All other sections,placen,5.466,5.2091,6.36,0.2569,0.0404,negligible
mm,All other sections,colorj,0.1194,0.0992,0.5441,0.0201,0.037,negligible
mm,All other sections,pany,0.7657,0.7421,1.0303,0.0236,0.0229,negligible
mm,All other sections,rel_subj,2.5873,2.5378,2.2149,0.0495,0.0224,negligible
mm,All other sections,efrt_vto,1.1586,1.1352,1.3487,0.0235,0.0174,negligible
mm,All other sections,allwhrel,3.9338,3.9129,2.7733,0.0209,0.0075,negligible
mm,All other sections,commv,6.1146,6.1322,4.0564,-0.0177,-0.0044,negligible
mm,All other sections,o_and,8.1539,8.1745,4.6436,-0.0206,-0.0044,negligible
mm,All other sections,occurpv,0.0009,0.0026,0.0967,-0.0017,-0.0177,negligible
mm,All other sections,prtcle,0.0455,0.0506,0.2467,-0.0051,-0.0206,negligible
mm,All other sections,mentalpv,0.0089,0.0114,0.1065,-0.0025,-0.0234,negligible
mm,All other sections,copulapv,0.0113,0.0168,0.1329,-0.0055,-0.0415,negligible
mm,All other sections,att_vth,0.4351,0.4814,0.8441,-0.0463,-0.0549,negligible
mm,All other sections,vprogrsv,5.3362,5.5395,3.5277,-0.2033,-0.0576,negligible
mm,All other sections,aspectpv,0.0039,0.0084,0.0694,-0.0045,-0.0644,negligible
mm,All other sections,wh_ques,0.1417,0.1899,0.6791,-0.0482,-0.0709,negligible
mm,All other sections,pro_do,0.1615,0.2057,0.572,-0.0443,-0.0774,negligible
mm,All other sections,sua_vb,1.4822,1.6247,1.7859,-0.1424,-0.0798,negligible
mm,All other sections,contrac,0.3854,0.4918,1.2652,-0.1064,-0.0841,negligible
mm,All other sections,nfct_nth,0.0269,0.0465,0.2225,-0.0196,-0.088,negligible
mm,All other sections,mentalv,12.3784,12.8926,5.621,-0.5142,-0.0915,negligible
mm,All other sections,that_del,0.52,0.6081,0.963,-0.0881,-0.0915,negligible
mm,All other sections,att_nth,0.0244,0.0428,0.194,-0.0184,-0.0949,negligible
mm,All other sections,x2_jto,0.2837,0.3648,0.731,-0.0811,-0.1109,negligible
mm,All other sections,fctadvl,0.3713,0.4815,0.8561,-0.1102,-0.1288,negligible
mm,All other sections,mntl_vto,0.3639,0.4685,0.8081,-0.1046,-0.1294,negligible
mm,All other sections,pl_adv,2.863,3.3588,3.7245,-0.4958,-0.1331,negligible
mm,All other sections,allconj,15.9485,16.7708,6.1343,-0.8223,-0.134,negligible
mm,All other sections,amplifr,1.1303,1.3654,1.5743,-0.2351,-0.1493,negligible
mm,All other sections,rel_obj,0.4294,0.5558,0.8327,-0.1264,-0.1518,negligible
mm,All other sections,gen_hdg,0.1034,0.1708,0.4382,-0.0674,-0.1539,negligible
mm,All other sections,fact_jth,0.052,0.1032,0.3205,-0.0511,-0.1595,negligible
mm,All other sections,pro3,5.2099,6.0391,5.0969,-0.8292,-0.1627,negligible
mm,All other sections,commpv,0.0139,0.0596,0.2702,-0.0457,-0.169,negligible
mm,All other sections,allwh,0.3059,0.465,0.9059,-0.1591,-0.1757,negligible
mm,All other sections,x4_jto,0.1791,0.2874,0.6106,-0.1082,-0.1773,negligible
mm,All other sections,wcount,1406.384,1633.7204,1278.208,-227.3364,-0.1779,negligible
mm,All other sections,wh_cl,0.1645,0.2755,0.5807,-0.111,-0.1912,negligible
mm,All other sections,all_advl,1.3645,1.6741,1.6162,-0.3096,-0.1916,negligible
mm,All other sections,atadvl,0.0232,0.0748,0.2555,-0.0516,-0.2019,small
mm,All other sections,cognitn,6.2954,7.4233,5.2098,-1.1279,-0.2165,small
mm,All other sections,p_and,2.4954,3.0575,2.5612,-0.562,-0.2194,small
mm,All other sections,have,1.2896,1.7018,1.7537,-0.4123,-0.2351,small
mm,All other sections,downtone,2.076,2.5377,1.9291,-0.4617,-0.2393,small
mm,All other sections,prcessn,18.7624,21.5521,11.0838,-2.7896,-0.2517,small
mm,All other sections,timej,0.4863,0.8917,1.6062,-0.4054,-0.2524,small
mm,All other sections,causev,2.1849,2.8045,2.4128,-0.6196,-0.2568,small
mm,All other sections,lkly_nth,0.1521,0.3359,0.7112,-0.1838,-0.2585,small
mm,All other sections,inf,8.7106,10.0739,5.0525,-1.3633,-0.2698,small
mm,All other sections,att_jth,0.0998,0.2354,0.4941,-0.1357,-0.2745,small
mm,All other sections,sub_othr,3.3241,4.0068,2.4785,-0.6827,-0.2754,small
mm,All other sections,fct_nth,0.099,0.2658,0.6041,-0.1668,-0.2761,small
mm,All other sections,that_rel,2.8553,3.6469,2.7415,-0.7916,-0.2887,small
mm,All other sections,dsre_vto,0.5618,0.8903,1.1286,-0.3285,-0.2911,small
mm,All other sections,all_vto,2.6341,3.3425,2.3491,-0.7084,-0.3016,small
mm,All other sections,abstrcn,28.9538,33.7244,15.2117,-4.7706,-0.3136,small
mm,All other sections,lklydvl,0.1257,0.3373,0.6698,-0.2115,-0.3158,small
mm,All other sections,spl_aux,2.3895,3.0545,2.1002,-0.6651,-0.3167,small
mm,All other sections,x5_jto,0.1193,0.3064,0.5893,-0.1872,-0.3176,small
mm,All other sections,all_nto,0.4305,0.8433,1.2941,-0.4128,-0.319,small
mm,All other sections,x1_jto,0.3116,0.7205,1.2693,-0.4089,-0.3221,small
mm,All other sections,jcmp,0.091,0.2797,0.557,-0.1887,-0.3388,small
mm,All other sections,evalj,0.5141,0.9888,1.3651,-0.4746,-0.3477,small
mm,All other sections,pdem,1.5629,2.2553,1.9388,-0.6924,-0.3571,small
mm,All other sections,prd_mod,1.0118,1.7498,1.9765,-0.738,-0.3734,small
mm,All other sections,sizej,1.3645,2.3584,2.6363,-0.994,-0.377,small
mm,All other sections,all_nth,0.3017,0.691,1.0154,-0.3893,-0.3834,small
mm,All other sections,lkly_jth,0.288,0.8042,1.3446,-0.5163,-0.3839,small
mm,All other sections,prep,129.2588,135.5056,15.9117,-6.2467,-0.3926,small
mm,All other sections,nonf_vth,1.3419,2.0939,1.8107,-0.752,-0.4153,small
mm,All other sections,nec_mod,0.4905,1.119,1.4703,-0.6285,-0.4274,small
mm,All other sections,gen_emph,0.9547,1.6805,1.6584,-0.7258,-0.4377,small
